,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
mean,3.7747779327924524,2.224142340094339,1.0173709511509423,73.90375317330188,25.06642586569811,64.10263693260377,60.104932150415095,10895137.123607134,261.15422870901875,10.117788835679251,8.130549036584906,25.278717632320753,269.0146077156604,1.5894557841333392,1903270.1862264152,3.256267744577064
std,35.298136459179744,1.6586105460612508,26.20747789211944,274.6843625939919,72.88666082192293,173.09604577455508,120.58757994253017,16594873.321442055,1218.9414550581146,50.31637385780481,38.26491697137891,67.8808872843519,1218.3762862103,6.678641580842379,3258780.537263347,2.9318825369424
min,-145.2443609,0.147386119,-151.81801130000005,-144.3157758,-275.2355231,0.0,0.0,4863.0,-151.5933232,-170.5531565,-30.50315789,0.0,-312.1875,-30.503157894736837,-414381.0,-4.658085954765746
25%,0.601570554,1.153957347,1.343894405,0.0,13.46642139,12.10275434,23.603227899999997,810473.1073,6.212801905,0.9885910940000001,0.261989786,4.430242634,8.80389539,0.22794654439915665,8357.0,2.0153377180378254
50%,5.3134406489999995,1.804290185,2.603514028,1.157212053,40.6372505,26.55196567,41.40940441,4983486.0,18.98745361,8.498676176,0.88058065,12.84538222,24.48301745,0.7651743694943888,645829.0,3.391509031868898
75%,12.14029349,3.2991402589999996,6.68474942,27.58080422,63.54661873,41.29719566,57.90332614,12551998.3,36.90886647,18.93619818,2.52232141,26.44436465,54.77270411,2.109664430498449,2263663.0,4.579153241356988
max,96.57531176,7.5032282210000005,64.48518078,1799.375,94.60503266,1073.9172640000004,806.9871772999999,98143999.62,6461.626015999997,276.1327149,267.699187,500.46365910000003,6461.626015999997,21.60483870967742,14038000.0,15.170737664292659
