,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0
mean,0.2403671212546982,3.198315612196606,7.443566510757819,12.688779472048257,-246.71036212986854,72.09843498072935,71.89686856331717,19916107.977408588,339.02051670216093,279.7617282014089,3.636151261567473,15.918404405203733,154.17569590813562,3.3012837523634357,2127024.7721537077,19.642282536674713
std,110.537517147601,11.141975504785258,191.42095273804065,1318.7432953109455,8781.904173267492,731.3917048716177,97.41422546739238,71932962.13169189,9021.32662662304,8810.235238496685,55.6602178658651,44.3800762519503,1947.5175445318312,61.06876249654781,12134711.719620781,502.65749755824015
min,-2150.385061,0.0,-4728.904,-31700.0,-293534.6154,0.0,0.0,0.0,-42400.0,-1307.032657,-818.3333332999997,0.0,-4134.285714,-1135.3333333333333,-31824000.0,-80.78943626164184
25%,0.0,1.2008244875,1.128611001,0.0,24.94169673,13.64978793,37.194895235000004,1692997.27,0.9816008,0.0,0.260991247,3.5672661195,1.949344141,0.2922616403238289,3265.0,1.916827256812315
50%,5.311891933,1.813465347,2.799662669,2.924472535,48.58856066,27.97154653,60.35429515,5050115.924,13.17863492,6.895188994,0.647777549,10.81568621,16.24116335,0.7826567906200603,355406.0,2.953866437161608
75%,12.804025685,3.0869562530000003,6.074809408,27.7309171,69.721358125,43.824095705000005,81.81677103,13020999.665,32.532549915000004,16.961067455,1.597231166,18.884131435,39.778510695,1.9711864000878547,1552613.5,4.201241038365897
max,973.4681373,343.4456796,2953.846154,18421.904759999998,234.1035225,22195.77537,1824.9191850000002,1621499999.0,294530.7692,294530.7692,1190.10081,1149.116074,40566.66667,1190.1008104368452,207100000.0,16776.99251202789
