,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,102.0
mean,6.77797577756311,2.898581843844659,2.1089709862524293,294.81754657646604,16.71050242152427,81.00708529515533,90.82654001903879,5162138.337175255,241.80457411956314,36.45558316558253,32.707839041893195,5.263423406106796,16107.375258162665,35.681865981201575,1178742.720776699,10.629499136030226
std,34.014866188372785,5.719108694861671,121.58369038167059,2870.8051784396475,140.3214064242944,256.84670867241084,313.25000250344345,24994763.00487233,780.4667793862405,86.61339943394499,319.37814982017846,15.928494923588275,161288.07537034914,348.05422092976215,5935949.534469574,26.66459778094582
min,-209.7205042,0.0,-424.0,-1344.162437,-936.1445783,0.0,0.0,0.0,-539.4610778,-98.1761686,-79.98477157,0.0,-539.4610778,-93.42639593908629,-1856000.0,-0.9504732372128748
25%,-0.032055392,0.8627960564999999,-5.687601664,0.0,10.94318182,7.1391787605,18.522240834999998,8602.1038255,2.7417910174999998,-1.056267521,0.0947595365,0.0,5.66118963,0.2818588837712795,214.0,2.523380108384238
50%,4.924559933,1.197729878,4.59594073,2.56273619,39.3077889,34.18669317,47.81709284,66059.85355,17.54221767,8.145094806,0.661715719,0.400662676,32.87209188,1.0237952782137765,12266.0,3.501474351458877
75%,12.685922715,1.96168005,11.98621396,39.606593125,60.92308066,53.122535575,72.43403715,3215203.141,106.476493225,35.81895949,1.847532604,6.3250486615,122.3767245,2.7133577267217652,689656.5,6.685955701752224
max,196.552499,29.1,776.422261,29100.0,98.04010252,2319.542673,3138.336524,247130999.9,5606.506849,463.50509630000005,3240.0,144.6500581,1637100.0,3531.0,58897000.0,184.45332866349116
