,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0,624.0
mean,-13.556610953035248,3.945352397384615,199.2442935763254,41.85602667909932,-18.779844374964757,54.92537267957217,74.80837027420989,21654713.129590075,92.91887916182858,15.188407565629841,41.82938792336217,31.146086177536873,24.25511194366986,39.0194450150618,3610473.6454647435,7.781114916015679
std,345.6481922944279,19.09651727587562,4820.726542539012,935.7114506974604,989.1680494693106,293.84052034918943,151.51951360719056,73480173.19978943,1420.220875116995,184.7726710864552,917.2597969479997,417.91012356682234,1004.0139744884705,915.4559287416284,25817612.05289595,93.65788948863867
min,-6524.498802,0.0,-381.3492063,-13096.551379999999,-24135.16484,0.0,0.0,0.0,-7233.682751,-303.2424618,-267.80171490000004,0.0,-19366.33571,-348.18756698821005,-48042000.0,-135.73263564619327
25%,0.08364326,1.1959590455,0.98111000175,0.0,21.945142935,13.1371741225,39.489023402499996,1528827.9669999997,3.4894859415,0.0869386585,0.22094163175,4.0541539635,4.5078474239999995,0.2290719850624156,4783.25,1.948777622580913
50%,5.3848065645,1.9616144525,2.840788704,2.12447708,51.213588400000006,28.51560799,61.58054782000001,4934284.149,17.87973402,8.202482126,0.5606666205,11.33301575,21.483089075000002,0.6255942677937565,372282.0,3.3753653913751727
75%,14.022701450000001,3.2750267712500003,5.558748726999999,20.9992989375,71.19227106,46.049184687499995,80.64531800750001,12395513.8,39.323863585,19.4070131675,1.44254174975,19.11478599,45.5055058125,1.6297843792424478,1665793.5,4.562819956973046
max,911.1451943,457.09333330000004,120414.0,13012.04103,110.7871926,6772.025029,2902.037835,1196000000.0,30760.09539,4502.535926,22855.0,10437.85141,14604.058519999999,22855.0,539000000.0,2302.940201861396
