,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,597.0
mean,7.807137590988287,3.787338908973245,760.3151792462066,235.6307132123196,-29.6661140257776,63.397968449518366,93.63664494279769,5745587.961931231,65713.55394184506,20.32864307180266,1121.2963150418677,10.136605595635459,66106.4684597992,inf,1582069.5214046822,6.938276623970706
std,23.368875981307625,28.069793727937462,17774.501346873072,4563.121817220798,699.2246228966221,267.4012077131044,586.926683052782,24022458.215956934,1590720.994452144,127.21231515968341,27125.02987076702,130.55079472782907,1590723.5462256062,N/A,11913359.61522158,41.53920046784539
min,-100.43271920000001,0.0,-2139.4503219999997,-19324.752480000006,-12762.158879999999,0.0,0.0,0.0,-40551.6129,-511.3402062,-752.7741934999997,0.0,-40551.6129,-729.25,-45413000.0,-126.54357253798537
25%,-0.124391017,0.8404633667499999,-4.574529721999999,0.0,8.488082011500001,17.818846425,32.58138391,59727.5,0.161534693,-0.00043343850000000003,0.2147646405,0.0,1.1022841457499999,0.19384908062149359,2101.75,1.9283998540006704
50%,4.4549696165,1.2365950505,2.562780053,3.558372685,33.125792305000004,39.78233343,56.36286243,1166890.924,12.016087044999999,5.9647015224999995,0.830389252,2.0432614875,17.45497402,0.9378329075685192,96053.5,3.125413179016398
75%,12.510944177499999,2.0140469575,9.10531039875,53.691665382500005,59.8863282475,60.93261477,79.30504464,4622603.688749999,39.250771209999996,21.133900505,2.3637295827499996,5.807980376000001,57.7973640875,2.9962356204447205,944748.75,4.783115956939578
max,190.2005065,652.4356436,434419.0,106730.3909,186.5742746,5617.5756619999975,14042.5938,523250999.7,38898900.0,2220.323054,663321.5,3186.108791,38898900.0,inf,257289000.0,925.9780901657567
