,REGISTRATION_NUMBER,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
mean,2221352.727272727,8.418693910363636,4.791744177999999,4.269899451727273,13.656841871545453,53.43127540027274,6.31112596490909,40.23451902027273,265703999.41163635,34.88441800390909,17.578464537545454,1.5994218442727275,7.221682262545454,36.03784596809091,1.735908023036602,35393131.25545455,4.621665176616133
std,2354961.4522803165,16.83000755282473,5.553201456410179,3.405473255161941,20.95708667818269,24.246770611921125,7.545958435122701,32.04802060899832,646949051.6329967,31.31437465732842,16.932331806336776,2.8218072823684555,6.062267819329383,30.900391742407383,2.771050918488694,62950312.12181736,3.388266158484718
min,134409.0,-24.59605027,0.580204088,-1.297549929,0.0,9.172828733,0.0,0.0,3693225.7060000002,-3.440914228,-3.2681297710000003,0.08579580199999999,0.0,-5.583859792,0.12182197496522948,-55000.0,0.5512240334017574
25%,225610.5,3.214631061,1.62395162,2.0268228405,0.0,39.757407515,0.395546462,13.315128613499999,7663956.5,15.428556,7.6918756255,0.13602489550000002,2.0106586135,19.14817053,0.46169242536649224,995094.5,2.6786553582685286
50%,1060004.0,8.067218708,2.0748815169999997,4.23015873,0.564673157,47.85202758,1.065249114,38.42505733,14767999.55,21.55905292,12.95486767,1.089775608,7.067699605,23.11299658,1.0897756075510312,2618923.0,4.095651363490799
75%,4393356.0,10.822762155,5.6059632409999995,6.9254633084999995,17.123018984999998,68.81418871,11.388198335,63.629056739999996,173326999.9,51.625424795,24.50388805,1.425899533,12.884039224999999,51.74641492000001,1.515635922849388,36928000.0,5.3636098600666795
max,5992529.0,47.52289075,19.80522565,9.762252784,62.27837783,89.14070346,21.65108819,94.93680378,2189000000.0,96.05948328,53.54756826,9.901762467000001,15.93699619,96.05948328,9.901762467454436,196000000.0,13.157722564041407
