,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0
mean,-0.15875594572357588,2.8622017143333305,1461.967706678679,65.18865307559346,-41.068334351199184,35.40791679810571,50.00355246914634,70002546.41846058,3069.7787843517194,10.071733883264228,408.42545937922773,13.934898931443096,3087.196376915196,421.757531433755,8000760.840487805,11.505314592399172
std,123.73342819830091,7.505343147660089,20939.022121596907,455.22021569554204,500.6457153898991,38.373826685407494,64.5464630178102,433801689.72021055,47242.783050642,97.64349172334265,5932.627092818674,25.238895024520936,47241.898897566905,5935.11911433842,45994874.81915019,110.69294962318574
min,-688.2588758999997,0.0,-145.6016647,-976.3347411000001,-5129.460232,0.0,0.0,0.0,-2545.0795949999997,-1000.660066,-29.78867925,0.0,-2545.0795949999997,-30.43018867924529,-22821255.0,-52.37619847596391
25%,0.0015721292499999999,0.921801142,-0.06995501700000001,0.0,11.186191390000001,11.836115192500001,12.932817035,475449.73695,0.48760733149999996,0.05757186075,0.19996904875000002,0.6107203029999999,1.06567487125,0.1123043696102887,3918.25,1.5469487963389137
50%,5.605965215000001,1.4731114939999999,2.822675804,2.503325341,40.932841214999996,26.02211206,42.44584305,4706178.1855,14.767855829999998,8.055118698,0.6707905784999999,9.524138946499999,20.975855690000003,0.7616758226881982,475116.5,2.950710741015664
75%,14.50433211,2.6969655595,7.24535470675,29.8785035025,65.7902403025,44.6268837575,69.4727671425,14351999.67,36.36874148,20.5187720675,1.8374089377499998,18.4580892775,44.4141400775,2.4420200386908704,2256453.75,4.8005638136112125
max,1407.936257,100.1,327214.0,5339.285714,278.25091580000003,280.93100830000003,750.6207268999997,6336000000.0,741000.0,582.5273268999998,92837.0,306.2950708,741000.0,92837.0,572000000.0,1714.2913043478259
