,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,243.0
mean,-10.543204890122446,3.6042108855102044,108.471552311098,-19.740270688069376,-129.08589369717959,61.59911661141632,61.93904239975513,8025961.5460802,583.7244214487139,100.79548986214289,2.5531696697142854,14.04122694436326,681.8730815471791,2.33699358737556,-30090.570122449008,8.931059113452099
std,123.2450696790322,9.467816118771267,1611.1651149384022,1091.553905925157,1306.9968321007327,255.5943674759045,131.86328013207282,19607602.70682124,6986.227586625751,1683.2367203689214,24.119261637027105,21.041656721214313,7047.879756397836,31.740082114008658,9964976.785950618,73.78259571330867
min,-1213.3737800000001,0.0,-1256.036145,-12989.06667,-15716.071430000002,0.0,0.0,0.0,-7340.140845,-1354.703833,-203.5269333,0.0,-7340.140845,-330.9904,-149104929.99,-135.95326866806428
25%,-1.600649481,0.94416607,-0.120949123,0.0,1.963444182,7.519505567,6.290208135,34559.4839,0.526340414,-3.1361166660000004,0.043604558,0.0,4.926129059,0.033104869567552334,0.0,1.6866788005985756
50%,3.559256262,1.55999155,2.606002133,0.055653377000000004,35.72436078,20.21572935,36.48908891,2138712.735,12.33031495,5.56584906,0.447106135,7.980931609,19.58843044,0.5707846728349547,34004.0,3.5634928229974303
75%,8.755722442,3.267376599,7.593371948,18.10379509,69.67688484,41.26519875,73.56591618,6908221.1570000015,40.11097899,15.49986128,1.5619001959999999,19.3825423,47.36237689,1.9841110372648727,631027.0,5.827039134473124
max,522.3956156,111.33333329999999,25176.0,10184.15842,3391.3892049999995,3306.998985,1618.389018,154201000.0,100700.0,26230.35714,200.0,177.6344556,100700.0,212.42574257425738,29425170.0,1120.5121864667171
