,REGISTRATION_NUMBER,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,5581851.05882353,21.168315287764703,3.2079843581764713,2.1816155016470598,199.39724918176478,54.203865129647056,32.60810513941176,60.71824792717648,171429185.87754416,40.91734212252941,24.582283418882355,1.4849728752352944,6.188698558764706,85.04699056335295,3.4172994474719185,71292178.01764706,5.096482218451376
std,4422395.304176749,33.06189441350475,2.579051710793066,14.48938659213105,734.2521045819334,30.338797615799834,52.63694380635907,55.80995498899021,420668631.27618957,49.25425265290275,31.725857186036,1.8133433693727914,6.043417908088075,168.2893465612015,7.878911696941124,188240344.3636745,2.637655746672638
min,134409.0,-1.841771813,0.092748292,-51.64331797,0.0,2.9280673439999996,0.0,0.0,6904.2490609999995,-50.98814229,-10.3055722,0.11492995800000001,0.0,-50.98814229,0.11492995764881092,-2854000.0,1.2779216181974329
25%,1060004.0,5.689332816,1.476904999,1.758442276,0.0,24.44630377,0.487295972,22.7993237,170484.4042,9.629407555,7.2034126579999995,0.19644213,0.9541009690000001,9.636433839,0.2542197855600757,61625.0,2.8673904054367236
50%,5203113.0,11.78469031,2.470110435,5.479073894,1.860816585,68.17178497,9.171292173,47.53431191,4573646.265,30.30762992,14.97361918,0.46688252399999997,6.159703658,34.22884973,0.4668825239166568,530678.6,5.384910898209339
75%,9584910.0,17.76187639,4.195154904,7.582935934,26.14134148,79.73084239,23.55487679,72.78663478,26685658.76,68.82446214,26.1596778,1.834051724,8.681783709,95.56692242,3.0938948216804354,4249019.0,6.207874290273253
max,11252044.0,132.2837784,9.693376845,13.564117600000001,3044.558737000001,89.69173293,163.21463980000001,193.4740421,1584600000.0,139.84739109999998,116.94846129999999,5.3823529410000015,22.10432897,708.4670966,33.15221984534146,700350924.7,10.804175998303077
