,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0
mean,122.49887890686348,3.0196923771174626,-5.393353803815876,27.120575832933323,-26.134714250580924,70.19668660206982,58.24388850149845,67225294.88857205,-41.01946470471747,8.397340304215877,3.7811497567174603,16.084743615171426,-215.8755307870699,1.3204607505476786,8827636.396349208,3.5308232151745633
std,2454.1021326649206,12.488516745058263,158.02900984911867,233.22900718092527,798.7789756165931,319.8716770603708,124.11894276362159,440344750.9025076,838.7023635645638,62.42110749502224,41.55313336657464,66.8069385714586,4093.339397571799,16.764827950513457,50732013.11730544,5.107193901173597
min,-4004.6511630000014,0.0,-2254.266667000001,-1604.3257,-13952.5,0.0,0.0,0.0,-10332.70677,-219.2478454,-26.51725082,0.0,-71695.64692,-264.13123196807504,-45322000.0,-11.218368914160994
25%,-0.2008440685,0.983964494,-0.2229869175,0.0,11.306278890000002,21.06060101,25.90641627,3002467.9749999996,0.5702797239999999,-0.37998709599999997,0.259941998,5.714630937000001,2.1574819565,0.3051417733643286,53590.72,1.8170754137927112
50%,3.057505032,1.481974722,3.787929872,4.420718078999999,38.6607639,37.36339216,46.25304898,9328330.761,11.73045637,5.084745763,0.8379355270000001,9.542161796,16.1562204,1.0579743371362171,870872.0,3.0626137531545865
75%,7.4216481765,2.164834399,8.471120647500001,51.54470904,58.277035295000005,53.158375,66.51037213000001,23607433.575000003,29.44471712,13.039708359999999,2.1248388169999997,14.888305045,40.62775412,2.751893595689997,3279501.5,4.169969998474281
max,43335.43689,193.0392157,798.43256,1319.773635,746.3641905000003,4049.614251,2086.537801,7284000000.0,3809.162304,804.0065425,731.9254081,1171.076069,4791.767289,44.47750119308607,655100000.0,58.25198190122508
