,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0
mean,9.518583375273693,2.4319068199964904,19.790212664929836,-130.89561293911225,40.07642770662106,51.06038517350175,83.30986169315788,42013838.07400213,17.47431972550877,6.618894254291234,-0.7609408520666671,12.020915137340351,111.61597521283154,-1.0824497651986342,16843841.423263155,3.7705276888539467
std,65.81154557386333,2.850522362705644,246.25302811049036,3143.9751384097603,40.20429069614214,173.82697815041072,310.79058409710933,241018901.38258234,66.58424900066699,27.013164318060912,36.073794933010554,10.879548801366724,1295.412522996931,41.8427958266325,228895058.51199,5.528843750590412
min,-70.78159240000002,0.0,-294.63910489999995,-50713.157889999995,-189.5078923,0.0,0.0,0.0,-191.3720755,-188.9415042,-595.5526316,0.0,-627.4796352999998,-682.0701754385965,-71000000.0,-9.430643128853758
25%,-0.19305159300000002,1.164491654,2.050535323,0.180506644,22.71985321,16.76990606,41.0868322,2704005.523,0.235102962,-0.35440211299999996,0.32582339899999996,4.725220235,3.825730147,0.398686278140871,37318.0,2.183952439936946
50%,3.2967973969999997,1.662375274,4.170815931,8.803030065,44.70963126,36.4602436,65.56110824,5416192.819,11.03848149,5.787834362999999,0.830259509,9.434568028,15.12208023,0.9815515045487542,592829.0,3.1355545077717584
75%,8.655221535,2.461809647,8.744547469,48.26133308,65.40213939,55.94378168,84.16224859,13608764.48,26.45244942,11.85493001,1.786225131,16.0914429,33.77477767,2.1870360915743823,1578242.0,4.2117371745493255
max,983.7803615,27.06478781,4113.142857,11967.05609,110.8293058,2901.435188,5247.056359,2958000000.0,627.0642614,169.8039366,51.7879538,75.09030215,21681.57895,91.88118811881188,3841000000.0,77.05064908172737
