,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,283.0
mean,-6.150042000028171,3.3259987439788747,67.44130734309508,80.26937181384861,21.31417506669719,47.41225313075351,103.35407103455628,9052928.024999343,358575.3454894536,179217.6559721901,3.7213370069401392,10.742951309225353,358542.7561563038,inf,1139172.7399295773,38582.869197013926
std,104.857590020035,5.2890471470933385,790.3198541129536,966.0572914414868,164.47233679386537,95.7531679846751,272.9340768993608,17146294.35221448,6039413.234943598,3019710.705698368,25.03764503015626,16.886808361550543,6039415.133844929,N/A,3162144.80310423,648939.1769388595
min,-1490.47619,0.0,-811.697417,-2450.2929649999996,-2367.647059,0.0,0.0,0.0,-1100.0,-232.6,-82.35294118,0.0,-1438.440367,-845.5647080028839,-28247000.0,-8.695387731885967
25%,0.295146538,1.0116364745000002,1.0053728182500001,0.0,9.075562304750001,11.4332779475,25.872413905000002,41565.5,1.8249260805000003,0.2909846185,0.07914596825,0.0,3.1371715945000003,0.1170636916158646,0.75,2.2138394591960644
50%,5.213289358,1.8167957245,2.773926086,2.8124411604999997,47.010247945,25.619158015,57.00347067,3287668.2395,14.285927939999999,6.9456793105,0.41178063099999995,5.789687688,17.714917135,0.5665027564452969,291546.5,3.641537096601868
75%,12.3309052425,3.460180265,6.569086946749999,23.443215255,72.11640049,51.1866615625,84.10331788,10587438.065000001,37.4434327575,19.5705342525,1.1703838629999999,15.2246527625,50.0,1.6088641613845673,1540737.0,5.615226242838796
max,118.3119819,42.05200946,9390.5,10750.0,129.7619048,982.0116413999999,3243.362466,139399999.1,101778200.0,50889100.0,243.5,152.409701,101778200.0,inf,15519100.0,10916854.11
