,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1906.0
mean,-10.410445482868456,2778.498021104971,3443.104585359015,672.2941644806212,10.258387824184998,50.06430891560856,73.20942418489369,16287273.857810883,48.374854800513106,-1.2338200078972725,703.5903787345873,13.728372120892056,-197.20091552304137,inf,2557482.5866823904,1671.2695545561673
std,203.68459186133816,121230.37950090288,107512.5076322817,26205.163427759053,243.11850613873585,143.19923963396877,159.97075655011864,99841777.3159811,737.3519308647122,234.60719999488146,22815.744748659738,29.17913574561273,11350.422498986647,N/A,26827830.02517385,72776.35432146673
min,-4913.383234000001,0.0,-3773.103448,-6041.298384000002,-5124.285714,0.0,0.0,0.0,-7542.857143000001,-6893.333333,-555.0792311,0.0,-494350.0,-560.0012988699831,-124784000.0,-76.87149683119713
25%,0.044944094750000003,1.0497995734999999,0.73029924625,0.0,17.43491222,13.0358711825,30.6853651,530799.612325,2.57795904925,0.06746044225,0.18306491949999998,1.7381240092499999,4.198227497250001,0.18487434716609663,2913.25,1.8808718450920288
50%,5.09111181,1.6426312975,2.865921165,2.422364323,45.38419364000001,28.0475168,55.68218403,4018462.7084999997,15.45219521,7.191402759,0.633848542,8.820381515000001,19.324458110000002,0.7567141384053082,385979.5,3.2258964032237323
75%,12.918047932499999,2.8973469182500002,6.90446992175,28.668965122499998,69.6751747725,47.173514192499994,76.68642657250001,10016912.1175,38.02305908500001,18.15296533,1.57632974825,16.6753944375,48.5839352375,2.0485884678392488,1566481.25,4.813059835006595
max,1582.857568,5295426.0,3842832.5,1143800.0,419.2017387,4532.059179,3655.2034409999997,3700999999.0,24654.46686,2736.633663,899023.0,557.2256031000002,24654.46686,inf,1058000000.0,3177256.826281188
