,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0
mean,4.6979043350996506,3.1309832942740217,6.525216022373666,16.98337781019218,11.637778481345203,67.5736698465587,75.75144384169394,15886348.006544769,1.0040874548790049,11.845628316430613,2.9884861379679726,17.44294457459075,14.346199539192162,2.8604791884526652,2112633.015302491,4.481024780829432
std,50.22952851177617,5.751702520149594,40.259746304326455,717.0945142263806,360.5876988621835,235.86807188852242,156.56182840467085,93709163.86203589,573.7458971397597,108.53363427455928,18.191902213817084,21.91155347244904,640.4845519222765,20.525880938220208,12149248.85677345,6.945302726027977
min,-302.9288703,0.0,-242.3246269,-10490.88758,-5773.299101,0.0,0.0,0.0,-9052.0,-351.6046213,-29.84881393,0.0,-9052.0,-128.43043100814293,-3330000.0,-7.7572562283950335
25%,0.34620441700000004,1.2088175429999999,1.412910453,0.0,24.10264243,16.15675496,34.10218978,526298.4135,2.099972861,0.42869752299999997,0.221074847,4.512348845,2.6296259930000003,0.28054220652044115,2254.0,1.9695036547521991
50%,3.5959111910000003,1.85987044,3.113600921,3.7993957239999996,49.58848346,32.64313402,52.91908339,4816829.768,11.1154335,5.242430398,0.5785481920000001,14.97471837,13.31101706,0.7224073768217554,421341.0,3.215874871456517
75%,10.17333302,3.1000007239999996,6.767933071,31.94372179,71.70971242,49.67060389,72.39271678,11182145.34,29.87474321,13.48346385,1.468697124,23.53449724,31.94263219,1.815451486964878,1542702.0,4.75922895349043
max,620.8633093999998,70.57887120000002,483.33333330000005,3442.8644369999997,102.2196633,2711.910726,2104.8536710000008,1550409000.0,1839.8550719999998,1660.666667,265.5716418,277.0015718,4087.179487,265.5716417910448,195444000.0,79.89731056403791
