,REGISTRATION_NUMBER,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
mean,2612102.3636363638,15.155694571181817,2.7872446327272726,6.776731346727272,9.28760536009091,46.71051283854546,8.033889681,46.11061928181818,293375592.9724545,22.702887400909088,17.755755741090912,4.246680771454545,8.90136639081818,24.576058846363637,4.337362355236075,59308712.14545455,3.5966836926355588
std,2344691.4441974354,18.95847526466804,2.1408883370561456,10.31599203116293,15.07584930623408,27.436579426530816,9.188453632240956,24.97512116526215,594729794.6976345,88.62010440527357,21.22646101392895,7.738778582870476,5.980461270361993,89.26348619014284,7.692741588403251,97587434.08722255,1.9203562817425626
min,134409.0,-6.808561654,0.689086235,-1.017628997,0.0,3.8265548089999997,0.0,0.24715004,3923223.79,-223.21003629999998,-17.34749694,0.11101920300000001,1.066299768,-223.21003629999998,0.27438068545016475,-599480.0,0.3429020159741527
25%,556716.5,5.1110523489999995,1.2991495634999999,2.3028079625,0.0,28.163340405,0.4771094505,36.76422053,9733153.556499999,12.414139305,6.5414485795,0.3357170355,4.380937062499999,15.424477944999998,0.43257945249367824,846165.5,2.7553914259309047
50%,1501573.0,12.67305362,2.1120229090000002,3.661365692,0.034678723,47.61610454,2.62188445,45.35923026,17869610.0,34.51272884,9.219502963,0.882819191,8.093692677,34.51272884,1.1007140869887786,6018000.0,4.101361430667525
75%,4856409.0,16.00545879,3.3215305335,6.306261055,12.691458990000001,72.680947565,16.025998095,51.970682335000006,300536999.95,79.36001670499999,32.299631515,2.969204691,12.951807125,82.88270961,3.0271122337450174,85231000.0,4.682467123235547
max,5992529.0,66.2804884,8.114505652,36.95397063,48.9245318,78.46948808,21.95069793,93.46005407,1986000000.0,99.84179731,55.84318204,25.13316809,20.70497412,99.84179731,25.13316808516861,251585309.6,6.468494585671161
