,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1284.0
mean,5.010080561388504,14.443460682095576,478.0222005378833,59.651874495238516,-28.49185111731008,41.62510771452371,43.94127429624168,35184030.78991228,688.0061306836533,-16.930173795758375,37.45465599819037,7.622529827399377,709.5762387573809,inf,5958849.399526029,13.545552427490188
std,116.7425222601372,235.58877510724653,14922.052115200326,456.77557641425756,1234.5984430008916,162.4283778462403,45.31132149432668,220050366.51048824,16624.41475985215,707.3167635765071,910.692100213049,8.852293285176462,16617.432133502127,N/A,55099072.75747685,145.8272209470286
min,-1505.952381,0.0,-4996.024884,-4457.177958,-40900.0,0.0,0.0,0.0,-16369.69181,-25236.36364,-46.45781328,0.0,-1250.823892,-606.4166666666666,-50503000.0,-60.899167089659024
25%,0.0,0.920936301,-1.0760950155,0.054659471,20.961066225,15.245794775,20.152368674999998,2328294.767,1.3764285115,0.0,0.25208670349999995,1.8332850125000002,2.606701573,0.28563574426302574,45422.5,2.1804877909268354
50%,2.640567281,1.39733349,4.258585341,6.320655226,45.39270777,27.10760674,41.641543,6342298.56,11.33190118,5.330179498,0.683896518,5.102280693,14.73063973,0.8620664529291752,871552.0,3.509764556817003
75%,6.681479018999999,2.2616385799999996,11.529243835,47.375819045,66.40781318500001,41.353576965,56.638576265,18261440.95,23.86861014,12.222919439999998,1.6592699165,10.251290765,31.679924970000002,2.1265406715762927,2863224.0,4.8555606998388186
max,2791.584894,6079.0,533483.3333,7565.497076000002,683.9148494,4814.1806289999995,709.9978373,6570999999.0,421200.0,907.8431373,30772.85075,82.38304798,421200.0,inf,1812000000.0,3649.5124181608808
