,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0
mean,4.809857546766038,3.4159323713735863,-37.431972456157645,56.373534339489595,-779.4233569658022,39.64651183619625,74.05930626106417,21515046.27275823,104.36420929917173,554.0565660173776,2.4507201433245265,14.568980276786787,190.6098382307926,inf,2906505.853179245,24.551433785266187
std,57.84525051420438,14.56399628715933,1325.3677583372712,1034.0530161601177,18050.400106075416,63.71482966601491,108.67139948377522,85708828.59827344,1239.9004868748557,16885.71064854046,19.964816408644598,22.3488343546675,2665.148037331903,N/A,16413260.582738267,765.9383490027307
min,-1230.3745490000001,0.0,-42891.59794,-7973.747265000001,-540971.4286,0.0,0.0,0.0,-2201.790281,-9581.617647,-232.5172414,0.0,-2360.3448280000002,-325.5678564754252,-25988000.0,-2351.702766027038
25%,0.63733890975,1.18941182025,1.18935824175,0.0,26.137127829999997,14.35953898,38.797004265,2010453.86125,2.62595921325,0.69380667225,0.26553531524999996,3.8129236420000003,3.464751531,0.2872482045827234,18798.0,1.9816778566177347
50%,5.505318351,1.7803072805,2.904189074,2.6162330115,49.451002185,28.959905524999996,60.727355715,5613451.907,14.01412246,7.4142149435,0.6636915135,10.958084265,16.536854445,0.7710648552269372,463470.0,2.955964290397463
75%,12.8233979,2.9067525510000003,5.96181766475,23.2287449125,68.106956805,48.6815411675,83.74177921500001,14412499.095000003,31.938391935000002,16.216596770000002,1.5529857054999998,19.72925178,36.175762299999995,1.9100548908461894,1828793.75,4.180646167050034
max,955.36875,336.7126904,2281.6,28400.93202,390.72432139999995,1066.410898,1919.614896,1861099999.0,30965.69343000001,549271.4286,329.5833333,328.521448,71608.33333,inf,308100000.0,24804.80011089109
