,REGISTRATION_NUMBER,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
mean,10264830.0,-4.616440187,2.1888514585,33.018020525,12.138345699999999,47.31564091,12.904374695,11.7651025325,88168.00967,-213.08697426,-43.506068255,1.5184216745,5.875697474499999,-234.931843945,1.6398051315064557,41363.0,5.897093324033958
std,1255258.7863894838,20.399292195720808,1.3984912700746888,29.35964971254183,1.9728010494527832,29.879037667475203,18.249541707613172,13.229215383570368,81179.80375421702,407.57925437567985,144.07296218267146,1.686720900199296,1.9487659009403027,452.8488512267883,1.6669928896424018,131410.13842927036,6.10250419633996
min,9377228.0,-19.04091803,1.199968798,12.25761312,10.743364699999999,26.18797076,0.0,2.410634625,30765.21994,-501.2890289,-145.3810368,0.325729888,4.497711891,-555.1443375,0.4610631550505554,-51558.0,1.5819712245826096
25%,9821029.0,-11.828679108500001,1.69441012825,22.6378168225,11.440855199999998,36.751805835,6.4521873475,7.08786857875,59466.614805,-357.18800158,-94.4435525275,0.92207578125,5.186704682749999,-395.03809072250004,1.0504341432785056,-5097.5,3.7395322743082837
50%,10264830.0,-4.616440187,2.1888514585,33.018020525,12.138345699999999,47.31564091,12.904374695,11.7651025325,88168.00967,-213.08697426,-43.506068255,1.5184216745,5.875697474499999,-234.931843945,1.6398051315064557,41363.0,5.897093324033958
75%,10708631.0,2.5957987344999998,2.6832927887499998,43.3982242275,12.8358362,57.879475985,19.3565620425,16.44233648625,116869.40453499998,-68.98594694,7.431416017499998,2.11476756775,6.564690266249999,-74.8255971675,2.2291761197344058,87823.5,8.054654373759632
max,11152432.0,9.808037656,3.1777341189999997,53.77842793,13.5333267,68.44331106,25.80874939,21.11957044,145570.7994,75.11508038,58.36890029,2.711113461,7.253683057999999,85.28064961,2.818547107962356,134284.0,10.212215423485306
