REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
365289,PALMER TIMBER LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-0.527181408,0.937022893,-36.80956973,245.755915,19.03990881,58.39544725,63.87810833,11618218.58,-3.3141411130000002,-0.8928515659999999,3.837168466,18.03051013,-4.689368921,4.252125995997289,407685.0,1.8176743543453155,0,36,2,Moderate,2,0,3,2,5,4,4,0,0,4,4,0,4,4,2
382248,MERCIA GARDEN PRODUCTS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.999952955,1.0950890770000001,23.42591869,0.0,34.33556492,40.43092917,50.61144114,10815528.69,21.29998006,7.31346848,1.912432058,13.79260784,21.29998006,1.9124320577192304,1424603.0,2.2305584590180083,4,48,4,Better_returns,3,4,0,3,4,4,4,4,3,3,4,4,3,5,2
396804,DAVID COVER AND SON LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5.384850765,2.01914851,7.5257051079999995,3.660223832,74.78074238,36.63428607,35.10774022,20347850.95,12.065989,9.337923011,0.302842432,13.71669311,12.50763121,0.3401937751549826,5074634.0,4.206352947497518,4,47,3,Reasonable_performance,4,3,2,4,4,3,4,3,4,2,4,3,2,5,4
399324,DAGLESS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.784321177,1.372085444,8.006959598,37.30118197,49.8581339,23.40727166,34.26056069,6222047.074,5.731295182999999,3.389468561,0.81953205,31.07808805,6.798225877,1.0056907906745418,731383.0,2.229738924742639,3,45,3,Reasonable_performance,3,3,3,3,3,3,3,3,3,3,5,3,3,4,2
410867,NICKLIN TRANSIT PACKAGING LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.084244505,1.137423662,17.27094789,66.57422224,26.10583203,71.50998277,90.0283085,4390584.8610000005,7.423745972000001,2.9686554089999997,2.29877198,5.870567994,11.37161767,2.8305616877490385,377769.0,1.9189250483040128,3,48,4,Better_returns,3,4,3,2,5,5,3,3,3,3,3,3,4,4,2
414489,WERNICK BUILDINGS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.819381321,3.493314316,2.362295128,18.00031862,61.46281593,29.40870041,40.61700948,14447568.13,10.75285274,7.798648243,0.446996789,14.69809145,12.6884005,0.6269999753576492,1395850.0,3.7714418422071807,4,45,3,Reasonable_performance,5,2,2,3,4,3,4,3,3,2,4,3,2,5,4
416607,ROWLINSON GARDEN PRODUCTS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.068229464,1.708230102,4.265319337,100.19531529999999,25.49835125,39.70018094,90.4043561,8373772.137,3.0946260889999997,1.5796984509999998,1.919869048,28.56286282,6.195296455,2.9218222008469015,321041.0,2.2075537266430576,3,49,4,Better_returns,4,3,3,2,4,5,4,2,3,3,5,3,4,4,2
416607,ROWLINSON GARDEN PRODUCTS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.262745985,2.30154524,3.171591165,71.75276711,38.98544933,35.76111631,39.56055739,5058440.463,0.5352108,0.35836959399999996,0.847531901,37.24429303,0.919239358,1.56505957240215,157414.0,2.336227427805776,2,42,2,Moderate,4,2,3,3,4,3,3,2,2,3,5,2,3,3,2
457573,PONTRILAS SAWMILLS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.6755722809999999,1.048061331,47.11507657,85.84687931,36.44711685,59.84583158,74.77749065,18928169.76,1.551995675,0.770402576,1.404224092,10.71932798,2.148146703,1.8719085426208129,2422913.0,1.7108712746412365,3,47,3,Reasonable_performance,3,4,3,3,5,5,4,2,2,3,3,2,3,5,2
474897,M.H.SOUTHERN & COMPANY LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.9708597469999998,2.1608510659999998,3.5449568289999998,14.95848115,55.36149861,51.06948618,65.24155166,6103942.955,4.707641765,2.978683293,0.663396716,25.40467651,5.380423883,0.8063094841648767,483261.0,2.9771327959498524,3,45,3,Reasonable_performance,4,2,2,3,5,4,3,3,3,3,5,2,2,4,3
