REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
11943,GODIVA LIMITED,2014,manufacture of machinery and equipment (not elsewhere classified),21.87628866,2.227996837,1.784892814,13.26195821,52.71974145,30.08427835,59.39716495,19719999.73,32.35249276,19.31813009,0.7642030740000001,12.5,36.64306683,0.8968226558452772,4465000.0,3.0436246151009936,5,53,4,Better_returns,4,2,2,4,4,4,5,4,5,3,4,4,3,5,3
30037,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL UK LTD,2014,manufacture of machinery and equipment (not elsewhere classified),4.388872874,5.549886105,0.9262708190000001,6.5513445510000015,79.29718675,43.80999568,57.39622370000001,36545999.24,3.595253557,3.0101574280000003,0.20710803600000002,18.02752955,3.830791005,0.27580501463662976,1297000.0,3.88818452781915,4,46,2,Moderate,5,1,2,5,4,4,5,2,3,2,4,2,2,5,4
33672,WHEELABRATOR GROUP LIMITED,2014,manufacture of machinery and equipment (not elsewhere classified),8.192736112999999,5.386977537999999,0.8931557459999999,35.16227749,60.53119048,15.12390697,53.27800152,37891999.92,7.2004847089999995,5.881280442,0.303176587,2.08628134,9.732339123,0.6566106236763626,1602000.0,2.800424103730732,4,45,2,Moderate,5,1,3,4,3,4,5,3,3,2,2,3,2,5,3
37545,LEEDS AND BRADFORD BOILER COMPANY LIMITED(THE),2014,manufacture of machinery and equipment (not elsewhere classified),6.6489374560000005,2.845594137,2.457144836,1.100617336,65.54958536,33.66268115,119.5567029,5321445.545,15.34611537,10.17002956,0.51455649,10.03535976,15.51501737,0.5255626630977315,602450.0,3.785562916957181,4,47,2,Moderate,5,2,1,5,4,5,4,3,4,2,3,3,2,4,4
40051,DE SMET ROSEDOWNS LIMITED,2014,manufacture of machinery and equipment (not elsewhere classified),15.94214291,4.371138052,1.47575406,33.60350784,59.67332699,30.55773917,46.79781464,11176999.21,20.16907011,16.07992388,0.339755514,15.89497681,26.94658517,0.6757905926122775,2055000.0,3.4148938751414137,5,51,3,Reasonable_performance,5,1,2,4,4,4,5,4,5,2,4,4,2,5,3
43017,"THOMAS BROADBENT & SONS,LIMITED",2014,manufacture of machinery and equipment (not elsewhere classified),5.780213165,1.343375154,6.397473294,168.450968,17.01074286,62.80606066,100.2440069,18174727.49,19.44252954,7.681154871,3.5561661030000002,23.33718888,45.1547292,4.878638037167812,674588.0,1.869114120212779,4,56,4,Better_returns,3,3,3,3,5,5,5,4,3,4,5,5,4,4,2
68014,SPX FLOW TECHNOLOGY CRAWLEY LIMITED,2014,manufacture of machinery and equipment (not elsewhere classified),-5.2409041080000005,1.799762188,1.898800674,17.31123389,39.40998164,30.23725009,63.61825964,22703999.92,-9.289415248,-4.286385177,1.366590835,5.407944877,-10.87639476,1.5374282309608929,-911000.0,1.528473706405709,0,34,1,Need_more_analysis,4,2,2,4,4,4,5,0,0,3,3,0,3,0,2
73961,LONGWOOD ENGINEERING COMPANY LIMITED,2014,manufacture of machinery and equipment (not elsewhere classified),17.69149803,3.471062252,2.1348454059999997,0.0,72.50010569,30.767876300000005,91.86766662,7495810.795,35.40031374,25.66526488,0.37930833399999997,3.8867758869999998,35.40031374,0.3793083339934664,2097625.0,4.8472865110603385,5,50,3,Reasonable_performance,5,2,0,5,4,5,5,4,5,2,2,4,2,5,5
76959,WEIR MINERALS EUROPE LIMITED,2014,manufacture of machinery and equipment (not elsewhere classified),13.96766112,2.8316896239999996,2.895074089,11.36871645,71.28932829,35.50083768,37.06045096,69483999.46,26.62652544,19.58576247,0.400352417,10.11204869,29.65361962,0.5784207530889129,17262000.0,3.84130493813307,5,52,4,Better_returns,5,2,2,5,4,3,5,4,5,2,3,4,2,6,4
80026,ALAMO MANUFACTURING SERVICES (UK) LIMITED,2014,manufacture of machinery and equipment (not elsewhere classified),-0.42423583200000003,3.846698993,2.409067086,3.858829992,81.78806087,38.87033613,0.0,10312998.22,-0.515668386,-0.438029988,0.184084043,25.94365278,-0.535567152,0.2226723427629772,252000.0,4.2874179260024485,0,35,1,Need_more_analysis,5,2,2,5,4,0,5,0,0,1,5,0,2,4,4
