REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
26306,HANSON PACKED PRODUCTS LIMITED,2013,manufacture of other non-metallic mineral products,-6.889082449,0.8315644959999999,-3.19393333,-338.5012155,-10.11203731,25.67781038,37.81603136,404615999.9,-11.78234706,-2.8193170039999997,-7.5823100420000005,10.9355063,28.10104095,-10.172653031726533,-13350000.0,0.09078246298618914,0,15,1,Need_more_analysis,2,0,0,0,3,2,1,0,0,0,3,4,0,0,2
41495,PILKINGTON GROUP LIMITED,2013,manufacture of other non-metallic mineral products,-6300.0,1.928571429,1.384615385,69.73451327,58.48861284,141.9444444,0.0,27000000.0,-59.12408759,-58.69565217,0.012389381000000001,0.0,-100.3539823,0.7097345132743362,-5000000.0,0.03023125416272985,0,24,1,Need_more_analysis,4,1,4,3,4,0,5,0,0,1,0,0,2,0,2
54713,VESUVIUS UK LIMITED,2013,manufacture of other non-metallic mineral products,5.288883235,1.5417751080000002,3.878138714,11.52602876,43.22612169,25.92985651,40.82302763,109593999.8,14.04591283,6.20405278,1.4096777390000002,10.59182731,15.66484879,1.9340275157825901,9930000.0,2.1773217952415496,4,45,3,Reasonable_performance,3,3,3,3,3,2,6,3,3,3,2,3,3,5,2
57091,FURLONG MILLS LTD,2013,manufacture of other non-metallic mineral products,5.203483744,2.929211955,2.866603267,0.0,76.76809848,47.6154244,59.79163682,3582724.3310000002,8.708547252,6.68538613,0.30262442300000003,12.09304471,8.708547252,0.3026244231934977,478226.0,4.176464281260299,4,42,2,Moderate,5,2,0,4,4,3,4,3,3,2,3,3,2,4,4
63230,IBSTOCK BRICK LIMITED,2013,manufacture of other non-metallic mineral products,5.576273736,2.125449618,4.220458824,235.01569619999998,26.70475044,42.21186313,55.63439126,86271999.07,3.1189349610000003,2.7903584560000003,0.394495145,19.56597285,10.44892167,2.744652107570147,16227000.0,1.0268643615241615,4,47,4,Better_returns,4,3,4,2,3,3,5,2,3,2,3,3,4,6,2
66558,TARMAC CEMENT AND LIME LIMITED,2013,manufacture of other non-metallic mineral products,5.775944145,0.972149238,-59.45283019,9.092877246,67.53911391,109.00190420000001,54.21136147,184999999.8,3.6451031439999997,2.6392111369999998,0.41199393799999995,10.8854332,3.940246807,0.4991231915826392,31300000.0,-4.563032624362254,4,33,1,Need_more_analysis,2,0,3,4,4,3,1,3,3,2,3,2,2,1,0
110186,BEATSON CLARK LIMITED,2013,manufacture of other non-metallic mineral products,1.267553413,1.040389821,57.84718499,112.98388590000002,36.16289714,41.03014784,59.12198174,19215999.43,2.078346442,1.221282011,1.14033463,24.30133939,3.377168611,1.7652651725628203,5615000.0,1.7345105990230159,3,47,4,Better_returns,3,4,4,3,3,3,5,2,3,3,4,2,3,5,2
128500,W. MOORCROFT LIMITED,2013,manufacture of other non-metallic mineral products,1.973648415,1.208630215,23.24468455,5.303190956,68.35180155,20.18741616,13.35862903,1383321.267,3.726486434,2.682199282,0.40998731899999996,15.11319197,3.9241091260000003,0.4630192288403949,200142.0,2.7718873740618406,3,38,2,Moderate,3,4,3,4,2,1,3,3,3,2,3,2,2,3,3
144614,PROCTER BROS. LIMITED,2013,manufacture of other non-metallic mineral products,0.081335016,1.2054177,19.01646147,-235.59876290000003,-44.6999383,32.90457998,80.75812886,4337251.711,0.313320421,0.15775254,-1.110770435,7.410038257999999,-0.352914446,-3.2371395530902864,567422.0,2.1182948085413345,2,28,1,Need_more_analysis,3,4,0,0,3,4,4,2,2,0,2,0,0,4,2
150494,DUDSON (HOLDINGS) LIMITED,2013,manufacture of other non-metallic mineral products,-2.9359910769999997,1.956760245,2.343423272,14.71278902,62.19700587,31.21667326,69.03914655,24255998.77,-3.454845675,-2.265722616,0.559790462,54.94189184,-3.684971098,0.6382753543162157,-1245000.0,1.951410921980547,0,32,1,Need_more_analysis,4,2,3,3,3,4,5,0,0,2,4,0,2,0,2
169343,LEWIS & TOWERS LIMITED,2013,manufacture of other non-metallic mineral products,28.26086957,2.664879357,0.296296296,0.0,68.73428332,0.0,0.0,994000.0,6.341463415,4.35875943,0.454878049,0.0,6.341463415,0.4548780487804878,52000.0,2.2848018265620045,5,28,1,Need_more_analysis,4,1,0,4,0,0,3,3,3,2,0,3,2,3,2
172023,"JAMES DURRANS & SONS,LIMITED",2013,manufacture of other non-metallic mineral products,7.533934518,3.388390341,3.307449166,21.33752475,71.7779303,20.94501952,58.65148363,25129751.65,16.50260431,12.92002693,0.302449006,17.10980498,17.99999927,0.3931858941454496,5251386.0,4.485985092818876,4,46,3,Reasonable_performance,5,2,3,4,2,3,5,3,4,2,3,3,2,5,4
175597,PARKINSON - SPENCER REFRACTORIES LIMITED,2013,manufacture of other non-metallic mineral products,0.474117158,3.3093285710000004,3.0246680039999996,4.521083167,71.51754447,21.53619349,49.01192755,3876337.1769999997,1.118609004,0.836170434,0.35304746600000003,26.09463056,1.169182248,0.3982582979206936,256398.0,4.137521828091499,3,41,2,Moderate,5,2,3,4,2,3,4,2,2,2,4,2,2,4,4
207732,CEILING SOLUTIONS LIMITED,2013,manufacture of other non-metallic mineral products,16.04236744,2.210411777,3.2384897410000004,11.61853149,64.63845299,30.296474100000005,48.91936906,51800999.82,31.49537304,20.98510523,0.516269028,4.58291151,32.46535809,0.5470667283501861,10977000.0,3.636465434292312,5,48,4,Better_returns,4,2,3,4,3,3,5,4,5,2,2,4,2,5,3
213795,VIATON INDUSTRIES LIMITED,2013,manufacture of other non-metallic mineral products,6.387778578,2.387774868,4.034839463,1.810898932,61.9469174,20.31194356,54.27537741,4499202.183,20.94477006,13.20959702,0.596176341,14.59301245,21.32405868,0.6142853300892082,882947.0,4.350431832005657,4,45,3,Reasonable_performance,4,3,3,3,2,3,4,4,4,2,3,4,2,4,4
221210,FORTICRETE LIMITED,2013,manufacture of other non-metallic mineral products,2.782576732,1.3863201530000002,11.22781676,374.0474635,16.59021131,48.80977761,49.80260981,8694999.519,3.4767831719999998,2.699233375,1.365556281,11.078845800000002,16.48160244,5.540278762107253,2103000.0,1.4464846423356483,3,48,4,Better_returns,3,4,4,2,4,3,5,2,3,3,3,3,4,5,2
247647,H+H UK LIMITED,2013,manufacture of other non-metallic mineral products,2.854429287,1.641365212,8.025221729,134.4107916,30.36947336,43.95631152,5.86168192,18466999.58,5.982627579,4.251433862,0.954526173,8.135037127,14.02392466,2.312169312169312,5807000.0,2.517684371317351,3,44,3,Reasonable_performance,4,3,4,2,3,1,5,3,3,3,2,3,3,5,3
262938,MORGAN TECHNICAL CERAMICS LIMITED,2013,manufacture of other non-metallic mineral products,19.62281597,1.5791735340000002,6.375444658999999,0.0,69.72588575,42.73888853,40.98161905,26826999.57,32.02549759,22.20919113,0.441992975,11.60247417,32.02549759,0.4454700406450767,14066000.0,3.2561808470820184,5,46,3,Reasonable_performance,4,3,0,4,3,2,5,4,5,2,3,4,2,5,3
270153,CHURCHILL CHINA (UK) LIMITED,2013,manufacture of other non-metallic mineral products,8.905697512,2.421286409,2.908632957,37.76893653,53.47306063,20.12601212,69.88039205,25277125.16,13.158763,9.693964246,0.492411183,20.31918749,18.12868785,0.8701005482464467,5031362.0,2.6869970401561134,5,47,4,Better_returns,4,2,4,3,2,4,5,3,4,2,3,3,3,5,3
