REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
26018,MOLSON COORS BREWING COMPANY (UK) LIMITED,2016,manufacture of beverages,5.794797612999999,1.051822568,64.62825243,18.257720199999998,56.82790415,48.21573232,36.47924302,423569999.9,13.60780156,7.999197583,0.8291590659999999,4.457091761,16.09227589,1.3526561803196555,110288000.0,2.322062960382687,4,41,3,Reasonable_performance,3,4,2,4,5,3,1,2,2,4,3,3,4,1,2
27173,COCA-COLA EUROPEAN PARTNERS GREAT BRITAIN LIMITED,2016,manufacture of beverages,14.96386292,1.180574113,14.32751192,20.27184312,38.32310244,35.25410662,78.12208713,799629999.9,45.39521292,20.89467322,1.4102757369999999,5.047721495,54.59765927,1.6188253191431563,321661000.0,2.76847949624928,5,48,4,Better_returns,3,4,2,4,4,5,1,4,4,4,3,5,4,1,3
30177,WADWORTH AND COMPANY LIMITED,2016,manufacture of beverages,5.757382282999999,0.6084464820000001,-14.10718307,65.9650288,56.21912339,24.422665600000002,21.19505188,6900999.824,2.818783555,2.58928251,0.14486608,3.182761373,4.607052993,0.7796861422072281,9543000.0,1.4136393379151395,4,37,2,Moderate,2,0,3,4,3,3,5,1,2,2,2,2,3,5,2
31114,ADNAMS PLC,2016,manufacture of beverages,7.1443819820000005,1.125164599,38.90642303,70.48374768,48.16444600000001,29.63530919,38.9232904,16234999.5,11.78099552,8.800841515,0.525206566,10.28961788,18.27248571,1.076220289011029,6799000.0,2.2848427596882086,4,49,4,Better_returns,3,4,3,4,4,3,5,2,3,3,3,3,4,5,2
31461,MARSTON'S PLC,2016,manufacture of beverages,8.620505708,0.732471883,-8.38372093,220.26326290000003,29.69675432,34.34652726,16.0050144,306099999.9,3.39567136,2.888396368,0.555644196,3.061986557,10.74325223,4.197209111430331,202200000.0,0.6813474297929056,4,33,1,Need_more_analysis,2,0,3,3,4,3,1,1,2,3,2,3,5,1,2
31461,MARSTON'S PLC,2016,manufacture of beverages,8.620505708,0.739961297,-8.719069767,220.83499530000003,29.69909967,34.34652726,16.0050144,305899999.9,3.3895461030000003,2.888602889,0.549660949,3.061986557,10.74325223,4.1967986866406735,202200000.0,0.6832446069049414,4,33,1,Need_more_analysis,2,0,3,3,4,3,1,1,2,3,2,3,5,1,2
51456,"MCMULLEN & SONS, LIMITED",2016,manufacture of beverages,16.38452313,0.910032214,-67.53196931,5.718900294,86.89767021,23.8310926,11.03547308,11864999.87,8.812645559,8.095936126,0.093589836,2.194028909,9.316631972,0.15077883856148158,16226000.0,4.874685849715519,5,38,2,Moderate,2,0,2,5,3,2,5,2,2,2,2,3,2,6,5
51702,DANIEL THWAITES PUBLIC LIMITED COMPANY,2016,manufacture of beverages,5.673758865,1.3769230769999998,17.26530612,58.56386109,60.16288952,23.72931442,19.41489362,17899999.95,1.781737194,1.699716714,0.076515597,0.709219858,2.8251912889999997,0.6621542083578575,18400000.0,1.4479676109537298,4,43,3,Reasonable_performance,3,4,3,4,3,3,5,1,2,2,2,2,3,6,2
52099,"S.A.BRAIN & COMPANY,LIMITED",2016,manufacture of beverages,2.369944758,0.977977213,-391.34104049999996,134.6560253,40.46580651,15.28426044,12.34601637,15364999.78,1.804015044,1.6576098190000002,0.207255458,2.601104842,4.2332299980000005,1.6937047049350051,12432000.0,1.2710551566217452,3,38,2,Moderate,2,0,3,4,3,2,5,1,2,3,2,2,4,5,2
57696,HALL & WOODHOUSE LIMITED,2016,manufacture of beverages,7.407373289,0.661204927,-17.85721336,64.20378574,55.69464427,20.27852497,17.96856864,11863999.81,4.480838994,4.0735374580000006,0.16320868800000002,3.067597693,7.3140559760000015,0.7955047799234121,14547000.0,1.539381449348503,4,39,2,Moderate,2,0,3,4,3,3,5,2,2,2,2,3,3,5,2
66594,"HOOK NORTON BREWERY COMPANY,LIMITED(THE)",2016,manufacture of beverages,6.304004894,2.825370515,3.1849180039999996,11.29678603,82.63244137,20.43151556,41.77602417,3397168.637,3.43797613,3.143127554,0.10378763,6.250630345,3.803745239,0.21017845226280907,280182.0,3.639391358917642,4,41,3,Reasonable_performance,5,2,2,5,3,3,4,1,2,2,3,2,3,4,3
68576,"JUSTERINI & BROOKS,LIMITED",2016,manufacture of beverages,7.577524453,8.594852607,0.19346655,0.0,98.00520643,23.44498917,48.82707823,245786999.5,0.227776582,0.223210217,0.020457685,32.1878198,0.227776582,0.020459807285600217,3294000.0,29.548374597985053,4,37,2,Moderate,5,1,0,5,3,4,1,1,1,2,5,2,2,5,1
78439,CARLSBERG UK LIMITED,2016,manufacture of beverages,-2.272131951,1.113638862,20.81466825,161.8730064,21.99068825,19.78482767,32.46685594,222877000.0,-3.958151636,-2.279407557,1.928649211,0.0,-10.36533069,3.5473792751207007,-5495000.0,1.1579937134709903,0,29,1,Need_more_analysis,3,4,3,3,3,3,1,0,0,4,0,0,5,0,2
88929,PAULS MALT LIMITED,2016,manufacture of beverages,7.864911591,1.469605925,8.132792739,41.32283551,45.52630264,79.12601422,36.70333239,42065999.78,16.71331934,10.73837238,0.785251838,5.766504147999999,23.58718314,1.1965324262043235,12546000.0,2.500734491877795,4,51,4,Better_returns,3,3,3,4,5,3,5,2,3,4,3,4,4,5,3
106884,"CHARLES WELLS,LIMITED",2016,manufacture of beverages,1.5468945969999999,0.9391901659999999,-76.79072533,196.7107155,36.45539025,15.65176548,40.36527771,38966999.79,1.563706564,1.2854385590000001,0.628036874,4.451773742,4.53657872,11.825819237030222,11795000.0,1.0344047678041204,3,41,3,Reasonable_performance,2,0,3,4,3,3,5,1,2,3,3,2,5,5,2
107021,ST.AUSTELL BREWERY COMPANY LIMITED,2016,manufacture of beverages,9.048350576,0.995035129,-1295.764151,40.78934429,62.87761678,18.54882746,29.75253183,21243999.66,10.00096565,8.534659177,0.233284892,5.218746132,13.57969383,0.5915562262170319,16921000.0,2.4017670670356184,5,43,3,Reasonable_performance,2,0,3,4,3,3,5,2,3,3,3,3,3,6,3
107021,ST.AUSTELL BREWERY COMPANY LIMITED,2016,manufacture of beverages,9.128998995,1.193272043,33.12994595,67.48550240000002,54.98826429999999,20.44081944,37.34183494,28554999.67,9.231601803,7.9725054570000005,0.25793864699999997,5.157088223,15.07750016,0.960970280228274,18657000.0,1.94097817933765,5,48,4,Better_returns,3,4,3,4,3,3,5,2,2,3,3,3,4,6,2
126186,HYDES' BREWERY LIMITED,2016,manufacture of beverages,7.312342642000001,0.6592917079999999,-16.09536671,114.09725700000001,41.41149241,12.42515907,4.85179812,3333039.895,5.5107761779999995,4.8449485260000005,0.29422784,1.9171349830000002,11.79842063,1.4651058625511282,4324257.0,1.392874256654567,4,39,2,Moderate,2,0,3,4,3,2,4,2,2,3,2,3,4,5,2
130435,H.B.CLARK & CO.(SUCCESSORS)LIMITED,2016,manufacture of beverages,0.8497268309999999,1.4573017730000002,19.33933392,16.93846511,48.83257053,33.09649362,28.25304691,13314488.46,6.563213439,3.50344672,0.992939417,6.0634990460000004,7.46184941,1.2308454577851229,1370979.0,5.059024211235998,3,48,4,Better_returns,3,4,2,4,4,3,5,2,2,4,3,3,4,5,5
135063,SILVA AND COSENS LIMITED,2016,manufacture of beverages,1446.371681,98.06994819,0.015079132,0.0,99.70528928,43.28318584,0.0,37855000.0,18.16161437,18.00713939,0.00857854,0.0,18.16161437,0.008627047806360772,1447000.0,70.90143151526831,1,35,2,Moderate,1,1,0,5,4,0,5,3,4,2,0,3,2,5,1
137407,ACCOLADE WINES LIMITED,2016,manufacture of beverages,3.9037201360000013,1.743947295,3.988539287,32.75843937,43.19769225,30.07428699,51.70380526,299651999.7,10.58439383,5.530685117999999,1.129351141,10.26759008,13.08168577,1.43768471031194,24827000.0,2.540597317937144,3,46,3,Reasonable_performance,4,3,2,4,4,4,1,2,2,4,3,3,4,6,3
138256,SHEPHERD NEAME LIMITED,2016,manufacture of beverages,10.26449353,0.903536274,-52.86848073,53.74135971,59.43057163,20.85788834,37.73936665,24783999.76,5.092421835,4.640947905,0.14917580800000002,4.7036957610000005,7.8090245110000005,0.6826356749348751,20855000.0,1.576934504009699,5,41,3,Reasonable_performance,2,0,3,4,3,3,5,2,2,2,3,3,3,6,2
150832,H P BULMER LIMITED,2016,manufacture of beverages,287.3994638000001,2.595594993,0.007812991,0.0,77.38905378,0.0,0.0,155323000.0,1.7836493269999998,1.190820022,0.497832833,0.0,1.7836493269999998,0.6267254561069102,-333000.0,1.6017074881414353,1,27,1,Need_more_analysis,4,1,0,5,0,0,6,1,2,3,0,2,3,0,2
