REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
28073,CALDER INDUSTRIAL MATERIALS LIMITED,2016,"manufacture of fabricated metal products, except machinery and equipment",-1.884038011,2.205973514,2.8274922119999997,56.41876738,39.79934304,18.39829225,57.1553505,23486999.7,-3.939865215,-2.442159383,0.955144882,8.943671671,-6.136180137999999,1.5126042881492778,760000.0,2.276677932627754,0,39,2,Moderate,4,2,4,4,3,4,5,0,0,3,3,0,3,4,2
45894,BRUNTONS AERO PRODUCTS LIMITED,2016,"manufacture of fabricated metal products, except machinery and equipment",11.66164298,1.138992491,12.9862094,3.173406387,46.603411799999996,26.79428886,36.9478118,2345975.581,22.72810436,10.92820156,1.114031582,23.22459638,23.44935947,1.145765645409481,567559.0,2.0123385453089933,5,51,4,Better_returns,3,4,3,4,4,3,3,4,4,3,5,4,3,4,2
47152,"JAMES DAWSON & SON,LIMITED",2016,"manufacture of fabricated metal products, except machinery and equipment",3.741283253,1.4214285709999999,7.5307029729999995,43.64467295,45.21503293,35.5263255,67.16064642,12138999.72,14.21362489,6.4693122370000005,1.219651528,8.958417887000001,14.48157669,1.2726739066627533,1622000.0,2.814562413746506,3,51,4,Better_returns,3,3,4,4,4,5,5,3,3,3,3,3,3,5,3
63351,"SAMUEL TAYLOR,LIMITED",2016,"manufacture of fabricated metal products, except machinery and equipment",2.8987429610000004,1.838446798,3.508484578,9.587107281,51.61901817,86.64304774,89.83885315,7840162.262,6.547078178,3.703537358,0.841399405,25.09015776,7.1747535860000005,0.9372704778677184,748067.0,2.6391149725627745,3,52,4,Better_returns,4,2,3,4,5,5,5,3,3,3,5,3,3,4,3
71325,KIRKPATRICK LIMITED,2016,"manufacture of fabricated metal products, except machinery and equipment",-2.99994787,7.006508349,1.4358037190000001,1.7280394980000002,85.98457928,10.59024569,64.55863847,1667558.427,-3.706004141,-3.241657638,0.145718841,53.02477042,-3.7700453560000002,0.16299923590090226,-44531.0,5.531126308982252,0,30,1,Need_more_analysis,5,1,3,5,2,4,3,0,0,1,5,0,1,0,5
71835,C.BRANDAUER & CO. LIMITED,2016,"manufacture of fabricated metal products, except machinery and equipment",0.188680111,2.750583247,2.887543452,24.67594822,65.42224968,43.11853198,62.8233064,3437953.564,0.241834412,0.19291810399999998,0.309179074,8.616212371,0.29488149,0.5285319670977463,385150.0,2.778725677199414,2,44,2,Moderate,5,2,3,5,4,4,4,2,2,2,3,2,2,4,3
73818,"BROADWAY & CO.,LIMITED",2016,"manufacture of fabricated metal products, except machinery and equipment",0.016543537,10.977099,0.630665591,0.772874372,90.61745448,58.00820757,302.78654889999996,706526.1833,0.009897041,0.009037762,0.095811414,60.65823522,0.009973533,0.10354015761159192,6671.0,7.404990172224766,2,43,2,Moderate,5,1,2,5,5,6,3,2,2,1,5,2,1,3,5
75016,ARTHUR PRICE & CO.LIMITED,2016,"manufacture of fabricated metal products, except machinery and equipment",0.214622063,4.305573675,2.272798341,0.681213253,79.0956882,30.87849382,46.42620202,4475305.103999998,0.412359466,0.328380393,0.25747928800000003,38.54121794,0.415168514,0.26429142055257543,77520.0,4.647516695912327,2,44,2,Moderate,5,2,2,5,4,4,4,2,2,2,5,2,2,3,4
77222,THIRCON LIMITED,2016,"manufacture of fabricated metal products, except machinery and equipment",329.8527443,28.23291981,0.047217373,0.0,96.4654666,105.32313159999998,1776.575959,475640.0,15.54090645,14.99160792,0.036640401,0.0,15.54090645,0.03664040122402908,0.0,17.785311922654234,1,28,1,Need_more_analysis,1,1,0,5,5,1,3,3,4,1,0,3,1,0,6
77952,TUCKER FASTENERS LIMITED,2016,"manufacture of fabricated metal products, except machinery and equipment",24.02551382,1.86869115,0.04917747099999999,0.315279437,47.63500696,0.517363572,0.0,61721000.0,1.121513878,0.535917541,1.096143635,0.0,1.125049781,1.099296429045533,-8000.0,1.1192747800756857,5,30,1,Need_more_analysis,4,1,2,4,2,0,5,2,2,3,0,2,3,0,2
