REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
80604,"CHARLES F.STEAD & COMPANY,LIMITED",2013,manufacture of leather and related products,21.590168300000002,3.440809272,1.343894405,2.050393287,73.19506496,10.24602253,42.65347070000001,9007727.531,23.99110543,17.92036053,0.345708394,44.78009354,24.48301745,0.36621232665785947,516109.0,3.364980648426342,4,38,3,Reasonable_performance,3,1,2,4,2,4,3,2,3,2,5,2,2,3,2
102384,PITTARDS PLC.,2013,manufacture of leather and related products,4.78038701,1.980434587,3.293452271,9.505317242,57.21219579,37.46516628,41.40940441,21964998.61,9.340389547000001,5.8191706320000005,0.662623969,43.1156284,10.228223199999999,0.7651743694943888,2359000.0,2.766356952332167,3,36,3,Reasonable_performance,2,2,2,3,4,3,3,1,1,3,5,1,2,4,2
133893,BARKER SHOES LIMITED,2013,manufacture of leather and related products,1.74345604,1.401407677,6.720366195,59.75165347,37.21559477,51.49181866,65.06160111,9859492.252999999,5.452844473,2.525165842,1.4426977719999998,27.69787634,6.7852362710000005,1.687046146350346,607349.0,2.224437453033668,2,39,4,Better_returns,1,3,3,3,5,4,3,1,1,3,5,1,3,3,1
211135,CHURCH & CO LIMITED,2013,manufacture of leather and related products,12.14029349,1.804290185,2.0789100780000003,197.7562175,22.54983373,11.91369323,26.55510395,37074505.63,10.67932532,6.997800599,1.538326488,22.12179779,31.22670619,3.561137516445476,5450326.0,1.4468248399617998,4,38,3,Reasonable_performance,2,2,3,2,3,3,3,1,1,3,5,2,4,4,1
343139,SANDERS AND SANDERS LIMITED,2013,manufacture of leather and related products,8.37858652,2.132614706,4.651610436,7.1205330270000005,56.33741634,41.29719566,57.28884586,2171309.758,33.16202638,18.93619818,0.7614468120000001,23.57810166,33.612116799999995,0.7750192765191429,475729.0,4.420790349794828,3,39,4,Better_returns,2,3,2,3,4,4,1,2,3,3,5,2,2,3,3
351563,T.GROOCOCK & CO.(ROTHWELL)LIMITED,2013,manufacture of leather and related products,-4.105601465,6.765293572,1.3593814780000002,10.82047329,81.43676975,1.136887456,61.92389466,5632591.152000003,-3.476685354,-3.137660333,0.11974181199999999,36.33443427,-3.852879164,0.22794654439915665,-147440.0,3.8888187737932873,0,26,1,Need_more_analysis,3,1,2,4,2,4,2,0,0,1,5,0,2,0,3
412669,IDEAL & W R S COMPANY LTD,2013,manufacture of leather and related products,11.98775234,1.568441985,8.401607696000001,5.625065558999999,52.68401454,34.41334452,64.51069732,1186265.495,50.95092021,26.95886863,0.922509288,10.57212939,52.81497220000001,1.0213842408938698,483883.0,4.2347635318089685,4,40,4,Better_returns,2,3,2,3,4,4,1,3,3,3,3,3,3,3,3
417612,ARNOLD WILLS AND COMPANY LIMITED,2013,manufacture of leather and related products,9.684447985,4.304813836,2.3526658769999997,0.55246759,84.13611798,23.33522037,57.19369621,12752304.0,14.55589971,12.19790796,0.194379143,12.84538222,14.63631634,0.2021995146997138,2263663.0,5.366201218191129,4,36,3,Reasonable_performance,3,2,1,4,3,4,3,1,2,2,4,1,2,4,4
451921,CROCKETT AND JONES LIMITED,2013,manufacture of leather and related products,11.96383425,4.391882435,2.407365381,3.7836122789999997,79.08041651,15.90628616,33.62685864,12551998.3,21.33904005,17.51348639,0.226699453,20.84672409,22.14642659,0.2645355754739431,3092000.0,5.2507021508064184,4,40,4,Better_returns,3,2,2,4,3,3,3,2,3,2,5,2,2,4,4
528524,GINA SHOES LIMITED,2013,manufacture of leather and related products,9.755536714,1.34790299,7.665067952,27.58080422,40.07571788,23.97957373,47.76239489,3767617.2389999996,25.76778076,12.94542249,1.2416796970000001,28.53788899,32.30240947,1.4952765734389992,742761.0,2.0153377180378254,4,38,3,Reasonable_performance,1,3,2,3,3,4,2,2,2,3,5,2,3,3,1
552481,BEVAN HARRIS LIMITED,2013,manufacture of leather and related products,14.30775662,5.700592232000001,2.061744541,0.0,91.42385774,11.47105165,59.53884552,810473.1073,13.00742737,11.89189189,0.09380639199999999,29.84792447,13.00742737,0.09380639227347913,261378.0,8.375968030159568,4,31,2,Moderate,3,2,0,4,3,4,1,1,2,1,5,1,1,3,4
641365,BEACONSFIELD FOOTWEAR LIMITED,2013,manufacture of leather and related products,11.56750267,2.091372778,5.004673521,65.18513382,38.75110836,26.22098453,4.8741328710000005,28701999.11,36.90886647,23.29849262,0.95160172,16.29402348,60.12342255,1.5805713493274165,10982000.0,3.658320905091976,4,42,4,Better_returns,2,3,3,3,4,2,3,2,3,3,4,3,3,4,3
792101,PITTARD GARNAR SERVICES LIMITED,2013,manufacture of leather and related products,6.488479927,0.273055506,-0.228133736,0.0,8.128043553,0.0,0.0,1415733.0,12.16271896,0.9885910940000001,11.30308368,0.0,12.16271896,11.303083681233034,69847.0,-0.5517793075155121,3,15,1,Need_more_analysis,0,0,0,1,0,0,1,1,1,4,0,1,4,2,0
867455,KEN HALL LIMITED,2013,manufacture of leather and related products,8.989894613999999,4.004022409,1.749845299,3.262854069,76.79212225,12.10275434,51.55550381,1406540.417,12.33713872,9.783071836,0.269588367,11.08500222,12.73968156,0.3022169081165375,207061.0,4.314159391902947,4,33,2,Moderate,3,2,2,4,3,4,1,1,2,2,4,1,2,2,3
1114160,R.E. TRICKER LIMITED,2013,manufacture of leather and related products,6.882532208,2.213433889,2.3838318640000002,1.157212053,56.65583315,13.70439395,30.78818041,6728900.346,14.82892948,8.498676176,0.7534712020000001,22.61837032,15.00053164,0.7650433229558502,645829.0,3.0190744686899165,3,34,2,Moderate,2,2,1,3,3,3,3,1,2,3,5,1,2,3,2
1384705,BINA SHOES LIMITED,2013,manufacture of leather and related products,-145.2443609,7.5032282210000005,0.229640288,-144.3157758,-196.41484499999999,0.0,0.0,80179.52606,-32.28911299,-28.1053359,-0.065968729,500.46365910000003,14.30917093,-1.509126486873538,-21981.0,-0.4677843127024911,0,6,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1616165,NEW BALANCE ATHLETIC SHOES (U.K.) LIMITED,2013,manufacture of leather and related products,1.802263143,1.026787434,64.48518078,235.4385051,8.61882067,83.09194287,64.47561044,27901318.55,30.4895054,2.824783467,10.52756873,25.85752192,32.77459382,10.602515451344297,1425473.0,1.8387190719812057,2,43,4,Better_returns,0,4,3,2,5,4,3,2,1,4,5,2,4,4,1
1648478,J L AND COMPANY LIMITED,2013,manufacture of leather and related products,19.27250773,2.350773495,3.398162008,3.5464103160000002,68.72294647,1.3615274590000002,19.11453824,8756729.036,40.2883225,27.68153335,0.45542235600000003,21.00843285,40.2883225,0.4555609855366827,3496145.0,4.523029184976816,4,39,4,Better_returns,2,2,2,4,2,3,3,3,3,2,5,2,2,4,3
1693249,WEST YORKSHIRE FELLMONGERS LIMITED,2013,manufacture of leather and related products,0.601570554,1.3450522569999999,33.40508287,0.641637282,51.67379922,26.55196567,26.81906708,4050983.6410000003,6.39924399,3.32794972,0.9288003420000001,3.1144777510000003,6.440303925,0.9352167152587304,331127.0,6.515114780717294,2,32,2,Moderate,1,4,1,3,4,3,2,1,1,3,2,1,3,3,4
1954945,MULBERRY COMPANY (DESIGN) LIMITED,2013,manufacture of leather and related products,12.524877,1.117253313,9.61038835,0.0,17.33652027,39.52842292,26.7738693,98143999.62,67.29631439,11.66683919,4.768170222,33.91455444,67.29631439,4.768170222005102,13976000.0,1.6663647018672347,4,42,4,Better_returns,1,3,0,2,4,3,4,3,2,4,5,3,4,4,1
2020414,SAMSONITE LIMITED,2013,manufacture of leather and related products,4.079899721,1.168868981,32.79973475,0.0,20.13950993,13.46002992,34.56512070000001,5218999.867,89.60923623,18.04686103,3.9653641210000004,2.409930856,89.60923623,3.9653641207815284,1206000.0,5.587634640378483,3,38,3,Reasonable_performance,1,4,0,2,3,3,2,3,3,4,2,3,4,4,4
2231930,SERKOTA SUPPLIES (1988) LIMITED,2013,manufacture of leather and related products,2.705143112,0.147386119,-2.7021173480000003,-7.835776849,-177.77637869999995,0.0,12.06342924,10343.928759999999,-10.32651038,15.71911162,-1.656939821,3.092298939,-10.32651038,-1.5139676855706796,3370.0,3.3955713269925782,2,8,1,Need_more_analysis,0,0,0,0,0,2,0,0,3,0,2,0,0,1,2
