REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
269521,WATFORD TIMBER COMPANY LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.35182692,1.6341709030000002,8.418744882,0.0,38.806889899999994,23.0651732,37.62105250000001,2794410.4189999998,2.9619410860000004,1.149437216,1.576862002,10.89066431,2.9619410860000004,1.5768620023164368,29872.0,4.1214065498682295,1,33,2,Moderate,3,3,0,3,3,3,2,1,3,3,3,1,3,2,4
1047978,A.C.BUCKOKE & SONS LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.0750484989999998,0.151781453,-0.148078421,0.0,1.175335078,2905.984721000001,441.07458360000004,75373.0,32.475448699999994,0.38169534,84.08211988,0.0,32.475448699999994,84.08211987809008,11650.0,-0.8005898277334735,2,23,1,Need_more_analysis,1,0,0,1,1,1,1,3,2,4,0,3,4,2,0
1213142,FIRWOOD TIMBER & PLYWOOD CO. LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.638695789,3.625309497,4.180835956,0.0,86.1385843,20.36023648,18.30678193,3803970.07,1.128099867,0.971729255,0.160919939,17.5811266,1.128099867,0.16091993861841122,305752.0,5.772649063162603,2,33,2,Moderate,4,3,0,4,3,3,3,1,3,1,3,1,1,3,5
1493202,KITTO JOINERY LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0,1.0298220809999998,41.5516,0.0,2.895847933,3.004216444,18.37139845,172660.9489,0.0,0.0,33.5322,4.120178284,0.0,33.5322,0.0,1.243881862403125,0,22,1,Need_more_analysis,1,4,0,1,2,3,1,0,0,4,2,0,4,0,2
1742443,JAMES E.SMITH (TIMBER) LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.390730537,2.003132645,6.226744235,5.092498806,60.09399139,32.26186578,63.72546653,6372000.346,12.35654288,7.8036853389999985,0.61313489,10.46325676,12.98579968,0.664059878325891,951146.0,3.9831090098779214,2,39,2,Moderate,3,3,2,3,4,4,3,2,3,2,2,2,2,4,4
2021938,SEVERN VALLEY WOODWORKS LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.04638681,1.140785087,18.2739708,36.36931456,28.97419633,60.20306998,69.79597886,6335495.551,4.47856337,1.6813755819999998,2.206620065,17.46021947,5.940313962,2.758251390897759,285503.0,2.043340199571844,2,44,4,Better_returns,2,4,3,2,5,5,3,2,3,3,3,2,4,3,2
2095147,TERRY SMITH LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7.039083282000001,2.16460177,3.713525836,0.0,70.9848686,6.2737875999999995,32.56394516,2445999.5719999997,12.86462229,9.043112512999999,0.422587883,9.903826478,12.86462229,0.42851725445582106,204000.0,3.3878031741157417,3,33,2,Moderate,3,3,0,4,2,3,2,2,4,2,2,2,2,2,3
2229092,ANGLIAN TIMBER LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.800669021,3.211545239,3.664884989,1.713271046,69.87080117,37.10260584,57.46175423,3107275.2460000007,9.24112656,6.567472492,0.414080304,9.307181717999999,9.399452106,0.4312130149025307,271043.0,4.820210438103406,2,39,2,Moderate,4,3,2,4,4,4,2,2,3,2,2,2,2,3,5
2794548,ALL PALLETS LIMITED,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.753730285,1.316330483,13.68067192,4.51252355,28.57803139,57.91357525,44.05942321,3561289.673,38.14428337,11.39279029,2.454066106,7.55202755,39.86555314,2.4991913414117555,551180.0,3.977602720119184,2,43,4,Better_returns,2,4,2,2,5,4,3,3,4,3,2,3,3,3,4
2820442,ROCAL INSULATING PANELS LTD.,2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5.428017981,1.325238122,11.49502838,123.11260109999999,26.17398811,45.59122549,75.54743466,4202834.686000002,22.63773047,10.70075195,2.1561596819999997,8.39397962,43.75560476,4.22248078801436,987100.0,2.946493076255837,3,46,4,Better_returns,2,4,3,2,4,5,3,3,4,3,2,3,4,4,3
