REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
107182,VINCENT TIMBER LIMITED,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.796642478,1.4109958759999999,7.031219900000001,81.08247940000003,33.72572602,28.29127867,71.38896203,5948807.186000003,4.305564243,1.500068621,1.9320493440000002,28.18402549,4.447846786,1.965095545370933,244000.0,2.634622856085879,3,45,3,Reasonable_performance,3,3,3,3,3,5,4,2,3,3,4,2,3,4,3
132673,WOODLANDS HOME & GARDEN GROUP LIMITED,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-9.563649287999999,1.443495756,9.041471914,3.641603651,37.45038911,11.097116900000001,30.89228204,6676649.581,-61.34585409,-23.59746843,1.6430728959999998,10.46072026,-63.00994192,1.670199225520248,-1591412.0,0.437507417381716,0,29,1,Need_more_analysis,3,3,2,3,2,3,5,0,0,3,2,0,3,0,2
158479,ROYAL BRITISH LEGION INDUSTRIES LTD.,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-3.63265999,2.142458966,4.790729195,6.592540711,82.83113964,17.80286312,31.30990777,6917999.882,-2.636550308,-2.327858153,0.141350026,2.161489277,-2.81036596,0.20727543337419016,636000.0,3.733129377053451,0,31,1,Need_more_analysis,4,3,2,4,2,3,5,0,0,1,1,0,2,4,4
201929,HOWARTH TIMBER & BUILDING SUPPLIES LIMITED,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.5036803030000003,1.436873092,11.61255303,27.02490329,43.54944852,54.5442872,42.15837658,26357999.38,11.62500624,6.0697632010000016,1.108800774,12.31531328,14.08365571,1.3528428093645486,3789000.0,3.4871416840199716,3,46,4,Better_returns,3,4,2,3,4,3,5,2,3,3,3,3,3,5,3
254946,LBS BUILDERS MERCHANTS LIMITED,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5.7758346320000005,2.433835039,5.0131844139999995,0.242626431,61.27009198,30.07579945,40.98355026,20212999.25,26.07972165,16.01783889,0.62969141,10.40420792,26.14299795,0.6321176738190917,3574000.0,5.090890161130367,4,45,3,Reasonable_performance,4,3,1,3,3,3,5,3,5,2,2,4,2,5,5
269521,WATFORD TIMBER COMPANY LIMITED,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.255041518,1.5621680530000002,9.823681771,0.0,35.98640057,29.32292269,42.10667202,2977182.437,22.15281025,7.971999033999999,1.7788275130000002,10.194105300000002,22.15281025,1.7788275132749227,235155.0,4.581332804386303,3,40,2,Moderate,4,3,0,3,3,3,3,3,3,3,2,4,3,3,4
305654,MERRITT & FRYERS LIMITED,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",11.12082811,1.49695521,6.680060637,11.19582645,54.56335927,26.49291487,36.72283854,3789351.2789999996,23.93013152,14.51893206,0.720773469,21.72187702,26.60930751,0.8327317332488996,1103617.0,2.8283508094664565,5,47,4,Better_returns,3,3,2,3,3,3,4,3,4,3,4,4,3,5,3
321764,STONEHAM PLC,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-2.099535192,2.565635005,3.6931213210000013,15.99934453,61.44636295,19.76533227,43.72481025,2516987.266,-5.164030992,-3.622904042,0.485683549,12.69385376,-5.896043099,0.6274356234968419,42123.0,3.4318095441417986,0,31,1,Need_more_analysis,4,3,2,3,2,4,3,0,0,2,3,0,2,3,3
325017,GEORGE WOOD & SONS (ENFIELD) LIMITED,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.635385651,1.440588947,15.05936656,77.00786868,36.33108423,20.8084901,47.66659289,1269397.663,3.2318824310000003,1.829419937,1.194420761,5.082623396000001,5.035412445,1.7524639606362715,172342.0,3.706774440515712,3,39,2,Moderate,3,4,3,3,2,4,3,1,3,3,2,2,3,3,4
365289,PALMER TIMBER LIMITED,2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.087641778,0.944801302,-40.8511434,255.3945392,20.7265984,50.53095909,60.36371994,12110515.55,5.955154769,1.7371376,3.4173326630000003,19.75942763,8.381199687,3.8247183672163576,3877016.0,2.4169999462487954,3,44,3,Reasonable_performance,2,0,3,2,4,4,5,2,3,4,3,3,4,5,3
