REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
107182,VINCENT TIMBER LIMITED,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.320407223,1.380183757,6.677669162999999,96.5539598,30.81032164,52.68966070000001,72.13809622,5810142.208,6.823939592,2.2479137469999997,2.1764919380000003,31.19460661,7.295976242,2.2456655647251886,258629.0,2.41367029968324,2,45,3,Reasonable_performance,2,3,3,2,5,5,2,3,3,3,4,3,3,4,3
132673,WOODLANDS HOME & GARDEN GROUP LIMITED,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",20.26261043,3.638911308,2.883194226,1.747143946,74.92938484,7.714934424,23.37174831,7876710.505,48.35454652,36.80934909,0.319128399,6.506283917,49.19937005,0.3372777472389078,3633081.0,6.064763797615703,4,46,4,Better_returns,4,2,2,4,2,3,3,5,5,2,2,5,2,5,5
158479,ROYAL BRITISH LEGION INDUSTRIES LTD.,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",16.61733615,1.448133999,6.978688525,13.18492258,67.26399214,19.10312427,25.25933756,9855999.96,16.29203132,12.40356291,0.354830301,1.268498943,18.44012304,0.4866795266148793,665000.0,2.350758639113925,4,39,2,Moderate,2,3,2,4,3,3,3,3,4,2,1,3,2,4,2
201929,HOWARTH TIMBER & BUILDING SUPPLIES LIMITED,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.770806124,1.458662924,10.01029207,2.392644447,37.5686921,50.02813516,43.957818100000004,22865999.48,27.69387755,10.65316376,1.6378643819999998,11.35132131,28.35649357,1.661790826454916,2614000.0,3.8385982719267213,2,48,4,Better_returns,2,3,2,3,5,4,3,4,4,3,3,4,3,5,4
214769,BAMPTON PACKAGING LIMITED,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-3.645933892,1.773261301,3.375141065,8.183963533,45.36163719,57.89463746,73.34626439,3044029.776,-10.22587269,-4.928925512,1.154144256,8.569007107000001,-10.98214286,1.257777845105511,-104707.0,2.1300412051044058,0,29,1,Need_more_analysis,3,2,2,3,5,5,1,0,0,3,2,0,3,0,2
254946,LBS BUILDERS MERCHANTS LIMITED,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.8376573830000003,1.9625481919999999,7.998474156,1.659125189,55.63013929,29.00085845,37.55663392,10689999.3,17.83305859,9.818481848,0.821568627,9.111503243,17.94871795,0.8540759178593653,1418000.0,5.139909700806146,2,45,3,Reasonable_performance,3,3,2,3,4,3,3,4,4,3,2,3,3,5,5
269521,WATFORD TIMBER COMPANY LIMITED,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.419644148,1.259749775,16.7324013,0.0,20.61915628,31.61522224,44.21036854,2966003.527,40.48645688,8.347965815,3.849858968,10.89308451,40.48645688,3.849858968384391,246573.0,4.18449338322221,2,45,3,Reasonable_performance,2,4,0,2,4,4,1,5,4,4,3,4,4,4,4
305654,MERRITT & FRYERS LIMITED,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7.512273763,1.272116946,12.73208676,16.88273197,48.76403367,27.27052217,42.96747398,3118899.38,19.63713107,11.19252351,0.881864399,17.89421166,22.95241528,1.0506917183000513,784496.0,2.6714832607715686,3,45,3,Reasonable_performance,2,4,2,3,4,4,1,4,4,3,3,4,3,4,3
321764,STONEHAM PLC,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-1.89853391,2.13971868,5.669330092,28.29120924,54.90614351,13.88845077,47.07225517,1836695.186,-5.461468124,-3.7790222989999998,0.561061857,12.60132501,-6.882694827000001,0.8212898157032636,52686.0,3.222097215974697,0,29,1,Need_more_analysis,3,3,2,3,3,4,1,0,0,2,3,0,2,3,3
325017,GEORGE WOOD & SONS (ENFIELD) LIMITED,2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.8865562380000003,1.412439253,16.3503958,34.38438229,49.20560692,19.11794323,36.22433882,1034389.7009999999,22.13392837,11.99988997,0.930485163,4.439852039,24.38724104,1.0322887218809358,300592.0,4.5237422984444455,2,43,3,Reasonable_performance,2,4,3,3,3,3,1,4,4,3,2,4,3,4,4
