REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
107182,VINCENT TIMBER LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-0.356588631,1.4938107719999998,6.558898139,50.43047144,38.40544743,27.70028088,60.52459155,5109879.142,-1.818468872,-0.7063344109999999,1.592423572,26.47549862,-1.839151626,1.6037972915725918,101444.0,2.748848145818711,0,37,2,Moderate,3,3,3,3,4,4,4,0,0,3,4,0,3,3,3
132673,WOODLANDS HOME & GARDEN GROUP LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",11.84123401,3.24455868,4.140317736,11.42515793,71.75225661,10.87318836,32.12184174,6233377.382,41.076026399999996,29.91103736,0.378821232,6.649996522,41.68654586,0.39368439027295066,2166966.0,6.215607752929957,5,49,4,Better_returns,5,3,2,4,3,3,4,5,5,2,2,4,2,5,5
158479,ROYAL BRITISH LEGION INDUSTRIES LTD.,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",8.611198137999999,1.8953125,7.798603839,7.8056261860000005,82.83574605,17.26737681,26.05625923,6064999.836,7.2030249710000005,6.432416168,0.129152036,2.354204896,7.765266174,0.20720829801832344,723000.0,3.919911277498912,4,40,2,Moderate,4,3,2,4,3,3,4,3,3,1,1,3,2,4,4
201929,HOWARTH TIMBER & BUILDING SUPPLIES LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.531852604,1.312899689,14.95941606,14.10812713,42.30711982,66.27005426,42.08798501,28741999.46,2.847142409,1.328166886,1.283687112,11.56315872,3.1957312069999997,1.46846295162278,3226000.0,3.358024619873192,3,46,3,Reasonable_performance,3,4,2,3,5,3,5,2,3,3,3,2,3,5,3
254946,LBS BUILDERS MERCHANTS LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.857517306,3.12610687,4.273732587,0.34147284299999997,70.51794639,30.67628873,32.79210632,20475998.98,18.5629896,13.06725728,0.422008891,11.21211103,18.62637717,0.42857142857142855,3022000.0,5.416879406978847,4,48,4,Better_returns,5,3,1,4,4,3,5,4,4,2,3,3,2,5,5
269521,WATFORD TIMBER COMPANY LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.279505579,1.70121562,9.758016699999999,0.0,41.21850351,16.22488398,38.12134184,2603980.3340000003,2.727420103,1.124201751,1.426094872,9.738870333,2.727420103,1.4260948718092057,27408.0,4.933016235964359,2,37,2,Moderate,4,3,0,3,3,3,3,2,3,3,2,2,3,3,5
305654,MERRITT & FRYERS LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",14.23902904,1.6954502,4.863997583,2.9539115939999996,44.25265870000001,26.64133754,34.46633632,4236612.26,57.55418527,26.22159652,1.230212115,21.86591077,59.25428502,1.2597512314118962,1360733.0,3.2298396283848505,5,53,4,Better_returns,4,3,2,3,4,3,4,5,5,3,4,5,3,5,3
321764,STONEHAM PLC,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-2.34571382,2.859293463,4.0542973510000015,9.852419665,68.04681697,7.834748003,52.43921539,2198281.1319999998,-6.469049255,-4.736284303,0.40189399600000003,11.51416004,-7.1064071360000005,0.5163431125916401,29523.0,3.7403651588872386,0,33,2,Moderate,5,3,2,4,2,4,3,0,0,2,3,0,2,3,4
325017,GEORGE WOOD & SONS (ENFIELD) LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.05918776,1.36504412,16.48101938,27.39724133,43.54304652,29.76663319,42.89829955,1345093.679,18.00504928,9.101411281,1.135675792,5.330334421,20.90210035,1.2965779380036513,312832.0,4.234093323475396,3,47,3,Reasonable_performance,3,4,2,3,4,4,3,4,4,3,2,4,3,4,4
365289,PALMER TIMBER LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-0.18260843,0.937792355,-36.46958109,335.2185119,16.63070585,48.93779061,54.27263517,12280132.54,-1.303138712,-0.314347113,4.562505901000001,20.109254699999997,-1.8901609819999998,5.0129738860300765,524042.0,1.862446637875859,0,36,2,Moderate,2,0,3,2,5,4,5,0,0,4,3,0,4,4,2
382248,MERCIA GARDEN PRODUCTS LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.068617021,1.1827494440000001,10.95612686,0.0,36.92468692,43.19833187,61.06561583,12493832.62,10.49538558,3.875388265,1.708215244,19.034876,10.49538558,1.7082152438521507,1188492.0,2.019986335593155,3,46,3,Reasonable_performance,3,4,0,3,4,4,5,3,3,3,3,3,3,5,2
396804,DAVID COVER AND SON LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.59493264,2.336977318,6.865228393,20.46125676,72.60117752,20.14454148,32.91919867,20232725.67,8.245674136,6.897204706,0.22908015899999998,14.52694205,9.661524404,0.4103916892279536,4985780.0,3.573002247252288,4,45,3,Reasonable_performance,4,3,2,4,3,3,5,3,3,2,3,3,2,5,3
399324,DAGLESS LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.0337441520000001,1.298863107,11.69061242,22.31072983,50.52779729,27.86191114,36.225282,6128995.278,2.780759535,1.571129152,0.8617738070000001,20.66028951,3.1125470539999998,0.9830362392394772,533076.0,2.4476697907808047,3,44,3,Reasonable_performance,3,4,2,3,4,3,4,2,3,3,4,2,3,4,3
410867,NICKLIN TRANSIT PACKAGING LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.024968737,1.350898451,6.96375147,109.75179320000001,23.37578023,71.98532702,74.25810512,6140643.833,11.19495523,5.235585111000001,2.2887226430000003,6.81644548,22.51025384,3.3721088557894925,676912.0,1.941946979719028,4,48,4,Better_returns,3,3,3,2,5,5,4,3,3,3,2,4,4,4,2
414489,WERNICK BUILDINGS LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.117160065,3.88721261,2.718034515,15.12145201,65.26468871,27.15636642,43.84054299,15569199.32,5.498760599,4.131419944,0.381007605,8.658559493,6.330253045,0.5322221247694825,852386.0,4.153093673141576,3,45,3,Reasonable_performance,5,2,2,4,4,4,5,3,3,2,2,3,2,4,4
416607,ROWLINSON GARDEN PRODUCTS LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.216923465,1.99281402,5.789164212999999,40.81693475,44.99198135,21.33899163,22.73912812,4904120.466,7.644367689,4.777911951,0.8334288940000001,26.69463856,10.61947442,1.2226182755368311,502593.0,3.3806102318818536,3,46,3,Reasonable_performance,4,3,3,3,3,3,4,3,3,3,4,3,3,4,3
457573,PONTRILAS SAWMILLS LIMITED,2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.6279042,1.05912864,46.24229944,58.22732705,36.01038072,34.64684955,70.22908678,20081239.61,3.831170691,2.058964596,1.300762751,14.43914817,5.789809127000001,1.8777659001623384,3336280.0,1.895003860585338,3,50,4,Better_returns,3,4,3,3,4,5,5,3,3,3,3,3,3,5,2
