REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
70960,MONCKTON COKE & CHEMICAL COMPANY LIMITED(THE),2016,manufacture of coke and refined petroleum products,-423.943662,0.726916892,-0.007888889,-2.247324614,-34.01278007,1439.43662,997.3239437000001,23957000.0,3.6569068160000002,-1.217342069,-3.918787158,0.0,3.579072533,-3.9400713436385257,-301000.0,-0.6056184797451531,0,9,0,0,0,0,0,0,1,1,4,2,0,0,0,1,0,0,0
72349,"R.S.CLARE & CO.,LIMITED",2016,manufacture of coke and refined petroleum products,13.26931857,3.1805898310000003,3.051394697,16.75781745,69.11117087,21.75359345,61.36122804,13603563.34,21.51313318,17.29825544,0.284491073,9.917258087999999,25.11826476,0.4543981110665686,4767892.0,3.987215652821632,5,42,4,Better_returns,3,2,1,4,3,4,4,3,4,2,2,3,2,5,3
90220,GOODALL BATES & TODD LIMITED,2016,manufacture of coke and refined petroleum products,6.9745718729999995,2.475500345,4.506548176,18.19722128,59.77314158,21.93409445,65.30980799,3586999.2819999997,19.26605505,13.61150496,0.491019993,10.80435911,22.77194171,0.6729922060318536,882000.0,4.0777368559866405,4,39,3,Reasonable_performance,2,3,1,3,3,4,3,3,3,2,3,3,2,4,3
97216,LUBRICANTS UK LIMITED,2016,manufacture of coke and refined petroleum products,4.1347165839999995,1.6966646730000001,1.682339054,23.28221984,42.72715139,68.70181290000001,32.89578236,317730999.9,4.998953387,2.460643265,1.271734554,5.678344109,6.162820704,1.7999772516776888,13662000.0,1.5046248081766709,4,35,2,Moderate,2,2,1,3,5,3,0,2,2,3,2,2,3,5,1
136293,SHELL THAILAND MANUFACTURING LIMITED,2016,manufacture of coke and refined petroleum products,114.1107824,2.902503948,0.559952876,12.22176844,58.40844089,0.0,0.0,3873450.73,63.89666907,41.882337299999996,0.589863559,0.0,71.70597263,0.7120813623629898,1285.21,2.002497659331691,1,29,1,Need_more_analysis,3,1,1,3,0,0,3,4,4,2,0,4,2,2,1
137671,MILLERS OILS LIMITED,2016,manufacture of coke and refined petroleum products,4.527987481,1.446170155,10.24930668,38.89250487,50.88566128,40.50882646,57.98843628,6199071.351,14.52133249,8.535413677000001,0.831845671,14.19784098,17.22435559,1.0747297779587976,1288437.0,3.159678112372465,4,41,3,Reasonable_performance,1,3,2,3,4,4,3,2,3,3,3,2,3,5,2
360850,IRONSIDES LUBRICANTS LIMITED(THE),2016,manufacture of coke and refined petroleum products,12.84888639,2.4634426019999998,3.513691493,4.865090803,66.65350708,39.44755596,52.94255401,4844519.575,28.4558335,19.88956357,0.45164524100000003,8.26921141,29.84023563,0.5002961491424995,1509931.0,4.035917230841385,5,41,3,Reasonable_performance,2,2,1,4,4,4,3,3,4,2,2,3,2,5,3
446915,BP OIL UK LIMITED,2016,manufacture of coke and refined petroleum products,3.3003300330000003,1.306332842,14.56730769,1.870503597,50.10814708,50.47359736,35.89768977,886999999.8,14.12429379,7.209805335,0.976978417,3.663366337,14.38848921,0.99568345323741,144000000.0,3.395896037107576,3,31,2,Moderate,1,4,1,3,5,3,0,2,2,3,1,2,3,1,2
529086,PHILLIPS 66 LIMITED,2016,manufacture of coke and refined petroleum products,3.3320566830000002,1.7545317219999998,10.45445445,8.448887454,66.16172392,16.70528533,34.03963998,1781031971.0,10.34790366,7.424791977999999,0.426959045,5.505553428,11.22218639,0.5114479199640839,342712566.08000004,3.8576417886236314,3,30,2,Moderate,2,4,1,4,3,3,0,2,2,2,2,2,2,1,3
553535,TOTAL UK LIMITED,2016,manufacture of coke and refined petroleum products,8.134920635,2.151898734,5.538461538,1320.0,4.524886878,21.72619048,20.27777778,169999999.5,28.87323944,18.5520362,7.9,7.738095238,410.0,21.1,39000000.0,3.5653590958804227,4,41,3,Reasonable_performance,2,3,2,1,3,3,5,3,4,4,2,4,4,1,2
564599,TOTAL LINDSEY OIL REFINERY LIMITED,2016,manufacture of coke and refined petroleum products,5.569654863999999,1.520846514,10.02025188,58.18611012,28.16007513,3.9098915169999997,0.012475192,639445999.3,36.18700776,16.1196211,1.969265789,12.6864614,57.24281994,2.5511268898589283,136124000.0,4.21925501334103,4,33,2,Moderate,1,3,2,2,2,2,0,3,4,3,3,4,3,1,3
588559,WILLOWS SERVICE STATION LIMITED,2016,manufacture of coke and refined petroleum products,37.44407068,2.9587427139999996,1.301579205,0.0,78.79028698,143.167641,289.2618146000001,71069.0,25.69763532,20.24724062,0.269191976,0.0,25.69763532,0.2691919757928948,684.0,3.5077572252703315,5,36,2,Moderate,3,1,0,4,5,6,1,3,4,2,0,3,2,2,2
739489,JET-LUBE (UK) LIMITED,2016,manufacture of coke and refined petroleum products,20.33692962,19.83219727,0.8656927190000001,0.0,95.97232938,6.778047185,97.70086872,6025555.1910000015,16.46309136,15.68429101,0.049654801,11.09358281,16.46309136,0.05003949441873702,1040961.0,14.538155027527075,5,37,3,Reasonable_performance,4,1,0,4,2,5,3,2,4,1,3,2,1,5,5
1083848,NORSEA PIPELINE LIMITED,2016,manufacture of coke and refined petroleum products,24.3485914,0.20089244899999997,-1.503071855,306.64113019999996,21.7475266,54.96915382,44.07169514,19764000.0,33.26781213,15.56362141,2.44704507,0.015232678999999999,71.56501841,3.5982240573077307,47529000.0,1.1562507308157497,5,37,3,Reasonable_performance,0,0,2,2,5,4,4,3,4,3,1,4,4,1,1
1118667,NORPIPE PETROLEUM UK LIMITED,2016,manufacture of coke and refined petroleum products,13.3477075,0.217798884,-2.139241504,186.20941259999998,30.78891205,40.21699469,28.32476412,7063000.0,15.18639661,9.039851229,1.314564838,0.0,29.36073615,2.247922493818152,16269000.0,1.2101386579093276,5,35,2,Moderate,0,0,2,2,4,3,4,2,3,3,0,3,3,6,1
1235124,HOLT LLOYD INTERNATIONAL LIMITED,2016,manufacture of coke and refined petroleum products,10.64468666,0.662901916,-3.486860015,0.0,4.298159384,50.07611927,66.72431913,18781999.88,279.5741325,11.97594676,22.34463722,10.22130138,279.5741325,24.257705479452056,3836000.0,1.3225476581924815,5,41,3,Reasonable_performance,0,0,0,1,5,5,4,4,3,4,2,4,4,5,1
1549574,BIG K PRODUCTS U.K.LIMITED,2016,manufacture of coke and refined petroleum products,3.564064962,1.414739287,8.669522038,57.85060078,48.90328863,22.59072189,47.86522725,7431483.135,11.41235465,6.036519619,0.9652476659999999,24.04699099,12.36957286,1.053623324807429,1229125.0,2.908392956097911,3,41,3,Reasonable_performance,1,3,2,3,3,4,4,2,2,3,4,2,3,5,2
1857473,OIL SALVAGE LIMITED,2016,manufacture of coke and refined petroleum products,17.1414116,2.885856087,3.077080408,8.801413584,71.06331468,8.121918573,49.834131899999996,6531635.127,32.29660809,24.3805849,0.34497140000000004,15.03983195,34.31445202,0.4075534608022722,2611082.0,4.5535581811614,5,42,4,Better_returns,3,2,1,4,2,4,4,3,4,2,3,3,2,5,3
1875025,PETRO-LUBE (UK) LIMITED,2016,manufacture of coke and refined petroleum products,1.56787504,3.192407334,4.251942917,0.0,69.53157158,19.46357153,36.43218019,192233.6816,6.512698319,4.505200868,0.44559554799999995,3.4159759,6.512698319,0.4489175165503668,9721.0,5.205716747466196,3,32,2,Moderate,3,3,0,4,3,3,2,2,2,2,1,2,2,3,4
1913440,MARTIN MANUFACTURING (UK) LIMITED,2016,manufacture of coke and refined petroleum products,12.5029769,4.520865533,1.843283582,0.0,78.19346141,43.54965468,29.46773041,2924999.0310000004,22.62931034,17.69464105,0.27887931,14.9321267,22.62931034,0.2788793103448276,566000.0,5.301117792888179,5,39,3,Reasonable_performance,3,2,0,4,4,3,2,3,4,2,3,3,2,4,4
2073564,KUWAIT PETROLEUM INTERNATIONAL LUBRICANTS (UK) LIMITED,2016,manufacture of coke and refined petroleum products,-7.242360149,1.068605928,43.8752,-144.0785307,-16.10238629,7.74669973,58.87225585,9734999.609,-285.3448276000001,-20.25290638,-5.769474351,12.99321712,125.7758075,-7.210259658011402,-1836000.0,1.8603483683593467,0,22,1,Need_more_analysis,1,4,0,0,2,4,4,0,0,0,3,4,0,0,1
2075698,MOOVE LUBRICANTS LIMITED,2016,manufacture of coke and refined petroleum products,6.572725425,2.064795838,3.64253282,6.403018961,62.66871755,25.23670483,63.33656256,39290999.67,13.98748594,9.031837647,0.5838191079999999,8.572589933,14.88310732,0.6834984139315078,4924000.0,3.0561042594410446,4,39,3,Reasonable_performance,2,3,1,3,4,4,4,2,3,2,2,2,2,5,2
2205902,EASTHAM REFINERY LIMITED,2016,manufacture of coke and refined petroleum products,17.70965623,0.438252149,-5.823769447,79.319537,43.80492901,2.2697613309999998,33.5988614,3058999.94,15.82035834,12.42701739,0.489652753,1.826144077,28.36899334,1.2828481234654507,5929000.0,1.6355339590555906,5,31,2,Moderate,0,0,2,3,2,3,2,2,3,2,1,3,3,5,1
2324368,EUROIL EXPLORATION LIMITED,2016,manufacture of coke and refined petroleum products,-1890.0538800000002,1.253322305,0.645395508,-399.48800510000007,-14.42770912,46.46629328,185.610958,3962391.0,-406.1637967,-175.4941845,-3.936471294,0.0,1216.411852,-7.929416216767974,-9635864.0,-8.051047001125786,0,19,1,Need_more_analysis,1,1,0,0,4,6,3,0,0,0,0,4,0,0,0
2397248,BEACH ENERGY (BASS GAS) LIMITED,2016,manufacture of coke and refined petroleum products,-366.1933536,0.083095843,-0.11182621300000001,-18.02526047,-105.80171399999999,4.6865556139999995,6.947129825,3202220.354,80.8390031,-70.11221657,-1.764911705,5.679758106,66.26756241,-1.9451642635746464,-14382237.07,-5.163408652656528,0,16,1,Need_more_analysis,0,0,0,0,2,2,2,4,0,0,2,4,0,0,0
2412689,FUCHS LUBRICANTS (UK) PLC,2016,manufacture of coke and refined petroleum products,12.29338359,2.237366151,4.176482105,14.61755686,104.8487743,36.94179582,56.06460777,46176999.31,17.36826768,13.63943703,0.313348313,13.26657854,19.90708408,0.9297760575062206,15011000.0,2.6094487693709882,5,43,4,Better_returns,2,3,1,4,4,4,4,3,3,2,3,2,3,5,2
2542376,OPALMATIC LIMITED,2016,manufacture of coke and refined petroleum products,29.78128743,1.0303744609999999,99.96008869,0.0,4.875392402,0.0,0.0,15299.0,1764.2575559999998,86.01447883,19.51116951,0.0,1764.2575559999998,19.51116951379764,155.0,3.0211981536334584,5,28,1,Need_more_analysis,0,4,0,1,0,0,1,4,4,4,0,4,4,2,2
2587124,EXOL LUBRICANTS LIMITED,2016,manufacture of coke and refined petroleum products,4.891689276,1.0657479429999999,51.88261171,20.02247133,24.26905107,11.15606931,55.76468866,16423178.87,43.06832072,12.02675658,2.9698387019999997,3.7726207310000004,49.55594078,3.1204742490366333,3263631.0,3.1998627513755924,4,44,4,Better_returns,1,4,1,2,3,4,4,4,3,4,1,4,4,5,2
2808736,EXOL LUBRICANTS (ROTHERHAM) LIMITED,2016,manufacture of coke and refined petroleum products,4.587509954,1.3947415159999998,9.826730926,7.417885162,32.68670227,47.34009064,2.144750296,13427276.2,33.13565759,11.57750257,1.990420745,20.50175034,35.41961029999999,2.059348084707307,2155029.0,3.592940135733629,4,41,3,Reasonable_performance,1,3,1,2,4,2,4,3,3,3,4,3,3,5,2
3127653,PHILMAR PETROLEUM LIMITED,2016,manufacture of coke and refined petroleum products,8.590345616,1.255502493,11.00227513,13.63827191,33.63256772,44.43155767,56.07609356,23984747.5,40.78950184,15.16835413,1.8738560659999999,17.84590311,45.25061742,2.0030894328596216,5747400.0,2.8773245543167834,4,46,4,Better_returns,1,4,1,3,4,4,4,4,3,3,3,4,3,5,2
3528262,AZTEC OILS LIMITED,2016,manufacture of coke and refined petroleum products,2.092311705,1.125100245,23.56719224,44.56055088,26.17072684,43.3698525,73.12536365,4530106.4969999995,10.53435192,3.890494856,2.409886969,17.05012152,14.86582654,2.8210631529490637,585310.0,2.4850412325478755,3,41,3,Reasonable_performance,1,4,2,2,4,5,3,2,2,3,3,2,4,4,2
3695450,JOHN BRINDLE OIL & CHEMICAL LIMITED,2016,manufacture of coke and refined petroleum products,19.52928222,1.182988971,3.98401057,0.0,15.48308897,16.00744907,0.0,3224434.0,77.71729661,12.03303818,5.458659521,0.0,77.71729661,5.458659521077286,28.0,0.9057706314643104,5,33,2,Moderate,1,3,0,2,3,0,3,4,3,4,0,4,4,2,1
3791569,SCOTASH LIMITED,2016,manufacture of coke and refined petroleum products,3.433717985,2.461358314,2.277564103,0.0,59.37202664,17.00182944,27.63439347,5254999.964,7.820512821,4.643196955,0.684294872,1.069518717,7.820512821,0.6842948717948718,310000.0,3.173549526825127,3,32,2,Moderate,2,2,0,3,3,3,3,2,2,3,1,2,2,4,2
3898950,EXXONMOBIL MARINE LIMITED,2016,manufacture of coke and refined petroleum products,0.055319049,1.00767016,1081.307223,0.0,1.3880873790000001,0.829635205,42.29319566,129142000.0,32.59423503,0.45243646299999996,71.04157428,0.0,32.59423503,71.04157427937916,1037000.0,8.147161008508931,2,36,2,Moderate,0,4,0,1,2,4,5,3,1,4,0,3,4,5,4
4726365,FOSBEL INTELLECTUAL LIMITED,2016,manufacture of coke and refined petroleum products,-204.231313,2.361924713,0.5445468379999999,0.0,58.10451672,0.0,0.0,1731196.81,-110.36580330000001,-63.84479693,0.728658535,0.0,-110.36580330000001,0.7342546910202686,-1182243.34,-1.3312090487821118,0,13,1,Need_more_analysis,2,1,0,3,0,0,2,0,0,3,0,0,2,0,0
4930959,PATERSON ENTERPRISES LIMITED,2016,manufacture of coke and refined petroleum products,15.074838399999999,3.3663754139999997,3.6833460660000004,6.909430438999999,110.62525819999999,26.31295586,57.84308134,22345998.98,16.927705,14.995787699999996,0.13773213,11.75636904,18.097313,0.2966843264480029,9917000.0,3.996539926440745,5,42,4,Better_returns,3,3,1,4,4,4,4,3,3,1,3,2,2,5,3
4968239,KERAX LIMITED,2016,manufacture of coke and refined petroleum products,3.7434252189999997,1.777893524,6.948199242,2.15612935,56.21311171,11.8968417,50.51679563,8734893.082,16.89472844,9.206906007999999,0.8530098840000001,16.98943976,17.25900064,0.9670467473517412,1279101.0,3.942824316378808,3,42,4,Better_returns,2,3,1,3,3,4,4,3,3,3,3,2,3,5,3
