REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
3543,VINTERS ENGINEERING LIMITED,2016,other manufacturing,-44.56521739,0.303756994,-0.10562571800000001,-178.1609195,-12.54506128,11.90217391,55.54347826,37999999.99,-30.14705882,-2.956020187,-7.189655172,14.13043478,23.56321839,-8.971264367816092,-3700000.0,-0.8791512936774025,0,22,1,Need_more_analysis,2,0,0,0,3,4,5,0,0,0,4,4,0,0,0
6480,BARNAGORE JUTE FACTORY PLC(THE),2016,other manufacturing,1.267042133,3.018671869,0.892783443,49.47910798,46.61282898,146.3903865,80.69158276,21555879.09,1.000594483,0.695735326,0.653635571,50.54137686,1.492583354,1.1453321369135978,232118.0,1.8479531198492023,3,50,3,Reasonable_performance,5,2,3,4,5,5,5,2,2,3,5,2,4,3,2
19457,PZ CUSSONS PLC,2016,other manufacturing,10.19240136,0.903738487,-15.40712946,86.37266587,61.97217777,43.51376035,55.07001948,500399999.7,13.59428293,7.157516675,1.09992054,18.32683877,16.62693683,4.55228981544771,111000000.0,1.1390773277125252,5,41,2,Moderate,2,0,3,4,4,4,1,3,3,4,4,3,5,1,2
31942,SAMUEL HEATH AND SONS PUBLIC LIMITED COMPANY,2016,other manufacturing,7.5254291160000015,5.106152806,2.072122509,228.88888889999998,26.39038217,21.28973299,56.8789733,7551997.755,10.66441441,9.141809055,0.5477777779999999,26.3906548,35.07407407,2.9778382581648524,1469000.0,2.639258499991322,4,55,4,Better_returns,5,3,3,3,3,4,5,3,4,3,5,4,5,5,3
53417,LONDON SECURITY PLC.,2016,other manufacturing,17.94157343,2.533996166,3.3379352439999996,18.54111214,133.6096312,11.43832992,65.32783317,56834999.51,18.30172758,15.2613803,0.23229728800000002,9.660847229,21.34061086,1.1377647615666786,23271000.0,2.2852641473332413,5,50,3,Reasonable_performance,4,3,2,1,3,4,5,4,4,3,3,4,4,6,2
55771,HEIMBACH UK LIMITED,2016,other manufacturing,13.52797993,10.79845538,1.118230898,67.48227857,56.45181806,8.294159033,0.0,6847007.834,8.549237691,8.083029908,0.096599348,10.64269621,14.31845809,0.7714221336643943,2059784.0,2.6270748809144213,5,43,2,Moderate,5,2,3,4,2,0,5,3,3,2,3,3,3,5,3
60894,EDWIN TUCKER & SONS LIMITED,2016,other manufacturing,3.1324146039999996,3.559379547,3.4734280539999998,3.631337022,82.07839254,18.72841127,22.40169427,2209102.622,4.891407405,4.160579074,0.182034077,15.50324836,5.069030893,0.21834744688938632,233566.0,4.750729021346874,3,44,2,Moderate,5,3,2,5,3,3,3,3,3,2,4,2,3,3,4
66471,G.B. KENT & SONS PLC,2016,other manufacturing,9.43953009,2.318024694,2.742626453,22.35240331,65.37262132,21.27724432,60.56403097,4120070.3419999997,9.258854988,7.282742532,0.32648142199999997,18.21176628,11.14035568,0.529692369353685,794080.0,2.616865596186014,5,48,3,Reasonable_performance,4,3,2,5,3,4,4,3,3,3,4,3,3,4,3
74096,SALTS HEALTHCARE LIMITED,2016,other manufacturing,9.902588652999999,1.818308856,6.199004192,16.77646696,63.41405562,33.90108734,59.58978736,29110211.53,24.33899307,16.39515709,0.549834249,9.293037388,27.61974785,0.7672548584906387,9950546.0,3.541078336353765,5,55,4,Better_returns,4,4,2,5,4,4,5,4,5,3,3,4,3,5,3
75049,M.NICOL & CO.LIMITED,2016,other manufacturing,-15.02829401,0.04147742,-0.159455448,-9.121590183,-319.844829,0.0,84.94356659,8775.994092,3.015094082,-9.64362251,-1.312651608,3.865301957,3.015094082,-1.3126516077399824,927.0,-4.7252877327875815,0,17,1,Need_more_analysis,2,0,0,0,0,5,2,2,0,0,2,2,0,2,0
80479,STANDARD PATENT GLAZING COMPANY LIMITED(THE),2016,other manufacturing,2.717524067,4.192058262,1.9947566019999998,2.080597036,76.64647155,12.25858409,97.35835424,1687118.065,4.812094812,3.765039559,0.28388553,14.68369891,4.912215113999999,0.3046915008429324,139045.0,4.424832061420424,3,47,2,Moderate,5,3,2,5,3,5,3,3,3,3,4,2,3,3,4
80715,CUXSON GERRARD & COMPANY LIMITED,2016,other manufacturing,26.36799651,7.29776848,1.015834348,0.0,87.99899573,13.36821452,63.57859167,10464998.85,23.00523062,20.24437191,0.136376605,17.96381077,23.00523062,0.13637660485021394,2399000.0,6.329396637242451,5,50,3,Reasonable_performance,5,2,0,5,3,4,5,4,5,2,4,4,2,5,5
86040,HAYES & FINCH LIMITED,2016,other manufacturing,10.70458715,6.241630271,1.564151403,14.9538044,79.85440324,25.10165221,50.12651335,3448479.6089999997,7.8439670260000005,7.20042244,0.10274105300000001,29.16102159,9.016938512000001,0.2522790971680879,-185643.0,3.519304494004669,5,46,2,Moderate,5,3,2,5,4,4,4,3,3,2,5,3,3,0,3
96365,REEVES WIRELINE TECHNOLOGIES LIMITED,2016,other manufacturing,-9.096313912000001,7.906570591,0.118972255,18.69059147,74.14467611,66.72859691,7.5951248510000005,64738998.51,-1.018964053,-0.896716435,0.161808588,181.19797859999997,-1.209414462,0.348714503092702,-1375000.0,2.735776447613978,0,32,1,Need_more_analysis,5,2,2,5,5,2,5,0,0,2,1,0,3,0,3
97913,"C.W.FLETCHER & SONS,LIMITED",2016,other manufacturing,1.7621911780000001,2.083312119,5.182143395,5.344603788,69.51096889,42.06548542,14.55243397,7258897.363,3.764670855,2.7269368610000004,0.39655706399999996,29.16578159,3.923031004,0.4386218693787384,848050.0,3.504776875472917,3,49,3,Reasonable_performance,4,4,2,5,4,2,5,3,3,3,5,2,3,4,3
112990,JEPSON & CO LIMITED,2016,other manufacturing,8.489225036,6.0320151939999995,1.381504859,54.69999191,59.63408788,26.78712439,76.15209647,8235256.614,5.796577092000001,5.278146469,0.151949579,5.545817025,8.967304293,0.7147133866187644,885020.0,2.2277994594207966,4,49,3,Reasonable_performance,5,2,3,4,4,5,5,3,3,2,3,3,3,4,2
116713,CLARITY-EMPLOYMENT FOR BLIND PEOPLE,2016,other manufacturing,-22.23489076,4.743352198,1.30535285,0.0,89.78672131,23.58971324,31.05667349,2530326.0530000003,-12.59972921,-11.29040521,0.11596784800000001,19.38696395,-12.59972921,0.11622556841801612,74275.0,6.0215549143198075,0,32,1,Need_more_analysis,5,2,0,5,3,3,3,0,0,2,4,0,2,3,5
118112,EXACLAIR LIMITED,2016,other manufacturing,-0.463982805,1.166891002,14.04403695,0.0,40.09578447,30.99377542,82.05158761,6792363.61,-1.624745869,-0.651454602,1.494027772,16.62076094,-1.624745869,1.494027771753261,168287.0,1.959608791430444,0,41,2,Moderate,3,5,0,4,4,5,5,0,0,4,4,0,4,3,2
