REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
60209,STEPHEN WALTERS & SONS LIMITED,2019,manufacture of textiles,-1.502026616,2.156345794,3.205761863,21.53594398,62.21961064,43.61896435,48.83025299,4886118.795,-3.226057202,-2.042589264,0.589599551,32.49975773,-3.282870533,0.6072103146342295,130448.0,2.8882007923213213,0,34,2,Moderate,4,2,2,3,4,4,4,0,0,2,4,0,2,3,3
62048,"BOWER ROEBUCK & CO.,LIMITED",2019,manufacture of textiles,4.83559297,2.330373766,2.463437891,0.0,62.50045966,56.33952653,78.15468944,6677705.787000001,9.508406928,5.942798037,0.5999882329999999,37.025888200000004,9.508406928,0.5999882326879179,596918.0,3.1563419223003213,4,43,3,Reasonable_performance,4,2,0,3,5,5,5,2,3,2,4,2,2,4,3
67442,"JOSHUA ELLIS AND COMPANY,LIMITED",2019,manufacture of textiles,1.7490961530000002,1.0307990009999999,28.88883607,19.80048866,8.08560196,24.98352814,45.16414476,8307839.251,14.50980755,1.405505663,11.16965809,84.1314441,17.38282035,11.367662976067233,485113.0,1.0770297908839002,3,45,3,Reasonable_performance,2,4,2,1,3,4,5,2,3,4,5,2,4,4,2
78708,Z.HINCHLIFFE & SONS LIMITED,2019,manufacture of textiles,-0.275405716,4.481024445,1.091120627,18.42573775,80.05060235,6.5065159160000015,73.76122572,16944385.92,-0.24200689,-0.19653739399999998,0.23470795,81.00176801,-0.24551644600000005,0.2492098380125253,487053.0,3.975644762089176,0,37,2,Moderate,5,1,2,4,2,5,5,0,0,2,5,0,2,4,4
139866,TBA PROTECTIVE TECHNOLOGIES LIMITED,2019,manufacture of textiles,30.9765849,7.1557254960000005,0.45414325899999997,835.6808621,8.169291652,58.18331851,282.8348766000001,3079441.325,10.34244376,9.239017526,1.117494157,131.4515365,96.77226694,3.4244542870041608,9607.0,1.395748897756692,5,49,4,Better_returns,5,1,3,1,5,6,3,2,4,3,5,4,4,3,2
162636,BURBERRY LIMITED,2019,manufacture of textiles,15.61538824,0.866796054,-9.019564267,36.91196367,22.19628906,37.48209495,9.166657438,1042402000.0,48.38327822,13.51891598,3.469272244,11.35465144,65.08693432,5.522276793544992,238369000.0,1.2863656161907229,5,38,2,Moderate,2,0,3,2,4,2,1,4,4,4,3,4,4,1,2
172105,MILLIKEN INDUSTRIALS LIMITED,2019,manufacture of textiles,6.3280433039999995,4.04156039,3.20777427,1.222281355,80.08353578,17.45071354,57.66481362,53873998.95,14.42366673,11.69216781,0.23647330100000002,10.75690472,14.59996452,0.2486961149547632,9601000.0,5.2081893389508815,4,43,3,Reasonable_performance,5,2,1,4,3,4,5,2,4,2,2,2,2,5,5
180630,A.W.HAINSWORTH & SONS LIMITED,2019,manufacture of textiles,12.20817193,2.861006017,2.588523606,7.478723762,68.81273835,42.96672196,52.85909752,12575590.19,22.33859231,16.18921594,0.400042775,37.6536206,23.52648119,0.453219307929568,2793532.0,4.0214992125747635,5,50,4,Better_returns,5,2,2,4,4,4,5,3,5,2,4,3,2,5,4
187655,CAMIRA YARNS LIMITED,2019,manufacture of textiles,-19.47434381,0.8418526409999999,-13.81263894,24.04483384,4.382806598,33.6930163,13.55706014,2672275.44,-739.9345739,-40.22761721,21.57598167,25.63293914,-917.8506127999999,21.81643001339033,-849113.0,0.5643509880819673,0,26,1,Need_more_analysis,2,0,2,1,4,2,3,0,0,4,4,0,4,0,2
188896,ANDREW INDUSTRIES LIMITED,2019,manufacture of textiles,3.530763392,2.08514321,3.7023280539999996,25.42354195,66.01006732,34.8802905,71.98084853,50595999.25,5.820186341,4.126900388,0.44586748,18.73499785,6.32464812,0.5420945326674522,7544000.0,2.9739028170773247,3,46,4,Better_returns,4,3,2,4,4,5,5,2,3,2,3,2,2,5,3
200956,GREENWOOD & COOPE LIMITED,2019,manufacture of textiles,2.287340976,2.194294428,6.933340427,2.150811868,68.14258405,21.23747372,36.81199454,34535999.49,8.269529516,5.756270879,0.446003004,6.173748907,8.447391538,0.467511122446088,5643000.0,4.572546347287783,3,42,3,Reasonable_performance,4,3,2,4,3,3,5,2,3,2,2,2,2,5,4
248570,W.E.RAWSON LIMITED,2019,manufacture of textiles,6.25,1.283294103,2.326445829,0.141650776,36.2804396,18.59304511,66.24201128,41434999.87,7.23573255,2.624879117,1.7590847180000002,19.77443609,7.2459820210000006,1.7679177152861365,-1480000.0,0.8334871878216972,4,38,2,Moderate,3,2,1,3,3,5,5,2,3,3,3,2,3,0,2
260993,MARTON MILLS COMPANY LIMITED,2019,manufacture of textiles,2.612007844,3.96669829,2.6514080780000002,7.000546697000001,78.29300384,24.53978644,68.8178133,4616020.53,4.546339612,3.7226095310000002,0.231762385,31.40065153,4.761758711000001,0.27967451285177386,541326.0,4.520937386159597,3,43,3,Reasonable_performance,5,2,2,4,3,5,4,2,3,2,4,1,2,4,4
267936,SPECIALITY FIBRES AND MATERIALS LIMITED,2019,manufacture of textiles,16.64539188,1.1817975490000001,9.780274657,3.0296153410000004,65.57779597,18.77648711,52.55552719,5206999.51,14.36123348,9.669286668,0.499943266,27.58488639,14.79632361,0.5330823636778462,1936000.0,2.359510062491512,5,44,3,Reasonable_performance,3,3,2,4,3,4,4,2,4,2,4,2,2,5,2
273492,JOHN COTTON GROUP LIMITED,2019,manufacture of textiles,5.327088184,1.8727244330000001,5.5559191189999995,2.859192329,63.46479458,66.65798603,50.12951937,83942999.26,14.16529027,9.148302373,0.56408643,15.23405508,14.57030316,0.6029291274068005,15481000.0,3.5498892680004075,4,47,4,Better_returns,4,3,2,4,5,4,5,2,4,2,3,2,2,5,3
298275,BROCKWAY CARPETS LIMITED,2019,manufacture of textiles,2.523685908,1.640557885,5.4362906539999996,7.748464256,54.04140632,48.59214743,47.23790246,8558778.165,7.103347889,3.928214694,0.827127045,23.98058119,7.268897984,0.8504329699592508,1145616.0,2.9586527148017217,3,48,4,Better_returns,4,3,2,3,5,4,5,2,3,3,4,2,3,5,3
309779,INTERFACE EUROPE LTD.,2019,manufacture of textiles,6.7649685910000015,6.5570314760000015,1.182931476,1.079803504,85.37627601,5.130833321,58.36857365,68120999.93,7.060657466,6.093218327000001,0.16048753400000002,1.117244813,7.136898692999999,0.17128556863472055,3353000.0,5.481186565801586,4,37,2,Moderate,5,1,1,4,2,4,5,2,3,1,1,2,1,5,5
318082,HERBERT PARKINSON LIMITED,2019,manufacture of textiles,-3.6408209389999997,0.524067086,-6.444542331,64.39973395,7.3848496379999995,15.22496537,6.428281751,3749699.5939999996,-80.81318904,-9.81126515,11.89723977,13.23910032,-132.8566678,12.541237113402062,-173900.0,2.0405155250235643,0,26,1,Need_more_analysis,2,0,3,1,3,2,4,0,0,4,3,0,4,0,2
375348,WALTER H.FELTHAM & SON LIMITED,2019,manufacture of textiles,5.463216052999999,3.258436358,2.1936116,0.0,70.14510602,26.48147451,52.54429585,541890.6599,11.51951313,8.080374694,0.425616207,6.8650988239999995,11.51951313,0.4256162073210369,55181.0,4.0973056518528574,4,38,2,Moderate,5,2,0,4,4,4,3,2,3,2,2,2,2,3,4
385595,GUILFORD EUROPE LIMITED,2019,manufacture of textiles,-2.387796491,2.762071156,3.407547623,12.71375169,66.54669595,39.89542368,12.84789701,26084999.54,-4.777193663,-3.583242914,0.375566691,7.598977163,-5.3845542029999995,0.5027042074286169,150000.0,3.156954188086617,0,33,2,Moderate,5,2,2,4,4,2,5,0,0,2,2,0,2,3,3
388999,JAMES ROBINSON FIBRES LIMITED,2019,manufacture of textiles,3.168213012,2.666630943,2.715135964,20.59371346,69.40557391,35.9929939,41.63914872,13237218.8,4.197685605,3.246983267,0.326317454,26.51962894,4.678274502,0.44080647088853503,1034447.0,3.0256230434979834,3,43,3,Reasonable_performance,4,2,2,4,4,3,5,2,3,2,4,1,2,5,3
419883,DOWNLAND BEDDING COMPANY LIMITED(THE),2019,manufacture of textiles,0.109999376,1.4236586180000002,9.858092766,68.80335191,35.2838266,52.54527849,61.29868869,5600010.328,0.411203036,0.21698563699999998,1.3386163999999998,16.08313715,0.614971952,1.8341597164275203,315630.0,2.6341314630828245,2,42,3,Reasonable_performance,3,3,3,3,5,4,4,1,2,3,3,1,3,4,3
439336,SAUL D HARRISON & SONS PLC,2019,manufacture of textiles,6.429059644,1.885597175,5.062462873,18.27979201,56.41076264,44.96619441,84.30916373,6960664.196,21.23664295,12.22756533,0.75202537,17.92658062,21.67594401,0.7727113641567721,1205182.0,3.6073777416821855,4,49,4,Better_returns,4,3,2,3,4,5,5,3,4,3,3,3,2,5,3
