REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
70960,MONCKTON COKE & CHEMICAL COMPANY LIMITED(THE),2017,manufacture of coke and refined petroleum products,-107.4324324,0.503486552,-0.014139677,0.0,-68.40549609,194.8310811,286.0810811,10614000.0,1.856825879,-1.2701709540000001,-2.46187084,0.0,1.856825879,-2.461870839658998,-159000.0,-1.2944264697145489,0,15,1,Need_more_analysis,0,0,0,0,4,5,4,1,0,0,0,1,0,0,0
72349,"R.S.CLARE & CO.,LIMITED",2017,manufacture of coke and refined petroleum products,17.22478016,4.3744005569999995,2.495397835,13.45159315,74.26805104,17.03384906,49.31281421,17405297.17,27.31049355,22.98291848,0.213623995,9.860582583,30.98419003,0.34872086821808146,7023407.0,4.820984400094701,4,41,4,Better_returns,3,2,2,4,2,3,4,3,4,2,2,3,2,5,4
90220,GOODALL BATES & TODD LIMITED,2017,manufacture of coke and refined petroleum products,3.966183071,2.185913706,5.126270733,2.3299161230000003,66.09856263,25.94353408,65.48742302,3444999.088,11.53612629,7.802874742999999,0.489593041,15.00887173,11.80490836,0.512892202547375,647000.0,4.093509974043483,2,37,2,Moderate,2,3,2,4,3,3,3,2,2,2,3,2,2,4,3
97216,LUBRICANTS UK LIMITED,2017,manufacture of coke and refined petroleum products,8.749231742000001,1.813864947,1.489890846,18.99011697,47.82317518,66.75643778,30.67974115,335876999.9,9.475415529,5.005121045,1.062753246,5.559514372000001,11.27480802,1.494133271266036,20334000.0,1.6682452366039298,3,35,2,Moderate,2,2,2,3,4,2,0,2,2,3,2,2,3,6,1
137671,MILLERS OILS LIMITED,2017,manufacture of coke and refined petroleum products,4.252723751,1.647188135,7.028210973999999,31.61339462,57.30323984,40.77715955,56.42746846,5961443.149,10.85765359,6.9542481920000006,0.638386886,18.702666100000002,12.348848599999998,0.8002347691639746,1092657.0,3.0753663013457406,3,37,2,Moderate,2,3,2,3,3,3,3,2,2,2,3,2,2,5,2
360850,IRONSIDES LUBRICANTS LIMITED(THE),2017,manufacture of coke and refined petroleum products,10.80422106,2.271745562,4.208729048,4.603456203,63.45632517,43.07662335,52.96704243,5317308.54,29.29230783,19.44350435,0.529852471,8.585846734,30.64076639,0.5758870331161897,1550545.0,4.08434799072608,4,41,4,Better_returns,2,3,2,4,3,3,3,3,4,2,2,3,2,5,3
446915,BP OIL UK LIMITED,2017,manufacture of coke and refined petroleum products,3.294185047,1.463235294,11.08253968,1.715686275,54.0397351,44.85391005,31.05270696,994999999.8,13.85542169,7.61589404,0.833333333,3.1796046980000003,14.09313725,0.8504901960784313,158000000.0,3.701164246044621,2,29,1,Need_more_analysis,1,4,2,3,3,2,0,2,2,3,1,2,3,1,3
529086,PHILLIPS 66 LIMITED,2017,manufacture of coke and refined petroleum products,4.897435897,1.753177258,10.39076377,7.4162679260000015,65.73619029,19.46666667,29.699145299999998,2160758450.0,15.95211581,11.26400629,0.44706937799999996,6.52991453,17.13516746,0.5212320572747086,557295960.4,4.112707123770846,3,30,2,Moderate,2,4,2,4,2,2,0,2,3,2,2,2,2,1,3
553535,TOTAL UK LIMITED,2017,manufacture of coke and refined petroleum products,0.355871886,2.1375,6.175824176,1957.142857,3.125,20.78291815,12.33985765,170999999.6,1.388888889,0.892857143,11.42857143,6.049822064,28.57142857,31.0,7000000.0,3.1063191244239627,1,37,2,Moderate,2,3,3,1,2,1,5,1,1,4,2,3,4,5,2
564599,TOTAL LINDSEY OIL REFINERY LIMITED,2017,manufacture of coke and refined petroleum products,3.814033765,1.626434369,9.340103785,39.53842183,33.73267075,2.332895126,0.00162016,751493999.2,25.09394105,11.81172719,1.5691008869999998,13.07905455,35.01568931,1.964485105342516,118616000.0,4.351176464184002,2,32,2,Moderate,2,3,3,3,1,1,0,3,3,3,3,3,3,1,3
588559,WILLOWS SERVICE STATION LIMITED,2017,manufacture of coke and refined petroleum products,36.48586532,2.7397365789999997,1.348430513,0.0,76.96375024,155.58968380000005,320.2034015000001,71140.0,25.619005899999998,19.71734772,0.299312984,0.0,25.619005899999998,0.2993129841386942,603.0,3.2582143520662967,4,34,2,Moderate,3,1,0,4,4,5,1,3,4,2,0,3,2,2,2
