REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
107182,VINCENT TIMBER LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-10.39221786,1.4157436819999998,6.991283884,81.40328659999999,34.72025993,47.21732315,63.51361039,4430852.166,-56.63802070000001,-19.69970901,1.878391031,28.69729013,-56.73836846,1.8801627694819223,-802823.0,1.7454499064650588,0,31,2,Moderate,3,3,3,3,3,3,3,0,0,3,4,0,3,0,2
107182,VINCENT TIMBER LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.907422802,1.350709699,4.110483887,87.36479656,30.350026399999997,118.5049007,135.9735111,5312062.262,2.998303452,0.910769353,2.2940290869999997,51.22502784,3.000884878,2.2948900494119973,161474.0,1.6543962241346817,3,40,3,Reasonable_performance,3,3,3,2,4,4,3,2,2,3,4,2,3,2,2
158479,ROYAL BRITISH LEGION INDUSTRIES LTD.,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-3.275348691,1.9175011919999998,6.633056132999999,21.35894495,74.97205743,22.68022254,41.58517474,4020999.872,-1.974958658,-1.7969220190000001,0.120240826,2.099984328,-2.3967889909999998,0.3338302752293578,556000.0,2.493424884652273,0,27,1,Need_more_analysis,4,3,2,4,2,2,3,0,0,1,1,0,2,3,3
201929,HOWARTH TIMBER & BUILDING SUPPLIES LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.904479644,2.1664484219999998,5.358356489,2.032757631,58.23735265,31.21925754,36.57478966,18370979.29,3.8959350230000003,2.306442701,0.703161994,11.283427900000001,3.975129939,0.7281340094494013,1166978.0,3.934858386027884,3,40,3,Reasonable_performance,4,3,2,3,3,2,4,3,2,3,3,2,2,4,4
214769,BAMPTON PACKAGING LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.704075628,1.026872448,111.15596609999999,17.74378746,47.28837584,52.76336223,80.73308738,1615332.7130000002,1.73545703,0.950835786,0.971611274,9.598843105,2.0433928359999998,1.189940935891712,68078.0,1.9327231405637244,3,37,2,Moderate,2,4,2,3,4,4,2,2,2,3,2,2,3,2,2
215881,ATKINSON & KIRBY LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",15.72601055,4.2221688230000005,2.040890684,0.0,77.84712761,13.02078731,66.79393274,8187898.333,29.42890143,22.90955445,0.284568912,25.35369731,29.42890143,0.28456891184304384,730445.0,4.953519637421134,5,44,4,Better_returns,5,2,0,4,2,4,4,4,4,2,4,4,2,3,5
254946,LBS BUILDERS MERCHANTS LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.095712734,1.660697455,8.930670471,6.175073512999999,44.65205535,34.35211808,40.60219794,8809999.431,14.27328111,6.625593374,1.1999547609999999,9.644751134,14.83827188,1.2395385659353086,859000.0,4.394048064893541,3,40,3,Reasonable_performance,4,3,2,3,3,2,4,3,2,3,2,3,3,3,4
269521,WATFORD TIMBER COMPANY LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.633559535,1.118108022,31.52961067,6.618651937999999,9.907462688999999,34.10907432,43.68280742,2488941.643,19.97588547,2.110093365,9.027215105,9.598139239,21.2980198,9.093401624552397,53194.0,3.5823671322847703,3,41,3,Reasonable_performance,3,4,2,2,3,3,2,4,2,4,2,4,4,2,3
286497,NICHOLS & NICHOLS LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",26.98128983,1.055708882,28.0668544,0.0,5.276917065,0.0,0.0,181697.0,757.2799332000003,39.96103403,17.95045891,0.0,757.2799332000003,17.950458906967047,0.0,1.6253060427926762,5,31,2,Moderate,3,4,0,1,0,0,1,5,4,4,0,5,4,0,2
305654,MERRITT & FRYERS LIMITED,2013,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.125877605,1.144940228,21.30004724,0.187022618,53.13247883,35.54718419,46.40948135,2859209.387,5.76615644,3.069431665,0.880217758,19.844671899999998,5.776940457,0.8820879845193492,388065.0,2.39202102246681,3,39,3,Reasonable_performance,3,4,1,3,3,3,2,3,2,3,3,3,3,3,3
