REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
26306,HANSON PACKED PRODUCTS LIMITED,2017,manufacture of other non-metallic mineral products,66.73434962,2.7792383610000004,0.095520571,75.45978538,40.78232232,41.21813695,25.98509934,523489000.0,4.554068775,3.249352806,0.704525478,9.840059978,7.990559297999999,1.4695283658554958,18999000.0,1.0701656327236635,6,42,2,Moderate,5,1,4,3,4,3,1,2,2,3,3,2,3,6,2
41495,PILKINGTON GROUP LIMITED,2017,manufacture of other non-metallic mineral products,476.0206615,0.09988345900000001,-0.16227704199999998,34.61653457,58.38693416,0.405545968,0.901692631,57852000.0,18.95049343,14.89180118,0.36689120399999997,0.0,25.51049754,0.7133023511639225,-18562000.0,0.8266896532491802,1,31,1,Need_more_analysis,2,0,4,3,2,2,5,3,3,2,0,3,2,0,2
54713,VESUVIUS UK LIMITED,2017,manufacture of other non-metallic mineral products,2.356802814,1.409355711,11.17458704,36.11524897,62.79873032,36.43470087,45.95841293,40642999.53,2.908107906,2.290306897,0.3671619370000001,10.23302708,3.9583412910000004,0.8428567218718689,4391000.0,1.9118702136953225,3,44,3,Reasonable_performance,3,4,4,3,4,4,5,1,2,2,3,1,3,5,2
57091,FURLONG MILLS LTD,2017,manufacture of other non-metallic mineral products,5.8405018239999995,2.2131311030000003,4.024485653999999,3.597939904,71.4288719,33.24291005,25.67384701,3912277.363,10.0192705,7.414143928,0.364014712,13.04458303,10.37975784,0.3999941107172797,710749.0,3.5686460140212417,4,43,2,Moderate,4,3,3,4,4,3,4,2,2,2,4,2,2,4,3
63230,IBSTOCK BRICK LIMITED,2017,manufacture of other non-metallic mineral products,28.02440477,0.823690512,-5.339302602,5.899246475,48.98476941,36.28432156,43.53458347,232185999.8,24.47473045,12.69614446,0.982458403,17.47639039,25.91855513,1.0414508674952423,82846000.0,1.5328208651686095,5,37,2,Moderate,2,0,3,3,4,4,1,3,3,3,4,3,3,1,2
66558,TARMAC CEMENT AND LIME LIMITED,2017,manufacture of other non-metallic mineral products,-25.03401361,0.38001935200000003,-1.433866563,26.99795082,29.53548192,62.27346939,22.4462585,157099999.9,-37.1117386,-13.91199153,2.117827869,9.224489796,-47.13114754,2.3927104722792607,-54600000.0,-0.6799127900214621,0,30,1,Need_more_analysis,2,0,3,2,5,3,6,0,0,3,3,0,3,0,0
110186,BEATSON CLARK LIMITED,2017,manufacture of other non-metallic mineral products,7.286135102,1.052172324,43.69789842,48.46163351,42.64411424,58.72562772,58.3160331,23030999.46,10.37523184,6.38634208,0.90156102,23.46953089,14.9759051,1.3449894970962557,9182000.0,1.950722507565796,4,50,4,Better_returns,3,4,4,3,5,4,5,2,2,3,5,2,3,5,2
128500,W. MOORCROFT LIMITED,2017,manufacture of other non-metallic mineral products,-5.776501988,0.6856164840000001,-9.010811638,52.05501995,43.68379433,23.24120361,12.25752477,854851.5908,-12.08548548,-6.951504168,0.972455705,14.44510537,-15.91323344,1.2891784365828416,-120501.0,1.2637228742835982,0,27,1,Need_more_analysis,2,0,4,3,3,2,3,0,0,3,4,0,3,0,2
144614,PROCTER BROS. LIMITED,2017,manufacture of other non-metallic mineral products,-3.1602360160000003,1.150171765,26.43781113,-147.540926,-121.155172,31.7395534,71.7883816,5032533.76,-14.26420032,-6.675250355,-0.439129185,6.040697995,5.509670157,-1.8253877928380637,193090.0,1.862786145842832,0,27,1,Need_more_analysis,3,4,0,0,4,5,4,0,0,0,3,1,0,3,2
150494,DUDSON (HOLDINGS) LIMITED,2017,manufacture of other non-metallic mineral products,1.001864943,1.595437556,4.990692641,52.79886758,39.68643072,29.58689335,57.90736002,12378999.02,1.9454269830000002,1.176590434,0.998455797,32.94010496,2.9725904,1.5367275553828217,701000.0,1.9667824434209933,3,46,3,Reasonable_performance,4,3,4,3,4,4,5,1,2,3,5,1,3,4,2
169343,LEWIS & TOWERS LIMITED,2017,manufacture of other non-metallic mineral products,2.8334757739999996,3.905325444,30.979633399999997,0.0,74.39393939,0.0,0.0,1319999.615,87.78004073,65.30303029999999,0.344195519,0.42732233299999994,87.78004073,0.3441955193482689,862000.0,27.656210417787342,3,38,2,Moderate,5,4,0,4,0,0,3,4,4,2,2,4,2,4,1
172023,"JAMES DURRANS & SONS,LIMITED",2017,manufacture of other non-metallic mineral products,6.085013977999999,3.9763745860000004,2.495440755,0.821711231,79.54061218,26.43651789,76.57602566,36068324.75,11.16209433,8.951352956000001,0.249002279,16.87807882,11.25381451,0.2572193908840023,5579706.0,4.977070894963717,4,47,3,Reasonable_performance,5,2,2,4,4,5,5,2,3,2,4,2,2,5,5
175597,PARKINSON - SPENCER REFRACTORIES LIMITED,2017,manufacture of other non-metallic mineral products,0.15251092800000002,1.9269883719999998,3.87604942,12.41805106,53.87953787,54.04752351,75.41648779,4073901.039,0.45230955100000003,0.247784802,0.839240141,26.74279443,0.45988665,0.8559921622770681,132476.0,2.9154006853767687,2,44,3,Reasonable_performance,4,3,3,3,5,5,4,1,1,3,5,1,3,3,3
207732,CEILING SOLUTIONS LIMITED,2017,manufacture of other non-metallic mineral products,9.920163505,3.4317394969999997,3.012351855,7.362694301,79.47838023,15.37676439,42.05997317,36674999.45,12.49296205,10.66026081,0.18457685699999998,7.44714824,13.41278066,0.25820379965457685,9426000.0,4.357051927839997,5,43,2,Moderate,5,2,3,4,3,3,5,2,3,1,3,2,2,5,4
221210,FORTICRETE LIMITED,2017,manufacture of other non-metallic mineral products,10.82668617,0.9104448070000001,-24.17292818,3.0973688439999996,47.45206733,47.84300505,39.90114964,18400999.68,24.62186184,12.00760456,1.083060929,14.71441958,25.38449172,1.1214867562172952,6201000.0,2.2247219594231886,5,45,3,Reasonable_performance,2,0,3,3,5,3,5,3,3,3,4,3,3,5,2
247647,H+H UK LIMITED,2017,manufacture of other non-metallic mineral products,16.44245142,2.58734259,2.410670696,57.40263601,49.51726676,42.82004918,18.84926949,56090999.41,22.64840183,16.65364329,0.5370875039999999,15.39852452,33.79248836,1.0391494684177611,16114000.0,2.9234643381125736,5,50,4,Better_returns,4,2,4,3,4,3,5,3,4,2,4,3,3,6,3
262938,MORGAN TECHNICAL CERAMICS LIMITED,2017,manufacture of other non-metallic mineral products,92.32948972,1.9307631790000002,4.308913308999999,161.45765580000003,33.52267152,39.26313839,42.875188,22085999.53,52.68866692,46.12553358,0.3720241970000001,11.76624452,137.7585534,1.9936682006592903,4856000.0,1.7379663545820994,1,53,4,Better_returns,4,3,4,3,4,4,5,4,4,2,4,4,3,5,2
270153,CHURCHILL CHINA (UK) LIMITED,2017,manufacture of other non-metallic mineral products,14.19398232,2.539149397,2.60431381,53.27242207,48.15803827,22.1176733,56.73296767,33909029.26,20.33863479,14.98271589,0.547907781,18.33674298,31.17351817,1.085119468283884,9260528.0,2.763672000349623,5,48,4,Better_returns,4,2,4,3,3,4,5,3,3,2,4,3,3,5,3
330538,EAST COAST SLAG PRODUCTS LIMITED,2017,manufacture of other non-metallic mineral products,16.92663497,0.0,3.4286343610000003,2.966025526,97.11941341,0.0,0.0,0.0,38.33216946,38.33216946,0.0,9.700629577,39.46911139,0.029660255257954345,7953000.0,21.58504703106484,5,28,1,Need_more_analysis,0,2,3,4,0,0,0,3,4,0,3,3,1,5,6
332183,"MAWBY & KING,LIMITED",2017,manufacture of other non-metallic mineral products,9.449121186000001,4.360182616,1.931056619,6.544563318,75.92042702,17.16244513,65.05995742,6162934.315,14.4857437,11.71738589,0.251722933,10.56150084,15.43377237,0.31716856623546297,1126637.0,4.486818581085125,5,44,3,Reasonable_performance,5,2,3,4,3,4,4,2,3,2,3,2,2,5,4
344017,KEMET INTERNATIONAL LIMITED,2017,manufacture of other non-metallic mineral products,6.796366377999999,4.081352208,1.8109832540000002,1.510448066,80.74284123,30.8816337,61.1174569,11682584.04,8.795675317,7.139815337999999,0.23542217899999998,17.15104087,8.928529425,0.2535763639148619,1340003.0,4.456695443887262,4,46,3,Reasonable_performance,5,2,3,4,4,4,5,2,2,2,4,2,2,5,4
359744,TYNESIDE SAFETY GLASS COMPANY LIMITED,2017,manufacture of other non-metallic mineral products,6.266789735,1.7467813580000002,8.021397556,23.20779942,49.25757533,27.09927185,58.08599968,3660968.627,24.31585607,14.75709235,0.798066594,6.222407405,29.95903117,1.0301445884706202,1165221.0,3.99293951197532,4,48,4,Better_returns,4,3,3,3,4,4,4,3,3,3,3,3,3,5,4
365565,OSBORN-UNIPOL (UK) LIMITED,2017,manufacture of other non-metallic mineral products,9.279800031,1.6387024609999998,5.605078809,123.78419450000001,32.85892634,7.812060616,63.18075301,2929999.6969999997,20.16977929,12.55017959,1.358662614,8.451804406,45.13677812,5.811224489795919,684000.0,2.384294311863706,5,47,3,Reasonable_performance,4,3,4,3,2,4,3,3,3,3,3,4,4,4,3
402545,C. WARRICK & SON (CONCRETE) LIMITED,2017,manufacture of other non-metallic mineral products,9.074046998,2.432880613,5.729925087000001,15.652007999999999,60.14007709,5.857310683,68.10341486,174293.4658,32.61252123,22.68305433,0.506264619,6.507036793999999,37.71703567,0.6627846992064109,62967.0,4.816295877131368,5,42,2,Moderate,4,3,3,3,2,5,2,3,4,2,3,3,2,3,5
407552,MONIER REDLAND LIMITED,2017,manufacture of other non-metallic mineral products,6.505709917999999,3.976961053,2.341941088,2.143913634,82.43893854,23.78686719,20.19299074,50749998.95,8.640482482000001,7.257862266,0.194583797,15.05485118,8.825726964,0.21667380398874345,10688000.0,4.969191212395279,4,44,3,Reasonable_performance,5,2,3,4,3,3,5,2,2,2,4,2,2,5,5
417484,PORTMEIRION GROUP UK LIMITED,2017,manufacture of other non-metallic mineral products,12.73271074,2.0186449580000003,3.167633411,19.8222406,61.63954716,41.49128161,44.87029238,30747999.38,15.42176988,11.21284335,0.449772633,19.11737777,18.47871021,0.6650604600418221,6369000.0,2.526842767100413,5,45,3,Reasonable_performance,4,2,3,3,4,4,5,2,3,2,4,2,2,5,3
432417,DAY GROUP LIMITED,2017,manufacture of other non-metallic mineral products,2.438569015,0.964435061,-119.86507420000001,57.67439186,39.39970636,58.28399261,68.31402583,29992666.92,6.7106411370000005,4.078111248,0.9956720379999999,1.8621545480000001,10.350613300000001,1.5380899817438562,8541805.0,2.431771082345744,3,43,2,Moderate,2,0,4,3,5,5,5,2,2,3,2,2,3,5,3
436709,LIGNACITE LIMITED,2017,manufacture of other non-metallic mineral products,16.274808800000002,2.491373012,5.722087077,4.624743378,80.10734435,19.96050517,54.75486204,8961677.499,26.82503622,22.48262711,0.20207755800000002,5.876229457000001,28.065625300000004,0.2483249920002301,5695170.0,5.159044037705292,5,48,4,Better_returns,4,3,3,4,3,4,5,3,4,2,3,3,2,5,5
440463,LONGLEY CONCRETE LTD,2017,manufacture of other non-metallic mineral products,7.626935836,1.9829729790000001,5.38096523,1.7428523999999999,54.92541756,54.70415043,76.22827688,8500324.809,31.8481082,17.79757847,0.803222177,3.6063526039999996,32.40317372,0.8206507013719391,2143168.0,4.419996541813223,4,50,4,Better_returns,4,3,3,3,5,5,5,3,4,3,2,3,2,5,4
479716,CARLTON MAIN BRICKWORKS LIMITED,2017,manufacture of other non-metallic mineral products,39.86389494,4.12260929,2.0572022309999998,3.6492928030000003,79.03285573,16.43654633,59.98272104,12070999.53,56.52895054,46.30681818,0.228803626,7.390079217,58.59185747,0.2652965538798156,851000.0,4.564412149020298,5,49,4,Better_returns,5,2,3,4,3,4,5,4,4,2,3,4,2,4,4
479716,CARLTON MAIN BRICKWORKS LIMITED,2017,manufacture of other non-metallic mineral products,31.18423003,0.0,0.531343519,6.18192027,94.17799165,0.0,0.0,0.0,11.125799800000001,11.125799800000001,0.0,0.0,11.81358787,0.0618192026951151,266000.0,10.884154200293157,5,20,1,Need_more_analysis,0,1,3,4,0,0,0,2,3,0,0,2,1,4,5
494330,NORTHCOT BRICK LIMITED,2017,manufacture of other non-metallic mineral products,16.06519594,1.8946814980000002,5.26789801,7.067098597,66.90848146,32.53976376,61.61017482,2149572.079,29.97831793,21.47555856,0.423907845,19.5444745,32.09691521,0.4945788309494986,1041986.0,3.9363051076174913,5,48,4,Better_returns,4,3,3,4,4,4,3,3,4,2,4,3,2,5,4
502188,OWENS-CORNING VEIL U.K. LTD.,2017,manufacture of other non-metallic mineral products,12.23693759,3.0566330489999998,2.07921539,18.01560444,76.84472857,55.95518868,0.033109579,7879999.804,5.3725755710000005,4.8723227510000005,0.12116939300000001,4.589985486000001,6.340477533,0.30132543711223914,1624000.0,2.855317909259701,5,43,2,Moderate,5,2,3,4,5,2,5,2,2,1,3,2,2,5,3
508761,STOCKS BROS. LIMITED,2017,manufacture of other non-metallic mineral products,27.343898499999998,0.641429499,-3.470870255,4.40191446,44.82002384,22.08776035,111.00283370000001,8473139.899,38.69562807,18.10683091,1.187126478,8.10172644,40.39897652,1.2311456225384232,3504179.0,1.5909408561204157,5,45,3,Reasonable_performance,2,0,3,3,3,5,5,3,4,3,3,3,3,5,2
509579,MARSHALLS MONO LIMITED,2017,manufacture of other non-metallic mineral products,16.79418086,3.029606068,2.5418546369999997,3.371410485,84.37464342,38.79609544,35.69466737,235257999.2,18.7272621,15.39882356,0.22343615100000008,16.19109905,19.35863498,0.2770896440962264,78537000.0,4.276238789890759,5,39,2,Moderate,5,2,3,4,4,3,1,3,3,2,4,2,2,1,4
513621,S.A.V. UNITED KINGDOM LIMITED,2017,manufacture of other non-metallic mineral products,6.231632547,0.9008875340000001,-25.82681957,89.11660598,24.94739186,63.67820266,62.96861503,8690316.779,18.80507345,8.630567407000001,2.168768273,8.631527672,34.59506892,3.008435052479076,1959662.0,1.924915616244468,4,46,3,Reasonable_performance,2,0,4,2,5,4,5,3,3,3,3,3,4,5,2
526983,O-I GLASS LIMITED,2017,manufacture of other non-metallic mineral products,-2.949719664,0.548860584,-5.2352941180000006,18.07651415,53.12806588,91.48217784,0.0,20640999.92,-4.138889767,-2.596398735,0.701479174,3.197406048,-4.887056761,0.8822443155322601,10320000.0,1.6588069305273216,0,31,1,Need_more_analysis,2,0,3,3,5,0,5,0,0,3,2,0,3,5,2
551629,MI GLASS LIMITED,2017,manufacture of other non-metallic mineral products,5.502209349,3.426751214,1.7145602130000002,9.274833015,71.29547305,47.56758663,70.03355869,4782630.673,6.491840729,5.057663867,0.309865268,7.858636092999999,7.093948117,0.4026135983934762,601204.0,3.4316254755276985,4,45,3,Reasonable_performance,5,2,3,4,5,5,4,2,2,2,3,2,2,4,3
567801,ARDAGH GLASS LIMITED,2017,manufacture of other non-metallic mineral products,14.03284588,1.247821724,8.095773048,171.5685796,28.4660089,74.25119322,1.70758932,203933999.6,8.265565861,6.389673872,0.797275938,18.64560301,22.44667981,2.5129617343454247,78247000.0,1.1918367394776723,5,38,2,Moderate,3,3,4,2,5,2,1,2,2,3,4,3,3,1,2
571274,SANGWIN CONCRETE PRODUCTS LIMITED,2017,manufacture of other non-metallic mineral products,-17.68662461,0.48635553600000003,-1.766244481,-201.005585,-64.53517338,27.92338967,134.7289264,407438.8522,46.38693915,-24.53130446,-2.369003888,16.29612573,38.01230117,-2.5495425945563803,-104907.0,-0.7845656501159235,0,25,1,Need_more_analysis,2,0,0,0,4,5,3,4,0,0,4,3,0,0,0
580634,SMITHS CONCRETE LIMITED,2017,manufacture of other non-metallic mineral products,1.352734638,3.4878043360000004,2.967333575,14.55585026,72.94636074,17.52582448,43.41223658,7844629.727000001,1.9640922219999999,1.641280383,0.225311805,3.702390068,2.249982544,0.3708703078698349,777098.0,3.516875737628907,3,40,2,Moderate,5,2,3,4,3,4,5,1,2,2,2,1,2,4,3
591872,POTTERS-BALLOTINI LIMITED,2017,manufacture of other non-metallic mineral products,-6.407116153,0.458791047,-1.683924889,0.0,-41.98848945,13.38694083,73.47524816,7809999.869,19.74572904,-8.290933356,-3.381605085,14.41278845,19.74572904,-3.38160508541915,-382000.0,-0.03971596346759877,0,24,1,Need_more_analysis,2,0,0,0,3,5,5,3,0,0,4,2,0,0,0
610931,HINTON PERRY & DAVENHILL LIMITED,2017,manufacture of other non-metallic mineral products,19.159575399999998,7.775245085,0.855063617,1.650780696,87.77687933,22.62676616,71.42787139,8386424.8029999975,13.40294223,11.95889357,0.12274436,20.67023746,13.62419541,0.13925216713259805,1087036.0,6.290190930808415,5,45,3,Reasonable_performance,5,1,3,4,3,5,5,2,3,1,5,2,1,5,5
612157,E.WILTSHIRE & SON (TORQUAY) LIMITED,2017,manufacture of other non-metallic mineral products,17.80900768,3.325699563,1.950844095,1.662712594,85.66144164,39.44507952,37.237893799999995,2178861.777,11.9822444,10.43482683,0.15075925099999998,4.908953957,12.18147469,0.16738637697233835,592015.0,5.029712274602332,5,40,2,Moderate,5,2,3,4,4,3,3,2,3,1,3,2,1,4,5
632213,DUPRE MINERALS LIMITED,2017,manufacture of other non-metallic mineral products,10.95095372,0.905415995,-26.81163846,3.789532178,28.87219003,39.70112159,61.24985518,4724265.716,83.96300157,20.86869209,3.137968031,11.18953348,87.14480653,11.039678308842745,1633266.0,2.7312087899512965,5,48,4,Better_returns,2,0,3,2,4,4,4,4,4,4,4,4,4,5,3
641279,BRETT CONCRETE LIMITED,2017,manufacture of other non-metallic mineral products,-3.055730055,0.578419609,-9.061191298999999,-137.98761869999998,-143.0200121,13.33987705,47.10311406,6748999.9629999995,-27.492935,-8.193959812000001,-0.49474219799999997,0.96248766,5.7751017639999995,-1.6953111823241689,-118000.0,1.8241045729162118,0,18,1,Need_more_analysis,2,0,0,0,3,4,5,0,0,0,2,2,0,0,2
642173,PLASMOR LIMITED,2017,manufacture of other non-metallic mineral products,11.56997453,3.234048581,2.457279545,3.401444309,78.7193245,37.33861466,71.297783,44203735.48,14.877308600000001,12.05390715,0.24219847,9.477535742,15.38335196,0.2778457596492127,12550707.0,4.397464451503178,5,47,3,Reasonable_performance,5,2,3,4,4,5,5,2,3,2,3,2,2,5,4
642656,BOVINGDON BRICKWORKS LIMITED,2017,manufacture of other non-metallic mineral products,-61.9825365,0.34001136200000004,-1.789226119,-143.8199521,-132.798482,22.63204408,27.41183182,682887.9355,128.3092795,-170.3927755,-1.753020656,5.465387747,128.3092795,-1.7530206555846015,-1301481.0,-6.3759467967922205,0,22,1,Need_more_analysis,2,0,0,0,3,3,3,4,0,0,3,4,0,0,0
669540,F A FIRMAN (HAROLD WOOD) LIMITED,2017,manufacture of other non-metallic mineral products,8.223207592,2.512673612,3.627695254,12.11113996,67.52912821,27.81708975,54.38820981,3080567.892,14.479262599999998,10.96191314,0.359731055,1.9640998109999999,16.23286636,0.4808424548910181,817816.0,3.6684381648122417,4,42,2,Moderate,4,3,3,4,4,4,3,2,3,2,2,2,2,4,4
699040,"KETLEY BRICK COMPANY,LIMITED(THE)",2017,manufacture of other non-metallic mineral products,13.64013395,24.50730061,0.82267335,0.0,95.91958325,3.7262607439999997,95.38655831,3608646.8060000003,11.22137469,10.76349583,0.04253997599999999,21.68468649,11.22137469,0.042539975842165734,292261.0,16.437685486596642,5,40,2,Moderate,6,1,0,4,2,5,4,2,3,1,5,2,1,4,6
718683,MORRIS & PERRY (GURNEY SLADE QUARRIES) LIMITED,2017,manufacture of other non-metallic mineral products,15.61698775,3.447241473,2.516022232,3.9673554039999996,82.60376409999998,38.02597114,68.66452762,10526761.97,16.08731004,13.78164632,0.17393695399999998,0.486925958,16.7255508,0.2142558302121691,3427901.0,4.78192064629265,5,45,3,Reasonable_performance,5,2,3,4,4,5,5,2,3,1,2,2,2,5,4
755076,MILTON PIPES LIMITED,2017,manufacture of other non-metallic mineral products,3.8665173580000003,0.517436123,-4.003303453,-3235.1048539999997,-2.261115078,62.30780558,72.64964351,2267253.9869999997,3.067507892,2.1745050740000003,-12.87491809,0.6908963359999999,-96.16958884,-45.22596663816483,868301.0,0.6099726369108155,3,24,1,Need_more_analysis,2,0,0,0,5,5,3,1,2,0,2,0,0,4,2
