REGISTRATION_NUMBER,COMPANY_NAME,SIC_CODE,INDUSTRY_TYPE,INDUSTRY_CODE,DISSOLVED/REMOVED/LIVE,LIQUIDATION,ACCOUNTING_FROM_DATE,ACCOUNTING_TO_DATE,Year,WEEKS,MONTHS,CONSOLIDATED-ACCOUNTS,ACCOUNTS_FORMAT,TURNOVER,EXPORT,COST_OF_SALES,GROSS_PROFIT,WAGES_AND_SALARIES,OPERATING_PROFITS,DEPRECIATION,INTEREST_PAYMENTS,PRETAX_PROFITS,TAXATION,PROFIT_AFTER_TAX,DIVIDENDS_PAYABLE,RETAINED_PROFITS,TANGIBLE_ASSETS,INTANGIBLE_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_CURRENT_ASSETS,TRADE_DEBTORS,STOCK,CASH,OTHER_CURRENT_ASSETS,INCREASE_IN_CASH,MISCELANEOUS_CURRENT_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,TRADE_CREDITORS,BANK_OVERDRAFT,OTHER_SHORTTERM_FIN,MISC_CURRENT_LIABILITIES,OTHER_LONGTERM_FIN,TOTAL_LONGTERM_LIAB,BANK_OD_LTL,TOTAL_LIAB,NET_ASSETS,WORKING_CAPITAL,PAIDUP_EQUITY,SHAREHOLDER_FUNDS,P&L_ACCOUNT_RESERVE,SUNDRY_RESERVES,REVALUATION_RESERVE,NETWORTH,NET_CASHFLOW_FROM_OPERATIONS,NET_CASHFLOW_BEFOR_FINANCING,NET_CASHFLOW_FROM_FINANCING,CONTINGENT_LIAB,CAPITAL_EMPLOYED,EMPLOYEES_COUNT,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,Z1,Z2,Z3,Z4,Z5
15793,JOSEPH AND JESSE SIDDONS LIMITED,24510,manufacture of basic metals,8,L,N/A,02/07/2015,30/06/2016,2016,52,12,Y,1,5052867.0,1249691.0,3855650.0,1197217.0,2311994.0,646065.0,183553.0,447.0,660458.0,-118676.0,541782.0,315388.0,226394.0,9714626,0.0,9714626.0,4107712.0,1271194.0,288577.0,2444751.0,103190.0,285774.0,0.0,13822338.0,1162299.0,400731.0,0,0.0,761568.0,12760.0,857836.0,857836,2020135.0,11802203,2945413.0,85240.0,11802203,8987360.0,2729603.0,11802203.0,1102475.0,285774,0.0,0.0,12660039,80.0,1,13.07095556,3.5341267610000004,1.715503734,7.268439628999999,85.38499782,28.94729171,91.82624637,4107711.752,5.216871765,4.778193096,0.098481529,5.711153688,5.59605694,0.1711659255479676,829618.0,4.343978704983641,0.25570895459219706,0.02293038992390433,0.1980663039783863,3.505370581669047,0.3619024748201064
36721,SPECIAL METALS WIGGIN LIMITED,24450,manufacture of basic metals,8,L,N/A,05/04/2015,03/04/2016,2016,52,12,N,1,115397000.0,0.0,96806000.0,18591000.0,25337000.0,0.0,0.0,1684000.0,1333000.0,-466000.0,867000.0,0.0,867000.0,30522000,3195000.0,33717000.0,130509000.0,4464000.0,41151000.0,945000.0,83949000.0,0.0,0.0,164226000.0,10914000.0,8487000.0,0,853000.0,1574000.0,61000.0,20627000.0,20627000,31541000.0,132685000,119595000.0,770000.0,129490000,80960000.0,0.0,132685000.0,0.0,0,0.0,851000.0,153312000,552.0,1,1.1551426809999998,11.95794393,0.964898198,15.54584166,82.39717818,26.84432871,14.1196045,130508996.2,0.8694687959999999,0.811686335,0.082254965,35.66037245,1.004635038,0.2435786547223724,0.0,4.040187387272871,0.8738811150487742,0.007391034306382667,0.0,2.4632700294854315,0.6956452084322824
50918,UNITED CAST BAR (UK) LIMITED,24100,manufacture of basic metals,8,L,N/A,02/12/2015,30/11/2016,2016,52,12,N,1,19673959.0,16635319.0,16969010.0,2704949.0,4511079.0,-62833.0,653798.0,97265.0,-506232.0,0.0,-506232.0,0.0,-506232.0,15493575,380713.0,15874288.0,10966826.0,1525200.0,5910805.0,310092.0,3220729.0,0.0,0.0,26841114.0,6247504.0,3044239.0,0,2322936.0,880329.0,3306927.0,3306927.0,3306927,9554431.0,17286683,4719322.0,8000000.0,16905970,9286683.0,0.0,17286683.0,0.0,0,0.0,1500000.0,20593610,110.0,1,-2.573106918,1.755393194,4.168810477,19.12991058,65.33038936,56.47807007,28.29618584,10966825.05,-2.458199412,-1.886032003,0.361405598,30.04380054,-2.928450762,0.5651513045391657,590965.0,2.044552704707476,0.21098924582638406,-0.026404448041910628,0.0726566155190131,1.0616625940362119,0.7256486973677769
88330,RICAL LIMITED,24540,manufacture of basic metals,8,L,N/A,02/09/2015,31/08/2016,2016,52,12,Y,1,21250000.0,0.0,18186000.0,3064000.0,7280000.0,-1216000.0,527000.0,289000.0,-1505000.0,168000.0,-1337000.0,3000000.0,-4337000.0,10658000,0.0,10658000.0,8476000.0,4143000.0,3054000.0,530000.0,749000.0,-1239000.0,0.0,19134000.0,6352000.0,3168000.0,1950000,141000.0,1093000.0,365000.0,12556000.0,14506000,18908000.0,226000,2124000.0,348000.0,226000,-286000.0,0.0,226000.0,180000.0,-3101000,1862000.0,0.0,12782000,290.0,1,-7.082352941,1.334382872,10.004708099999998,6418.584071,1.181143514,54.41505882,71.16211765,8475999.519,-11.77437021,-7.865579597000001,28.10619469,14.37176471,-665.9292035,83.6637168141593,-689000.0,0.8037013052302413,0.13320790216368766,-0.3173304066060416,-0.11883035434305425,0.00717156759043791,1.0994825964252115
91580,CASTINGS PUBLIC LIMITED COMPANY,24510,manufacture of basic metals,8,L,N/A,02/04/2015,31/03/2016,2016,52,12,Y,2,132448000.0,0.0,98431000.0,34017000.0,42866000.0,19490000.0,6853000.0,0.0,19676000.0,-3489000.0,16187000.0,5873000.0,10314000.0,70685000,0.0,70685000.0,82424000.0,23391000.0,11992000.0,30385000.0,6656000.0,10364000.0,10000000.0,153109000.0,18798000.0,9592000.0,0,0.0,9206000.0,0.0,4378000.0,4378000,23176000.0,129933000,63626000.0,4363000.0,129933000,124683000.0,0.0,129933000.0,24736000.0,16237000,-5873000.0,0.0,134311000,1135.0,1,14.85564146,4.384721779,2.081664728,3.369428859,84.86307141,26.43361923,64.46088276,82423999.36,14.64958194,12.85097545,0.144674563,9.054119352999999,15.14318918,0.1783688516389216,26343000.0,5.3809816959214825,0.4986721877877852,0.09430928292915504,0.567777857604713,3.3638160165688644,0.8564063510309649
95908,BEKAERT BRADFORD UK LIMITED,24310,manufacture of basic metals,8,L,N/A,02/01/2016,31/12/2016,2016,52,12,N,1,16980457.0,9677933.0,15860835.0,1119622.0,4617185.0,-753046.0,801077.0,201.0,-753247.0,133930.0,-619317.0,0.0,-619317.0,4786269,0.0,4786269.0,8757928.0,2990161.0,1665765.0,3113329.0,988673.0,0.0,0.0,13544197.0,3033464.0,2347503.0,0,273208.0,412753.0,0.0,383764.0,383764,3417228.0,10126969,5724464.0,2095271.0,10126969,8031698.0,0.0,10126969.0,0.0,0,0.0,0.0,10510733,107.0,1,-4.435964238,2.887104643,2.9662964080000003,3.789524783,74.76979994,50.46027884,64.27440469,8757927.451,-7.16645547,-5.561400207,0.299543131,9.809894987,-7.438030076,0.3374383786501173,48031.0,3.4741400531778845,0.5071808096116736,-0.0640158881327553,0.011702598537218558,1.7781024268793302,1.2411701062824174
112453,NEWBY FOUNDRIES LIMITED,24450,manufacture of basic metals,8,L,N/A,02/01/2016,31/12/2016,2016,52,12,N,1,9859775.0,4584777.0,8086728.0,1773047.0,2945426.0,770272.0,57753.0,0.0,785080.0,-44960.0,740120.0,0.0,740120.0,178485,0.0,178485.0,4037851.0,1891675.0,1888282.0,165492.0,92402.0,0.0,0.0,4216336.0,2895555.0,1890141.0,0,485679.0,519735.0,217200.0,239517.0,239517,3135072.0,1081264,1142296.0,6605.0,1081264,1074454.0,0.0,1081264.0,0.0,0,0.0,0.0,1320781,128.0,1,7.962453504,1.394499845,8.631541212,22.15157445,25.64463553,69.97131933,70.02810663,4037850.348,59.44058856,18.61995818,2.677935268,19.15137009,72.60761479,2.8994510128886186,828025.0,3.740947946441133,0.32510577904607224,0.2457508130281837,0.6480703862310783,0.20693572587806594,2.3150852422577333
115131,FRANCIS W BIRKETT & SONS LIMITED,24530,manufacture of basic metals,8,L,N/A,02/07/2015,30/06/2016,2016,52,12,N,1,3152262.0,426809.0,2500816.0,651446.0,888611.0,15078.0,72259.0,512.0,14566.0,-5996.0,8570.0,0.0,8570.0,1341177,1613.0,1342790.0,3944103.0,552264.0,526684.0,412.0,2864743.0,-1528112.0,0.0,5286893.0,1814891.0,173528.0,1205795,205255.0,230313.0,46200.0,59058.0,1264853,1873949.0,3412944,2129212.0,2400000.0,3411331,415547.0,597397.0,3412944.0,-1465467.0,-1523912,-4200.0,0.0,3472002,52.0,1,0.46208088,2.173190015,1.48048292,37.06046744,64.57451639,20.09278417,63.94657551,3944102.71,0.419527408,0.275511534,0.531767002,16.70812896,0.4267869620000001,0.5493307450962689,87337.0,2.222581417995517,0.4832808986298758,0.002269385818854287,0.05451445678964942,1.0922381558943173,0.5902785208628205
137114,VALE EUROPE LIMITED,24450,manufacture of basic metals,8,L,N/A,02/01/2016,31/12/2016,2016,52,12,N,1,119527000.0,0.0,110412000.0,9115000.0,18002000.0,7542000.0,8551000.0,6532000.0,-7615000.0,-4486000.0,-12101000.0,0.0,-12101000.0,113309000,0.0,113309000.0,146451000.0,222000.0,3964000.0,26071000.0,116194000.0,0.0,0.0,259760000.0,10028000.0,4583000.0,0,231000.0,5214000.0,0.0,231974000.0,231974000,242002000.0,17758000,136423000.0,35500000.0,17758000,-50135000.0,0.0,17758000.0,0.0,0,0.0,0.0,249732000,309.0,1,-6.370945477,14.60420822,0.8761499159999999,1306.307017,6.83631044,13.99512244,0.677922143,146450999.6,-3.049268816,-2.931552202,0.564703232,3.316405498,-42.88208132,13.627773397905171,16093000.0,1.2690232311502885,0.6302263627964274,-0.06521943332306744,0.20444602710194024,0.04402773530797266,0.4555425392670157
139599,WIELAND METALS BIRMINGHAM LTD.,24440,manufacture of basic metals,8,L,N/A,02/10/2015,30/09/2016,2016,52,12,N,1,65448271.0,49719673.0,58127762.0,7320509.0,6537000.0,2273436.0,1878628.0,384059.0,1896554.0,-223431.0,1673123.0,450000.0,1223123.0,19055918,0.0,19055918.0,19301509.0,4840636.0,10785407.0,549263.0,3126203.0,0.0,0.0,38357427.0,10078515.0,3313650.0,3994897,1605528.0,1164440.0,6752929.0,7902702.0,11897599,17981217.0,20376210,9222994.0,10572332.0,20376210,9803878.0,0.0,20376210.0,0.0,0,0.0,0.0,28278912,167.0,1,2.897790837,1.915114379,7.096206611,58.38965637,53.12194168,18.47997253,26.99585662,19301507.93,6.706601725,4.944424453,0.494621669,16.47928484,9.30768774,0.8824613115000287,4152064.0,3.059522520397027,0.28853845697210084,0.044642519947962096,0.3572140331519109,0.6799164928602998,1.6892110174647532
