REGISTRATION_NUMBER,COMPANY_NAME,SIC_CODE,INDUSTRY_TYPE,INDUSTRY_CODE,DISSOLVED/REMOVED/LIVE,LIQUIDATION,ACCOUNTING_FROM_DATE,ACCOUNTING_TO_DATE,Year,WEEKS,MONTHS,CONSOLIDATED-ACCOUNTS,ACCOUNTS_FORMAT,TURNOVER,EXPORT,COST_OF_SALES,GROSS_PROFIT,WAGES_AND_SALARIES,OPERATING_PROFITS,DEPRECIATION,INTEREST_PAYMENTS,PRETAX_PROFITS,TAXATION,PROFIT_AFTER_TAX,DIVIDENDS_PAYABLE,RETAINED_PROFITS,TANGIBLE_ASSETS,INTANGIBLE_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_CURRENT_ASSETS,TRADE_DEBTORS,STOCK,CASH,OTHER_CURRENT_ASSETS,INCREASE_IN_CASH,MISCELANEOUS_CURRENT_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,TRADE_CREDITORS,BANK_OVERDRAFT,OTHER_SHORTTERM_FIN,MISC_CURRENT_LIABILITIES,OTHER_LONGTERM_FIN,TOTAL_LONGTERM_LIAB,BANK_OD_LTL,TOTAL_LIAB,NET_ASSETS,WORKING_CAPITAL,PAIDUP_EQUITY,SHAREHOLDER_FUNDS,P&L_ACCOUNT_RESERVE,SUNDRY_RESERVES,REVALUATION_RESERVE,NETWORTH,NET_CASHFLOW_FROM_OPERATIONS,NET_CASHFLOW_BEFOR_FINANCING,NET_CASHFLOW_FROM_FINANCING,CONTINGENT_LIAB,CAPITAL_EMPLOYED,EMPLOYEES_COUNT,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,Z1,Z2,Z3,Z4,Z5
70960,MONCKTON COKE & CHEMICAL COMPANY LIMITED(THE),19100,manufacture of coke and refined petroleum products,20,L,N/A,02/06/2015,31/05/2016,2016,52,12,N,1,71000.0,0.0,145000.0,-74000.0,77000.0,-301000.0,0.0,0.0,-301000.0,668000.0,367000.0,0.0,367000.0,769000,0.0,769000.0,23957000.0,194000.0,0.0,0.0,23763000.0,0.0,0.0,24726000.0,32957000.0,280000.0,10000,31968000.0,699000.0,0.0,179000.0,189000,33136000.0,-8410000,-9000000.0,17000.0,-8410000,-8788000.0,0.0,-8410000.0,0.0,0,0.0,0.0,-8231000,20.0,7,-423.943662,0.726916892,-0.007888889,-2.247324614,-34.01278007,1439.43662,997.3239437,23957000.0,3.656906816,-1.217342069,-3.918787158,0.0,3.579072533,-3.9400713436385257,-301000.0,-0.6056184797451531,-0.4367871875758311,0.02077974601633908,-0.0401722882795438,-0.15228150651859004,0.002842756612472701
72349,"R.S.CLARE & CO.,LIMITED",19209,manufacture of coke and refined petroleum products,20,L,N/A,02/01/2016,31/12/2016,2016,52,12,Y,1,28458854.0,0.0,20461651.0,7997203.0,8239229.0,3751469.0,1016423.0,52993.0,3776296.0,-687198.0,3089098.0,600000.0,2226568.0,8149886,77052.0,8226938.0,13603564.0,4784302.0,2822338.0,5433445.0,563479.0,1148872.0,0.0,21830502.0,4277057.0,1696116.0,0,459564.0,2121377.0,1337262.0,2519381.0,2519381,6796438.0,15034064,9326507.0,250000.0,14957012,14275968.0,338246.0,15034064.0,4039253.0,1835057,-686185.0,0.0,17553445,176.0,1,13.26931857,3.1805898310000003,3.051394697,16.75781745,69.11117087,21.75359345,61.36122804,13603563.34,21.51313318,17.29825544,0.284491073,9.917258087999999,25.11826476,0.4543981110665686,4767892.0,3.987215652821632,0.5126683939746324,0.14279081626249365,0.7207366830135193,1.3204280242091522,1.2905917353618346
90220,GOODALL BATES & TODD LIMITED,19209,manufacture of coke and refined petroleum products,20,L,N/A,02/08/2015,31/07/2016,2016,52,12,N,1,9635000.0,230000.0,5405000.0,4230000.0,1719000.0,671000.0,211000.0,5000.0,672000.0,-161000.0,511000.0,0.0,511000.0,1350000,0.0,1350000.0,3587000.0,1724000.0,1041000.0,741000.0,81000.0,0.0,0.0,4937000.0,1449000.0,579000.0,0,334000.0,536000.0,23000.0,537000.0,537000,1986000.0,2951000,2138000.0,20000.0,2951000,2912000.0,0.0,2951000.0,0.0,0,0.0,0.0,3488000,45.0,1,6.974571873,2.475500345,4.506548176,18.19722128,59.77314158,21.93409445,65.30980799,3586999.282,19.26605505,13.61150496,0.491019993,10.80435911,22.77194171,0.6729922060318536,882000.0,4.0777368559866405,0.519667814462224,0.14490581324691107,0.5895483086894875,0.8915407854984895,1.932074134089528
97216,LUBRICANTS UK LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,02/01/2016,31/12/2016,2016,52,12,N,1,219483000.0,72985000.0,75323000.0,144160000.0,133466000.0,10143000.0,3519000.0,50000.0,9075000.0,246000.0,9321000.0,0.0,9321000.0,26907000,24168000.0,51075000.0,317731000.0,19781000.0,12463000.0,1457000.0,275310000.0,0.0,8720000.0,368806000.0,187268000.0,41312000.0,0,113698000.0,32258000.0,0.0,34284000.0,34284000,221552000.0,147254000,130463000.0,750000000.0,123086000,-659407000.0,0.0,147254000.0,0.0,0,0.0,0.0,181538000,720.0,1,4.134716584,1.696664673,1.682339054,23.28221984,42.72715139,68.70181290000001,32.89578236,317730999.9,4.998953387,2.460643265,1.271734554,5.678344109,6.162820704,1.7999772516776888,13662000.0,1.5046248081766709,0.4244930939301422,0.035382829997342775,0.12224475740633288,0.3333375460388532,0.589166580804
136293,SHELL THAILAND MANUFACTURING LIMITED,19201,manufacture of coke and refined petroleum products,20,L,L,02/01/2016,31/12/2016,2016,52,12,N,1,1421681.34,0.0,0.0,1421681.34,0.0,0.0,1285.21,0.0,1622291.7,-483100.59,1139191.1,1114631.82,24559.28,0,0.0,0.0,3873450.73,0.0,0.0,0.0,3872843.17,0.0,607.55,3873450.73,1334520.4,0.0,0,1114631.82,219889.0,0.0,276508.14,276508,1611028.54,2262422,2538930.33,995457.34,2262422,1266964.83,0.0,2262422.18,0.0,0,0.0,0.0,2538930,0.0,1,114.1107824,2.902503948,0.559952876,12.22176844,58.40844089,0.0,0.0,3873450.73,63.89666907,41.8823373,0.589863559,0.0,71.70597263,0.7120813623629898,1285.21,2.002497659331691,0.7865638698855993,0.008876579152976601,0.001094939188757927,0.8426003427599116,0.3633619283444455
137671,MILLERS OILS LIMITED,19209,manufacture of coke and refined petroleum products,20,L,N/A,02/04/2015,31/03/2016,2016,52,12,N,1,19602086.0,3284468.0,12692063.0,6910023.0,4009076.0,961399.0,327038.0,73819.0,887580.0,-94995.0,792585.0,7970.0,784615.0,3927655,272066.0,4199721.0,6199072.0,3114231.0,2783073.0,7128.0,294640.0,1603703.0,0.0,10398793.0,4286544.0,2175500.0,1044954,126064.0,940026.0,36697.0,959197.0,2004151,5245741.0,5153052,1912528.0,24820.0,4880986,5530232.0,0.0,5153052.0,2107648.0,1820277,-216574.0,0.0,6112249,106.0,1,4.527987481,1.446170155,10.24930668,38.89250487,50.88566128,40.50882646,57.98843628,6199071.351,14.52133249,8.535413677000001,0.831845671,14.19784098,17.22435559,1.0747297779587976,1288437.0,3.159678112372465,0.22070192184804524,0.10563350958135236,0.4088784246402443,0.5582798693263735,1.86618438697645
360850,IRONSIDES LUBRICANTS LIMITED(THE),19201,manufacture of coke and refined petroleum products,20,L,N/A,02/07/2015,30/06/2016,2016,52,12,N,1,10112246.0,0.0,7353136.0,2759110.0,2183845.0,1299311.0,210620.0,0.0,1299311.0,-239891.0,1059420.0,1000000.0,59420.0,1688107,0.0,1688107.0,4844520.0,1466762.0,836203.0,2413225.0,128330.0,144623.0,0.0,6532627.0,1966565.0,1092886.0,0,100.0,873579.0,0.0,211837.0,211837,2178402.0,4354225,2877955.0,2000.0,4354225,4352225.0,0.0,4354225.0,1540997.0,144623,0.0,0.0,4566062,50.0,1,12.84888639,2.463442602,3.513691493,4.865090803,66.65350708,39.44755596,52.94255401,4844519.575,28.4558335,19.88956357,0.451645241,8.26921141,29.84023563,0.5002961491424995,1509931.0,4.035917230841385,0.5286611343338599,0.012734233869467823,0.7627516923896006,1.1992896627895129,1.5324805074589445
446915,BP OIL UK LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,02/01/2016,31/12/2016,2016,52,12,N,1,3030000000.0,0.0,2517000000.0,513000000.0,46000000.0,100000000.0,44000000.0,0.0,100000000.0,7000000.0,107000000.0,0.0,107000000.0,500000000,0.0,500000000.0,887000000.0,298000000.0,111000000.0,75000000.0,391000000.0,0.0,12000000.0,1387000000.0,679000000.0,419000000.0,0,82000000.0,178000000.0,0.0,13000000.0,13000000,692000000.0,695000000,208000000.0,350000000.0,695000000,325000000.0,0.0,695000000.0,0.0,0,0.0,0.0,708000000,560.0,1,3.3003300330000003,1.306332842,14.56730769,1.870503597,50.10814708,50.47359736,35.89768977,886999999.8,14.12429379,7.209805335,0.976978417,3.663366337,14.38848921,0.99568345323741,144000000.0,3.395896037107576,0.17995674116798846,0.10800288392213407,0.3426099495313626,0.6026011560693642,2.1627253064167267
529086,PHILLIPS 66 LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,02/01/2016,31/12/2016,2016,52,12,N,1,8007360270.0,5356129725.0,7610212374.0,397147895.4,115770911.6,269876562.1,72836003.98,3066779.11,266809783.0,-73602698.76,193207084.3,429349076.1,-236141991.9,1812466457,0.0,1812466457.0,1781031971.0,746760714.6,440849497.8,427048991.8,166372767.0,0.0,0.0,3593498428.0,1015103887.0,366480104.3,0,92003373.45,556620409.0,92770068.23,200874032.0,200874032,1215977919.0,2377520509,765928084.0,1533389.55,2377520509,1948171433.0,0.0,2377520509.0,0.0,0,0.0,0.0,2578394541,1042.0,1,3.332056683,1.7545317219999998,10.45445445,8.448887454,66.16172392,16.70528533,34.03963998,1781031971.0,10.34790366,7.424791977999999,0.426959045,5.505553428,11.22218639,0.5114479199640839,342712566.08000004,3.857641788623632,0.25577128227979845,-0.0919991465931984,0.3147215702814272,1.1731399749208768,2.206008107734728
553535,TOTAL UK LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,02/01/2016,31/12/2016,2016,52,12,N,1,504000000.0,225000000.0,0.0,0.0,8000000.0,39000000.0,0.0,25000000.0,41000000.0,-9000000.0,32000000.0,0.0,32000000.0,51000000,0.0,51000000.0,170000000.0,28000000.0,39000000.0,46000000.0,57000000.0,0.0,0.0,221000000.0,79000000.0,30000000.0,0,43000000.0,6000000.0,11000000.0,132000000.0,132000000,211000000.0,10000000,91000000.0,43000000.0,10000000,-33000000.0,0.0,10000000.0,0.0,0,0.0,0.0,142000000,135.0,1,8.134920635,2.151898734,5.538461538,1320.0,4.524886878,21.72619048,20.27777778,169999999.5,28.87323944,18.5520362,7.9,7.738095238,410.0,21.1,39000000.0,3.5653590958804227,0.4941176470588235,0.20271493212669686,0.5823529411764706,0.02843601895734597,2.2577375565610858
