REGISTRATION_NUMBER,COMPANY_NAME,SIC_CODE,INDUSTRY_TYPE,INDUSTRY_CODE,DISSOLVED/REMOVED/LIVE,LIQUIDATION,ACCOUNTING_FROM_DATE,ACCOUNTING_TO_DATE,Year,WEEKS,MONTHS,CONSOLIDATED-ACCOUNTS,ACCOUNTS_FORMAT,TURNOVER,EXPORT,COST_OF_SALES,GROSS_PROFIT,WAGES_AND_SALARIES,OPERATING_PROFITS,DEPRECIATION,INTEREST_PAYMENTS,PRETAX_PROFITS,TAXATION,PROFIT_AFTER_TAX,DIVIDENDS_PAYABLE,RETAINED_PROFITS,TANGIBLE_ASSETS,INTANGIBLE_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_CURRENT_ASSETS,TRADE_DEBTORS,STOCK,CASH,OTHER_CURRENT_ASSETS,INCREASE_IN_CASH,MISCELANEOUS_CURRENT_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,TRADE_CREDITORS,BANK_OVERDRAFT,OTHER_SHORTTERM_FIN,MISC_CURRENT_LIABILITIES,OTHER_LONGTERM_FIN,TOTAL_LONGTERM_LIAB,BANK_OD_LTL,TOTAL_LIAB,NET_ASSETS,WORKING_CAPITAL,PAIDUP_EQUITY,SHAREHOLDER_FUNDS,P&L_ACCOUNT_RESERVE,SUNDRY_RESERVES,REVALUATION_RESERVE,NETWORTH,NET_CASHFLOW_FROM_OPERATIONS,NET_CASHFLOW_BEFOR_FINANCING,NET_CASHFLOW_FROM_FINANCING,CONTINGENT_LIAB,CAPITAL_EMPLOYED,EMPLOYEES_COUNT,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,Z1,Z2,Z3,Z4,Z5
43081,LOAKE BROTHERS LIMITED,15200,manufacture of leather and related products,16,L,N/A,28/12/2012,28/02/2014,2014,61,14,N,1,26796607.0,7400051.0,0.0,0.0,5206413.0,4342270.0,194076.0,53437.0,4411484.0,-1017712.0,3393772.0,200082.0,3193690.0,1703679,0.0,1703679.0,15327872.0,3173419.0,5682504.0,702530.0,177066.0,48128.0,5592353.0,17031551.0,2019385.0,1179240.0,0,0.0,840145.0,0.0,0.0,291438,2310823.0,14720728,13308487.0,141410.0,14720728,14252853.0,234807.0,14720728.0,2449634.0,48128,0.0,0.0,15012166,139.0,1,16.46284546,7.5903663739999985,2.013497627,1.979779804,86.43210474,16.06257837,43.22554475,15327869.19,29.38605928,25.9018336,0.137179697,21.20605792,29.96783855,0.15697749459130012,4536346.0,7.458979786924941,0.9376823285207554,0.2625225383172677,0.8789535257241106,3.822203950713664,1.5576174436491426
80604,"CHARLES F.STEAD & COMPANY,LIMITED",15110,manufacture of leather and related products,16,L,N/A,01/01/2014,31/12/2014,2014,52,12,N,1,10660914.0,0.0,0.0,0.0,2612674.0,824083.0,198902.0,0.0,685445.0,-50417.0,635028.0,127800.0,507228.0,1515697,0.0,1515697.0,8875503.0,1363819.0,4047093.0,2784559.0,680032.0,-1021071.0,0.0,10391200.0,2089376.0,319880.0,0,1175115.0,594381.0,0.0,0.0,222000,2311376.0,8079824,6786127.0,106500.0,8079824,7908224.0,0.0,8079824.0,-241740.0,-1018895,-2176.0,0.0,8301824,73.0,1,6.429514392000001,4.247920432,1.570986514,2.747584601,77.75640927,10.95180019,46.69336372,8875501.063,8.256559041000001,6.596398876,0.258591771,37.96197024,8.483414985,0.2860676173144365,1022985.0,4.289994849203762,0.7836777658018323,0.06833851720686734,0.32487590461159443,2.0974062203639736,1.0156964412194935
102384,PITTARDS PLC.,15110,manufacture of leather and related products,16,L,N/A,01/01/2014,31/12/2014,2014,52,12,Y,2,34729000.0,31707000.0,27696000.0,7033000.0,7675000.0,1971000.0,407000.0,427000.0,1589000.0,-479000.0,1110000.0,0.0,1115000.0,8198000,187000.0,8385000.0,23385000.0,4186000.0,17796000.0,529000.0,710000.0,-162000.0,164000.0,31770000.0,12209000.0,3458000.0,1722000,5155000.0,1874000.0,30000.0,0.0,3147000,13634000.0,18136000,11176000.0,4631000.0,17949000,8607000.0,1668000.0,18136000.0,142000.0,-500000,338000.0,0.0,19561000,1685.0,1,4.575426877,1.915390286,3.107462419,17.35222761,57.42329734,36.34340177,43.99464425,23384998.54,8.123306579,5.001573812,0.673191442,51.24247747,8.76157918,0.7595966349100228,2378000.0,2.5903748159365145,0.4221340887629839,0.04913440352533837,0.2470066100094429,0.7898929147718937,1.0822067988668551
133893,BARKER SHOES LIMITED,15200,manufacture of leather and related products,16,L,N/A,01/04/2013,31/03/2014,2014,52,12,N,1,20598818.0,0.0,14205053.0,6393765.0,4301235.0,691384.0,139965.0,100690.0,592111.0,-130604.0,461507.0,0.0,461507.0,3543757,1.0,3543758.0,10197367.0,3085633.0,6101061.0,32551.0,978122.0,167212.0,0.0,13741125.0,6715535.0,3408254.0,520635,17241.0,2769405.0,1397116.0,0.0,1917751,8112651.0,5628474,3481832.0,48568.0,5628473,3818453.0,1667429.0,5628474.0,342500.0,24757,142455.0,0.0,7025590,184.0,1,2.874490177,1.518474254,5.916086129,34.07230805,40.96079768,60.39243174,54.67576076,10197366.09,8.427918509,4.30904311,1.193136008,29.61850044,10.51992067,1.4413591395037342,831349.0,2.4510845800401517,0.30406523483339243,0.04702015300785052,0.19965262669541248,0.4162737679705438,1.484072797532953
211135,CHURCH & CO LIMITED,15200,manufacture of leather and related products,16,L,N/A,01/02/2013,31/01/2014,2014,52,12,N,1,36309791.0,26080245.0,22891023.0,13418768.0,9512836.0,6146966.0,543244.0,740539.0,4650330.0,-1204435.0,3445895.0,0.0,3445895.0,23834465,325968.0,24160433.0,38314510.0,2189079.0,6251422.0,1148997.0,28725012.0,0.0,0.0,62474943.0,18971693.0,1028146.0,0,15989749.0,1953798.0,25700000.0,0.0,26700000,45671693.0,16803250,19342817.0,2810700.0,16477282,12344962.0,218317.0,16803250.0,0.0,0,0.0,0.0,43503250,387.0,1,12.80737198,2.019561986,1.87717182,158.8978323,27.03705089,10.33531947,22.005465,38314509.67,10.68961514,7.443512192999999,1.129049023,17.21690439,27.67518188,2.7717977394572717,6690210.0,1.5939785841754748,0.3715310376513669,0.07721900602614395,0.353384764192582,0.21646601101474386,0.5753777652906382
343139,SANDERS AND SANDERS LIMITED,15200,manufacture of leather and related products,16,L,N/A,01/03/2013,28/02/2014,2014,52,12,N,1,5973731.0,4372771.0,4441479.0,1532252.0,0.0,535244.0,21498.0,251.0,535286.0,-114890.0,420396.0,125280.0,295116.0,242678,0.0,242678.0,2490712.0,1038607.0,1401810.0,684.0,49611.0,0.0,0.0,2733390.0,1071117.0,615161.0,1169,0.0,454787.0,0.0,0.0,31207,1101155.0,1632235,1419595.0,20880.0,1632235,1581435.0,0.0,1632235.0,0.0,0,0.0,0.0,1662273,0.0,1,8.960664616,2.325340742,4.2080530010000015,1.911918321,59.71467665,37.58685569,63.45976325,2490710.691,32.20205105,19.58322815,0.656227198,23.46623911,32.79466498,0.6746301849917444,556742.0,4.4995154655637,0.6232239087726229,0.1511538419325453,0.6721501871302668,0.8893761550372109,2.163611372691054
351563,T.GROOCOCK & CO.(ROTHWELL)LIMITED,15200,manufacture of leather and related products,16,L,N/A,01/02/2013,31/01/2014,2014,52,12,N,1,6641920.0,774932.0,4904096.0,1737824.0,1178597.0,-117178.0,164378.0,404160.0,-88444.0,11554.0,-76890.0,0.0,-76890.0,2803600,0.0,2803600.0,5285123.0,733977.0,1517892.0,2617941.0,415313.0,579413.0,0.0,8088723.0,446753.0,52205.0,0,176447.0,218101.0,0.0,0.0,764800,1211553.0,6877170,4838370.0,77004.0,6877170,6721107.0,0.0,6877170.0,615607.0,579413,0.0,0.0,7641970,39.0,1,-1.33160291,11.83007837,1.372759834,11.12085349,85.02170244,2.868873007,40.33496414,5285119.602,-1.1573455540000002,-1.093423523,0.06496175,22.85321112,-1.286052257,0.17617028516090194,47200.0,4.942460859037835,0.7177948855462104,-0.013308157542296849,0.01925643887174774,3.405795701880149,0.8129219902820259
412669,IDEAL & W R S COMPANY LTD,15110,manufacture of leather and related products,16,L,N/A,01/09/2013,31/08/2014,2014,52,12,N,1,3590453.0,0.0,2910521.0,679932.0,0.0,269030.0,50206.0,1400.0,269030.0,-56000.0,213030.0,300000.0,-86970.0,362388,50000.0,412388.0,1211756.0,663891.0,383490.0,164375.0,0.0,0.0,0.0,1624144.0,875953.0,416174.0,16100,16590.0,427089.0,0.0,0.0,31395,891248.0,732896,335803.0,20000.0,682896,567200.0,145696.0,732896.0,0.0,0,0.0,0.0,748191,0.0,1,7.49292638,1.3833573259999998,10.69214093,4.283691001,46.55838348,42.30761689,67.49015096,1211755.562,35.95739591,16.56441793,1.195194134,10.68082495,36.70780029,1.305100630257023,319236.0,3.47007911026018,0.2481082958161345,-0.07496749056733885,0.6486363278132974,0.45973466420121,2.188567312996877
417612,ARNOLD WILLS AND COMPANY LIMITED,15120,manufacture of leather and related products,16,L,N/A,01/06/2013,31/05/2014,2014,52,12,Y,1,24600977.0,0.0,17209232.0,7391745.0,4660129.0,2420176.0,226327.0,2609.0,2540108.0,-550924.0,1989184.0,406114.0,1526652.0,6424703,150524.0,6575227.0,12551841.0,3821732.0,2782423.0,4032294.0,240441.0,638003.0,1674951.0,19127068.0,2206314.0,892642.0,0,0.0,1313672.0,0.0,0.0,134113,2340427.0,16786641,10345527.0,84607.0,16636117,16346738.0,246764.0,16786641.0,2020197.0,638003,0.0,500000.0,16920754,213.0,1,10.32523221,5.689054686,2.377933671,0.798926956,88.45994824,13.24395897,56.70230821,12551839.74,15.01178966,13.28017446,0.131432727,11.31021341,15.1317229,0.14068349002354336,2646503.0,6.755623309748576,0.6490609224581624,0.1117428348139924,0.4566021253231285,4.264892773839987,1.2733246533133045
451921,CROCKETT AND JONES LIMITED,15200,manufacture of leather and related products,16,L,N/A,01/03/2013,28/02/2014,2014,52,12,Y,1,26542000.0,14903000.0,0.0,0.0,10308000.0,3609000.0,402000.0,13000.0,3616000.0,-752000.0,2864000.0,352000.0,2471000.0,3372000,0.0,3372000.0,15195000.0,2237000.0,5562000.0,6987000.0,409000.0,1816000.0,0.0,18567000.0,2999000.0,927000.0,0,6000.0,2066000.0,26000.0,0.0,490000,3489000.0,15078000,12196000.0,122000.0,15078000,14055000.0,195000.0,15078000.0,3159000.0,1839000,-23000.0,0.0,15568000,377.0,1,13.62369075,5.0666888960000005,2.176287307,3.249767874,81.2085959,12.74790897,30.76275337,15194998.15,23.22713258,19.47541337,0.198899058,20.95546681,23.98196047,0.2313967369677676,4011000.0,5.695630370009457,0.7882371950234286,0.18631981472504985,0.7128938439166262,2.592949269131556,1.4152302472127969
