REGISTRATION_NUMBER,COMPANY_NAME,SIC_CODE,INDUSTRY_TYPE,INDUSTRY_CODE,DISSOLVED/REMOVED/LIVE,LIQUIDATION,ACCOUNTING_FROM_DATE,ACCOUNTING_TO_DATE,Year,WEEKS,MONTHS,CONSOLIDATED-ACCOUNTS,ACCOUNTS_FORMAT,TURNOVER,EXPORT,COST_OF_SALES,GROSS_PROFIT,WAGES_AND_SALARIES,OPERATING_PROFITS,DEPRECIATION,INTEREST_PAYMENTS,PRETAX_PROFITS,TAXATION,PROFIT_AFTER_TAX,DIVIDENDS_PAYABLE,RETAINED_PROFITS,TANGIBLE_ASSETS,INTANGIBLE_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_CURRENT_ASSETS,TRADE_DEBTORS,STOCK,CASH,OTHER_CURRENT_ASSETS,INCREASE_IN_CASH,MISCELANEOUS_CURRENT_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,TRADE_CREDITORS,BANK_OVERDRAFT,OTHER_SHORTTERM_FIN,MISC_CURRENT_LIABILITIES,OTHER_LONGTERM_FIN,TOTAL_LONGTERM_LIAB,BANK_OD_LTL,TOTAL_LIAB,NET_ASSETS,WORKING_CAPITAL,PAIDUP_EQUITY,SHAREHOLDER_FUNDS,P&L_ACCOUNT_RESERVE,SUNDRY_RESERVES,REVALUATION_RESERVE,NETWORTH,NET_CASHFLOW_FROM_OPERATIONS,NET_CASHFLOW_BEFOR_FINANCING,NET_CASHFLOW_FROM_FINANCING,CONTINGENT_LIAB,CAPITAL_EMPLOYED,EMPLOYEES_COUNT,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,Z1,Z2,Z3,Z4,Z5
43081,LOAKE BROTHERS LIMITED,15200,manufacture of leather and related products,16,L,N/A,26/02/2016,03/03/2017,2017,53,12,N,1,23237192.0,6499030.0,13918099.0,9319093.0,5139492.0,3975299.0,173487.0,67227.0,3967842.0,-749051.0,3218791.0,179406.0,3039385.0,1728882,57804.0,1786686.0,18396689.0,1971058.0,6718628.0,3239134.0,1661397.0,2725829.0,4806472.0,20183375.0,1790198.0,622596.0,0,125124.0,1042478.0,0.0,356435.0,356435,2146633.0,18036742,16606491.0,141410.0,17978938,17863742.0,0.0,18036742.0,2992896.0,2725829,0.0,0.0,18393177,146.0,1,17.07539362,10.27634318,1.39928369,1.976160661,89.62101995,9.779475076,30.96054678,18396685.25,21.57235805,19.65896189,0.099252847,28.91325251,21.99866251,0.11939709675844035,4148786.0,8.041529390661251,0.9873368155722222,0.2108239578365858,0.6783302495246707,5.0252478183275855,1.1397905494001872
80604,"CHARLES F.STEAD & COMPANY,LIMITED",15110,manufacture of leather and related products,16,L,N/A,01/01/2017,31/12/2017,2017,52,12,N,1,9784773.0,8528314.0,0.0,0.0,3019907.0,503459.0,165298.0,0.0,509065.0,0.0,509065.0,111825.0,397240.0,1929356,0.0,1929356.0,8513505.0,816382.0,4300355.0,2755321.0,641447.0,553680.0,0.0,10442861.0,582955.0,165212.0,0,9538.0,408205.0,0.0,198000.0,198000,780955.0,9661906,7930550.0,106500.0,9661906,9490306.0,0.0,9661906.0,690587.0,553680,0.0,0.0,9859906,69.0,1,5.202624527,14.60405177,1.233807617,2.0492851,92.52163751,6.162879812999999,30.453382,8513497.623,5.162980256,4.874765641000001,0.060335404,43.94946107,5.268784441,0.08082825479775936,668757.0,9.52665265410058,0.9113077345374988,0.05325513764858117,0.21133079335251131,7.4231467882272355,0.927612200334755
102384,PITTARDS PLC.,15110,manufacture of leather and related products,16,L,N/A,01/01/2017,31/12/2017,2017,52,12,Y,2,30287000.0,0.0,23194000.0,7093000.0,8378000.0,0.0,604000.0,0.0,413000.0,84000.0,497000.0,0.0,497000.0,12679000,209000.0,12888000.0,19691000.0,3991000.0,15332000.0,327000.0,0.0,977000.0,41000.0,32579000.0,9999000.0,3127000.0,3025000,2616000.0,1231000.0,159000.0,2816000.0,5841000,12815000.0,19764000,9692000.0,6944000.0,19555000,5432000.0,1813000.0,19764000.0,1735000.0,1037000,-60000.0,0.0,22580000,1647.0,1,1.363621356,1.96929693,3.124948411,29.55373406,61.05653383,37.68465018,48.09703833,19690998.47,1.829052259,1.267687774,0.505919854,50.62237924,2.089657964,0.6553311173612887,604000.0,2.2754476781472652,0.3569906995303723,0.021357316062494244,0.061180515055710726,0.9155676941084666,0.9203514533902208
133893,BARKER SHOES LIMITED,15200,manufacture of leather and related products,16,L,N/A,01/04/2016,31/03/2017,2017,52,12,N,1,19752752.0,5458403.0,13330746.0,6422006.0,4685719.0,390756.0,168491.0,71789.0,319833.0,-95111.0,224722.0,0.0,224722.0,3155071,1.0,3155072.0,9795167.0,3217455.0,6204445.0,16926.0,356341.0,-241439.0,0.0,12950239.0,5596028.0,2320505.0,842629,396550.0,2036344.0,0.0,704335.0,1546964,6300363.0,6649876,4199139.0,48568.0,6649875,4945716.0,1561568.0,6649876.0,568583.0,351258,-592697.0,80000.0,7354211,174.0,1,1.619181975,1.7503784830000002,4.704000511,23.26305032,51.3494501,42.8793074,59.45354222,9795165.891,4.348977749,2.469707316,0.841523661,31.41053459,4.80960848,0.9474408165567022,559247.0,2.6992172498892324,0.3891022242909957,0.024293821913248092,0.1425081884589157,0.6332849392963548,1.5100280759297182
211135,CHURCH & CO LIMITED,15200,manufacture of leather and related products,16,L,N/A,02/02/2016,31/01/2017,2017,52,12,N,1,42793045.0,32298206.0,28681062.0,14111983.0,10155270.0,6219063.0,501859.0,791973.0,7272587.0,-1398173.0,5874414.0,0.0,5874414.0,36990255,324968.0,37315223.0,54926455.0,4244901.0,9474988.0,4694412.0,36512154.0,0.0,0.0,92241678.0,41808984.0,1364046.0,1000000,37362805.0,2082133.0,25700000.0,27592002.0,28592002,69400986.0,22840692,13117471.0,2810700.0,22515724,18382404.0,218317.0,22840692.0,0.0,0,0.0,0.0,50432694,395.0,1,16.99478735,1.313747662,3.262293852,125.180104,24.84933588,11.63452589,36.20655798,54926454.77,14.42038175,7.884274395,1.830460478,22.14142041,31.84048452,3.082334194538892,6720922.0,1.1541946612430924,0.17064916360259622,0.08915904153434849,0.24044491688453454,0.19465767244286702,0.4592838667787462
211135,CHURCH & CO LIMITED,15200,manufacture of leather and related products,16,L,N/A,29/01/2017,31/12/2017,2017,48,11,N,1,30618783.0,21632387.0,25118533.0,5500250.0,9165952.0,-4090385.0,487494.0,624726.0,-24698488.0,1189022.0,-23509466.0,0.0,-23509466.0,43854962,358104.0,44213066.0,34534886.0,3313315.0,9615171.0,8055808.0,13550592.0,0.0,0.0,78747952.0,16081246.0,1026261.0,500000,12412288.0,2142697.0,0.0,1512211.0,2012211,17593457.0,61154495,18453640.0,2810700.0,60796391,-3086092.0,218317.0,61154495.0,0.0,0,0.0,0.0,62666706,365.0,1,-80.6644993,2.1475255090000003,1.659227285,3.290373013,78.01328432,12.23383911,39.49732342,34534885.4,-39.41245611,-31.36397503,0.26296098100000004,31.40285164,-40.38703615,0.28938324644961244,-3602891.0,2.170573382634449,0.2812056369415169,-0.4179569317561427,-0.15098221602004328,2.073375039368329,0.3849318541007898
343139,SANDERS AND SANDERS LIMITED,15200,manufacture of leather and related products,16,L,N/A,01/03/2016,28/02/2017,2017,52,12,N,1,3874152.0,0.0,2828460.0,1045692.0,0.0,190203.0,40949.0,0.0,191982.0,-44427.0,147555.0,37584.0,109971.0,302408,0.0,302408.0,2246059.0,909900.0,1075995.0,242163.0,18001.0,0.0,0.0,2548467.0,503060.0,176604.0,0,0.0,326456.0,0.0,45184.0,45184,548244.0,2000223,1742999.0,20880.0,2000223,1949423.0,0.0,2000223.0,0.0,0,0.0,0.0,2045407,0.0,1,4.95545864,4.464793464,2.222693186,2.258948127,78.48730237,16.63859859,85.72546973,2246056.861,9.386004839,7.533234686,0.251501958,27.77369086,9.59802982,0.2740914388045733,231152.0,4.8744964050112785,0.8207282260276473,0.0604125539000505,0.29931782518667105,2.1890504957646595,1.504987304132249
351563,T.GROOCOCK & CO.(ROTHWELL)LIMITED,15200,manufacture of leather and related products,16,L,N/A,02/02/2016,31/01/2017,2017,52,12,N,1,7095653.0,474422.0,4869668.0,2225985.0,1473595.0,-557231.0,153572.0,213.0,-552742.0,0.0,-552742.0,0.0,-552742.0,2746303,0.0,2746303.0,4912312.0,1210308.0,3327825.0,173084.0,201095.0,-706227.0,0.0,7658615.0,1013930.0,732097.0,0,0.0,281833.0,0.0,966000.0,966000,1979930.0,5678685,3898382.0,77004.0,5678685,5522622.0,0.0,5678685.0,-556374.0,-706227,0.0,0.0,6644685,67.0,1,-7.789867966,4.844823607,1.820153335,17.01098054,74.14767553,37.65902941,62.25817694,4912308.718,-8.318558367,-7.2172579510000014,0.17855014,46.89948903,-9.733626711,0.3486599450400929,-403659.0,2.9739523974127264,0.6108230274011685,-0.10104161130961667,-0.17393153984108092,1.72087447536024,0.9172280458020152
417612,ARNOLD WILLS AND COMPANY LIMITED,15120,manufacture of leather and related products,16,L,N/A,01/06/2016,31/05/2017,2017,52,12,Y,1,20759070.0,0.0,15040741.0,5718329.0,5445321.0,627353.0,221644.0,513.0,981308.0,-162279.0,819029.0,507642.0,285523.0,7929351,83009.0,8012360.0,15380050.0,2511808.0,3914642.0,6108353.0,170296.0,-26221.0,2674951.0,23392410.0,2200008.0,994302.0,0,0.0,1205706.0,0.0,261148.0,261148,2461156.0,20931254,13180042.0,84607.0,20848245,20738115.0,0.0,20931254.0,1312686.0,-26221,0.0,0.0,21192402,230.0,1,4.7271289130000005,6.990906397000001,1.5750382280000002,1.247646223,89.79747699,17.48248982,44.16430601,15380048.22,4.630470863999999,4.194984613,0.105106364,18.85750181,4.688242759,0.11805099182209343,848997.0,6.774078937346356,0.6761188949749085,0.017088115333135832,0.1197691943668908,5.082549419866113,0.8785533128053074
451921,CROCKETT AND JONES LIMITED,15200,manufacture of leather and related products,16,L,N/A,01/03/2016,28/02/2017,2017,52,12,Y,1,29376000.0,14450000.0,14950000.0,14426000.0,11090000.0,4822000.0,634000.0,20000.0,5278000.0,-757000.0,4521000.0,464000.0,3995000.0,6998000,0.0,6998000.0,20906000.0,2500000.0,8008000.0,9445000.0,953000.0,3611000.0,0.0,27904000.0,3324000.0,1046000.0,0,0.0,2278000.0,26000.0,617000.0,617000,3941000.0,23963000,17582000.0,122000.0,23963000,22958000.0,177000.0,23963000.0,5475000.0,3611000,0.0,0.0,24580000,399.0,1,17.96704793,6.289410349,1.670799681,2.574802821,85.87657683,12.99666394,31.06277233,20905997.59,21.47274207,18.91485092,0.138713851,27.26034858,22.02562284,0.1644618787297083,5456000.0,6.2922713234806285,0.7561066513761467,0.20043721330275227,0.6452408256880734,3.6482618624714536,1.042224770642202
