REGISTRATION_NUMBER,COMPANY_NAME,SIC_CODE,INDUSTRY_TYPE,INDUSTRY_CODE,DISSOLVED/REMOVED/LIVE,LIQUIDATION,ACCOUNTING_FROM_DATE,ACCOUNTING_TO_DATE,Year,WEEKS,MONTHS,CONSOLIDATED-ACCOUNTS,ACCOUNTS_FORMAT,TURNOVER,EXPORT,COST_OF_SALES,GROSS_PROFIT,WAGES_AND_SALARIES,OPERATING_PROFITS,DEPRECIATION,INTEREST_PAYMENTS,PRETAX_PROFITS,TAXATION,PROFIT_AFTER_TAX,DIVIDENDS_PAYABLE,RETAINED_PROFITS,TANGIBLE_ASSETS,INTANGIBLE_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_CURRENT_ASSETS,TRADE_DEBTORS,STOCK,CASH,OTHER_CURRENT_ASSETS,INCREASE_IN_CASH,MISCELANEOUS_CURRENT_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,TRADE_CREDITORS,BANK_OVERDRAFT,OTHER_SHORTTERM_FIN,MISC_CURRENT_LIABILITIES,OTHER_LONGTERM_FIN,TOTAL_LONGTERM_LIAB,BANK_OD_LTL,TOTAL_LIAB,NET_ASSETS,WORKING_CAPITAL,PAIDUP_EQUITY,SHAREHOLDER_FUNDS,P&L_ACCOUNT_RESERVE,SUNDRY_RESERVES,REVALUATION_RESERVE,NETWORTH,NET_CASHFLOW_FROM_OPERATIONS,NET_CASHFLOW_BEFOR_FINANCING,NET_CASHFLOW_FROM_FINANCING,CONTINGENT_LIAB,CAPITAL_EMPLOYED,EMPLOYEES_COUNT,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,Z1,Z2,Z3,Z4,Z5
70960,MONCKTON COKE & CHEMICAL COMPANY LIMITED(THE),19100,manufacture of coke and refined petroleum products,20,L,N/A,01/06/2016,31/05/2017,2017,52,12,N,1,148000.0,0.0,175000.0,-27000.0,65000.0,-159000.0,0.0,0.0,-159000.0,6000.0,-153000.0,0.0,-153000.0,1904000,0.0,1904000.0,10614000.0,116000.0,0.0,193000.0,10305000.0,0.0,0.0,12518000.0,21081000.0,79000.0,0,20647000.0,355000.0,0.0,0.0,0,21081000.0,-8563000,-10467000.0,17000.0,-8563000,-8941000.0,0.0,-8563000.0,0.0,0,0.0,39260000.0,-8563000,5.0,1,-107.4324324,0.503486552,-0.014139677,0.0,-68.40549609,194.8310811,286.0810811,10614000.0,1.856825879,-1.270170954,-2.46187084,0.0,1.856825879,-2.461870839658998,-159000.0,-1.2944264697145489,-1.0033871225435371,-0.017111359642115354,-0.04191564147627416,-0.2437170912195816,0.011704745166959579
72349,"R.S.CLARE & CO.,LIMITED",19209,manufacture of coke and refined petroleum products,20,L,N/A,01/01/2017,31/12/2017,2017,52,12,Y,1,33504207.0,0.0,23177827.0,10326380.0,8862748.0,5751968.0,1271439.0,51602.0,5771026.0,-904504.0,4866522.0,650000.0,3852448.0,7673739,31029.0,7704768.0,17405298.0,4526539.0,3303710.0,8612329.0,962720.0,3178884.0,0.0,25110066.0,3978899.0,1563577.0,0,513334.0,1901988.0,1174771.0,2505455.0,2505455,6484354.0,18625712,13426399.0,250000.0,18594683,17871708.0,338246.0,18625712.0,5708124.0,3812653,-633769.0,0.0,21131167,177.0,1,17.22478016,4.374400557,2.495397835,13.45159315,74.26805104,17.03384906,49.31281421,17405297.17,27.31049355,22.98291848,0.213623995,9.860582583,30.98419003,0.34872086821808146,7023407.0,4.820984400094701,0.6416422322426392,0.21479143862067107,0.9230259729305372,1.7205738304848872,1.3209509258159655
90220,GOODALL BATES & TODD LIMITED,19209,manufacture of coke and refined petroleum products,20,L,N/A,01/08/2016,31/07/2017,2017,52,12,N,1,9581000.0,142000.0,6072000.0,3509000.0,1701000.0,382000.0,265000.0,2000.0,380000.0,-112000.0,268000.0,0.0,268000.0,1425000,0.0,1425000.0,3445000.0,1719000.0,1438000.0,188000.0,100000.0,0.0,0.0,4870000.0,1576000.0,681000.0,0,467000.0,428000.0,0.0,75000.0,75000,1651000.0,3219000,1869000.0,20000.0,3219000,3180000.0,0.0,3219000.0,0.0,0,0.0,0.0,3294000,48.0,1,3.966183071,2.185913706,5.126270733,2.3299161230000003,66.09856263,25.94353408,65.48742302,3444999.088,11.53612629,7.802874742999999,0.489593041,15.00887173,11.80490836,0.512892202547375,647000.0,4.093509974043483,0.4605338809034907,0.07704312114989732,0.4384188911704312,1.1698364627498483,1.9476776180698152
97216,LUBRICANTS UK LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,01/01/2017,31/12/2017,2017,52,12,N,1,224534000.0,65468000.0,73397000.0,151137000.0,137974000.0,20334000.0,0.0,0.0,19645000.0,-409000.0,19236000.0,0.0,19236000.0,28461000,28160000.0,56621000.0,335877000.0,18873000.0,12483000.0,461000.0,294576000.0,0.0,9484000.0,392498000.0,185172000.0,41066000.0,0,108703000.0,35403000.0,0.0,33088000.0,33088000,218260000.0,174238000,150705000.0,750000000.0,146078000,-639327000.0,0.0,174238000.0,0.0,0,0.0,0.0,207326000,721.0,1,8.749231742000001,1.813864947,1.489890846,18.99011697,47.82317518,66.75643778,30.67974115,335876999.9,9.475415529,5.005121045,1.062753246,5.559514372000001,11.27480802,1.494133271266036,20334000.0,1.6682452366039298,0.4607564879311487,0.06861283369596788,0.17096189025167008,0.4015706038669477,0.5663434208581954
137671,MILLERS OILS LIMITED,19209,manufacture of coke and refined petroleum products,20,L,N/A,01/04/2016,31/03/2017,2017,52,12,Y,1,16462038.0,3964360.0,10191742.0,6270296.0,3937682.0,755882.0,336775.0,55797.0,700085.0,-106028.0,594057.0,95640.0,498417.0,3931946,173622.0,4105568.0,5961444.0,2544962.0,3078840.0,27949.0,309693.0,52153.0,0.0,10067012.0,3619164.0,1839110.0,1013622,26586.0,739846.0,10115.0,778615.0,1792237,4397779.0,5669233,2342280.0,22910.0,5495611,6026739.0,0.0,5669233.0,861296.0,273949,-221796.0,0.0,6447848,108.0,1,4.252723751,1.647188135,7.0282109739999985,31.61339462,57.30323984,40.77715955,56.42746846,5961443.149,10.85765359,6.9542481920000006,0.638386886,18.7026661,12.348848599999998,0.8002347691639746,1092657.0,3.0753663013457406,0.27920260748671005,0.06931389373530099,0.35817659698826226,0.7497799684795439,1.6188932346559235
360850,IRONSIDES LUBRICANTS LIMITED(THE),19201,manufacture of coke and refined petroleum products,20,L,N/A,01/07/2016,30/06/2017,2017,52,12,N,1,12528048.0,3646378.0,9665270.0,2862778.0,2240545.0,1353441.0,197104.0,0.0,1353558.0,-250276.0,1103282.0,1040000.0,63282.0,1644183,0.0,1644183.0,5317309.0,1818010.0,1075639.0,2256695.0,166965.0,-156530.0,0.0,6961492.0,2340627.0,1478537.0,0,100.0,861990.0,0.0,203358.0,203358,2543985.0,4417507,2976682.0,2000.0,4417507,4415507.0,0.0,4417507.0,1293364.0,-156530,0.0,0.0,4620865,50.0,1,10.80422106,2.271745562,4.208729048,4.603456203,63.45632517,43.07662335,52.96704243,5317308.54,29.29230783,19.44350435,0.529852471,8.585846734,30.64076639,0.5758870331161897,1550545.0,4.08434799072608,0.5131110399897033,0.012726409798359315,0.7350146347938057,1.0418710015978867,1.7816249045463244
446915,BP OIL UK LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,01/01/2017,31/12/2017,2017,52,12,N,1,3491000000.0,0.0,2966000000.0,525000000.0,32000000.0,114000000.0,44000000.0,1000000.0,115000000.0,5000000.0,120000000.0,0.0,120000000.0,515000000,0.0,515000000.0,995000000.0,297000000.0,111000000.0,25000000.0,545000000.0,0.0,17000000.0,1510000000.0,680000000.0,429000000.0,0,52000000.0,199000000.0,0.0,14000000.0,14000000,694000000.0,816000000,315000000.0,350000000.0,816000000,445000000.0,0.0,816000000.0,0.0,0,0.0,0.0,830000000,341.0,1,3.294185047,1.463235294,11.08253968,1.715686275,54.0397351,44.85391005,31.05270696,994999999.8,13.85542169,7.61589404,0.833333333,3.1796046980000003,14.09313725,0.8504901960784313,158000000.0,3.701164246044621,0.2503311258278146,0.11125827814569536,0.3452980132450331,0.7054755043227665,2.2888013245033108
529086,PHILLIPS 66 LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,01/01/2017,31/12/2017,2017,52,12,N,1,9645507007.0,6194558945.0,9238252267.0,407254740.3,124484748.6,477328936.5,79967023.9,5770816.15,472382522.7,-72547403.13,399835119.5,458367683.4,-58532563.89,2032976092,0.0,2032976092.0,2160758450.0,784830997.5,629843363.6,410552349.5,335531739.5,0.0,0.0,4193734542.0,1232481451.0,514427040.4,0,108821104.7,609233306.0,104699093.2,204451772.5,204451772,1436933223.0,2756801319,928276999.2,1648804.61,2756801319,2054410552.0,0.0,2756801319.0,0.0,0,0.0,0.0,2961253092,1018.0,1,4.897435897,1.753177258,10.39076377,7.4162679260000015,65.73619029,19.46666667,29.6991453,2160758450.0,15.95211581,11.26400629,0.447069378,6.52991453,17.13516746,0.5212320572747086,557295960.4,4.112707123770846,0.2656182426150329,-0.019540003933324786,0.4385295852424032,1.151118761069943,2.276980538776792
553535,TOTAL UK LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,01/01/2017,31/12/2017,2017,52,12,N,1,562000000.0,260000000.0,0.0,0.0,10000000.0,4000000.0,3000000.0,21000000.0,2000000.0,0.0,2000000.0,0.0,2000000.0,53000000,0.0,53000000.0,171000000.0,19000000.0,34000000.0,66000000.0,52000000.0,0.0,0.0,224000000.0,80000000.0,32000000.0,0,47000000.0,1000000.0,9000000.0,137000000.0,137000000,217000000.0,7000000,91000000.0,43000000.0,7000000,-36000000.0,0.0,7000000.0,0.0,0,0.0,0.0,144000000,136.0,1,0.355871886,2.1375,6.175824176,1957.142857,3.125,20.78291815,12.33985765,170999999.6,1.388888889,0.892857143,11.42857143,6.049822064,28.57142857,31.0,7000000.0,3.1063191244239627,0.4875,0.0125,0.103125,0.019354838709677417,2.4838392857142857
564599,TOTAL LINDSEY OIL REFINERY LIMITED,19201,manufacture of coke and refined petroleum products,20,L,N/A,01/01/2017,31/12/2017,2017,52,12,N,1,2703437000.0,1048426000.0,0.0,0.0,40362000.0,104183000.0,14433000.0,19272000.0,103110000.0,-19856000.0,83254000.0,0.0,83254000.0,121452000,0.0,121452000.0,751494000.0,12000.0,353584000.0,1000.0,397897000.0,0.0,0.0,872946000.0,462050000.0,17279000.0,0,222110000.0,222661000.0,0.0,116428000.0,116428000,578478000.0,294468000,289444000.0,574110000.0,294468000,-279642000.0,0.0,294468000.0,0.0,0,0.0,0.0,410896000,447.0,1,3.814033765,1.626434369,9.340103785,39.53842183,33.73267075,2.332895126,0.00162016,751493999.2,25.09394105,11.81172719,1.5691008869999998,13.07905455,35.01568931,1.964485105342516,118616000.0,4.351176464184002,0.3978857798764185,0.13351982825970907,0.4484043686551058,0.3054235424683393,3.0659429449244286
